time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-01 22:30:00",0,0,0,19163.99,24250.34,5086.35,18470.98,714.72,3539.67,11405.39,22487.25,22492.79,5.53,0.70,-0.13,0.71,0.98,209.29,121.20,5.22,60.01,3.75,2.24,4.48,13.21,6.21,14.57,0,-1.93,0,16772.03,4086.10,3392.21,0.58,16.86,5068.91,4455.35,10111.88,3903.75,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5287.87,1379.58,19730.22,16784.29,6552.57,10.64,220.99,6661.35,0.23,0.32,0.15,0.90,-0.70,-0.32,0.92,0.77,0.35,0.25,0.41,0.43,208.64,210.29,208.93,120.56,121.61,121.44,7.39,5.40,2.88
"2015-07-01 22:45:00",0,0,0,19164.98,24251.33,5086.35,18471.67,714.72,3539.67,11405.46,22488.45,22493.98,5.53,10.44,5.50,11.80,0.88,208.80,120.92,32.70,60.09,1.27,1.34,1.94,13.21,6.21,14.57,0,-1.93,0,16772.36,4086.45,3392.52,0.58,16.86,5068.91,4455.68,10112.12,3903.88,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5287.89,1379.64,19730.71,16784.73,6552.94,10.64,220.99,6661.35,3.60,3.50,3.35,2.08,1.80,1.61,4.15,3.94,3.71,0.87,0.89,0.90,208.24,209.26,208.91,120.94,120.81,121.01,34.70,32.81,30.60
"2015-07-01 23:00:00",0,0,0,19165.34,24251.69,5086.35,18472.07,714.72,3539.67,11405.58,22488.94,22494.47,5.53,3.75,0.86,3.85,0.97,208.71,120.87,13.60,60.01,4.63,2.89,5.57,13.21,6.21,14.57,0,-1.93,0,16772.49,4086.59,3392.62,0.58,16.86,5068.91,4455.93,10112.24,3903.91,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5287.94,1379.71,19731.00,16784.96,6553.09,10.64,220.99,6661.35,0.31,1.66,1.74,0.96,0.83,-1.12,1.01,1.86,2.07,0.31,0.89,0.84,208.17,209.29,208.26,120.48,120.91,120.97,7.92,15.62,16.92
"2015-07-01 23:15:00",0,0,0,19166.66,24253.01,5086.35,18472.85,714.72,3539.67,11405.70,22490.43,22495.96,5.53,1.34,2.12,2.50,0.53,208.38,120.68,7.88,60.01,1.18,0.68,1.51,13.21,6.21,14.57,0,-1.93,0,16772.93,4087.01,3393.07,0.58,16.86,5068.91,4456.29,10112.48,3904.09,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5288.00,1379.77,19731.59,16785.50,6553.61,10.64,220.99,6661.35,0.62,0.29,0.43,1.04,0.55,0.52,1.21,0.62,0.68,0.51,0.46,0.64,208.12,209.30,207.71,119.99,121.51,120.53,10.44,7.68,5.52
"2015-07-01 23:30:00",0,0,0,19166.83,24253.19,5086.35,18473.13,714.72,3539.67,11405.90,22490.66,22496.20,5.53,1.01,1.31,1.66,0.61,210.69,122.01,6.33,59.94,4.86,2.62,5.62,13.21,6.21,14.57,0,-1.93,0,16773.01,4087.05,3393.13,0.58,16.86,5068.91,4456.51,10112.53,3904.09,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5288.10,1379.87,19731.83,16785.66,6553.73,10.64,220.99,6661.36,0.33,0.39,0.29,0.94,0.69,-0.32,1.00,0.80,0.43,0.33,0.49,0.67,209.98,211.65,210.45,121.11,122.45,122.47,8.01,7.21,3.76
"2015-07-01 23:45:00",0,0,0,19167.91,24254.26,5086.35,18473.86,714.73,3539.67,11405.96,22491.96,22497.49,5.53,0.68,0.09,0.68,0.99,209.94,121.57,5.69,60.02,0.69,0.30,0.92,13.21,6.21,14.57,0,-1.93,0,16773.36,4087.43,3393.47,0.58,16.86,5068.91,4456.84,10112.78,3904.25,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5288.12,1379.91,19732.34,16786.13,6554.14,10.64,220.99,6661.36,0.22,0.31,0.15,0.85,-0.44,-0.33,0.88,0.53,0.36,0.25,0.57,0.42,209.56,210.88,209.37,120.89,122.01,121.83,7.64,6.32,3.10
"2015-07-02 00:00:00",0,0,0,19168.08,24254.44,5086.35,18474.22,714.73,3539.67,11406.07,22492.28,22497.81,5.53,0.90,1.33,1.61,0.56,211.71,122.59,6.11,60.02,4.28,2.74,5.19,13.21,6.21,14.57,0,-1.93,0,16773.42,4087.52,3393.50,0.58,16.86,5068.91,4457.06,10112.90,3904.25,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5288.14,1379.99,19732.57,16786.31,6554.23,10.64,220.99,6661.36,0.19,0.50,0.19,0.98,-0.73,-0.31,1.00,0.88,0.36,0.24,0.58,0.50,211.34,212.37,211.41,122.12,122.93,122.73,8.19,7.18,2.96
"2015-07-02 00:15:00",0,0,0,19169.00,24255.35,5086.35,18474.90,714.73,3539.67,11406.13,22493.41,22498.94,5.53,0.62,1.17,1.32,0.47,212.75,123.20,4.81,60.00,0.73,1.01,1.30,13.21,6.21,14.57,0,-1.93,0,16773.71,4087.85,3393.79,0.58,16.86,5068.91,4457.38,10113.14,3904.38,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5288.15,1380.04,19733.04,16786.73,6554.58,10.64,220.99,6661.36,0.20,0.29,0.14,0.96,0.54,-0.33,0.98,0.61,0.35,0.20,0.47,0.39,212.16,213.66,212.41,122.64,123.39,123.56,7.87,3.95,2.61
"2015-07-02 00:30:00",0,0,0,19169.16,24255.51,5086.35,18475.17,714.73,3539.67,11406.30,22493.63,22499.16,5.53,0.64,-0.10,0.65,0.99,211.49,122.47,5.52,60.01,3.64,2.47,4.50,13.21,6.21,14.57,0,-1.93,0,16773.80,4087.89,3393.82,0.58,16.86,5068.91,4457.60,10113.19,3904.38,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5288.25,1380.12,19733.27,16786.88,6554.67,10.64,220.99,6661.36,0.30,0.28,0.07,0.90,-0.65,-0.35,0.95,0.71,0.36,0.32,0.39,0.19,210.89,212.39,211.19,121.94,122.73,122.75,7.91,5.99,2.66
"2015-07-02 00:45:00",0,0,0,19170.10,24256.45,5086.35,18475.83,714.73,3539.67,11406.43,22494.75,22500.28,5.53,0.79,-0.26,0.83,0.95,212.18,122.87,6.59,60.02,1.17,0.56,1.44,13.21,6.21,14.57,0,-1.93,0,16774.14,4088.17,3394.14,0.58,16.86,5068.91,4457.93,10113.37,3904.53,7.22,201.29,506.21,3.40,18.98,3517.29,4737.93,5288.31,1380.18,19733.77,16787.29,6555.05,10.64,220.99,6661.36,0.38,0.07,0.34,1.00,-0.70,-0.57,1.07,0.70,0.66,0.35,0.11,0.51,211.75,212.96,211.84,122.51,123.08,123.03,8.52,6.22,5.01
"2015-07-02 01:00:00",0,0,0,19170.61,24256.96,5086.35,18476.21,714.73,3539.67,11406.61,22495.32,22500.85,5.53,10.20,5.50,11.59,0.88,211.62,122.55,31.75,60.01,3.29,1.80,3.91,13.21,6.21,14.57,0,-1.93,0,16774.26,4088.33,3394.37,0.58,16.86,5068.91,4458.17,10113.50,3904.54,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.36,1380.31,19734.05,16787.54,6555.33,10.64,220.99,6661.36,3.39,3.29,3.48,2.12,2.03,1.57,3.99,3.86,3.82,0.85,0.88,0.91,211.12,212.31,211.43,122.08,122.89,122.69,32.72,31.41,31.13
"2015-07-02 01:15:00",0,0,0,19171.49,24257.85,5086.35,18476.89,714.73,3539.67,11406.68,22496.43,22501.96,5.53,0.87,1.22,1.50,0.58,213.45,123.61,5.59,60.01,3.30,1.58,3.75,13.21,6.21,14.57,0,-1.93,0,16774.57,4088.63,3394.65,0.58,16.86,5068.91,4458.50,10113.73,3904.66,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.37,1380.37,19734.53,16787.93,6555.67,10.64,220.99,6661.36,0.41,0.32,0.14,0.97,0.57,-0.31,1.05,0.65,0.34,0.39,0.49,0.41,212.88,214.21,213.26,123.20,123.83,123.80,9.09,4.87,2.81
"2015-07-02 01:30:00",0,0,0,19172.25,24258.61,5086.35,18477.36,714.73,3539.67,11406.90,22497.26,22502.79,5.53,0.68,1.01,1.22,0.56,214.05,123.96,5.56,60.00,2.23,1.84,2.99,13.21,6.21,14.57,0,-1.93,0,16774.64,4088.97,3394.99,0.58,16.86,5068.91,4458.75,10113.96,3904.66,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.38,1380.58,19734.79,16788.35,6556.08,10.64,220.99,6661.36,0.27,0.28,0.13,0.94,0.43,-0.36,0.98,0.51,0.39,0.28,0.54,0.34,213.51,214.86,213.79,123.30,124.34,124.23,8.16,5.56,2.96
"2015-07-02 01:45:00",0,0,0,19173.65,24260.00,5086.35,18478.16,714.73,3539.67,11407.06,22498.82,22504.36,5.53,10.42,6.04,12.04,0.87,213.42,123.59,32.10,60.03,3.94,1.47,4.32,13.21,6.21,14.57,0,-1.93,0,16774.99,4089.49,3395.52,0.58,16.86,5068.91,4459.09,10114.28,3904.79,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.38,1380.74,19735.30,16788.97,6556.69,10.64,220.99,6661.36,4.18,2.85,3.39,2.57,1.79,1.69,4.90,3.36,3.78,0.85,0.85,0.90,212.81,214.25,213.20,122.90,123.87,124.00,38.92,27.12,30.27
