time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-02 02:00:00",0,0,0,19176.77,24263.12,5086.35,18479.60,714.73,3539.67,11407.06,22502.26,22507.79,5.53,14.30,6.05,15.52,0.92,212.77,123.21,42.25,59.95,6.10,2.76,6.80,13.21,6.21,14.57,0,-1.93,0,16776.08,4090.43,3396.61,0.58,16.86,5068.91,4459.67,10114.82,3905.11,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.38,1380.74,19736.53,16790.05,6557.83,10.64,220.99,6661.36,4.36,4.60,5.46,2.07,2.65,0.51,4.83,5.31,5.48,0.88,0.87,0.98,212.21,213.46,212.63,122.68,123.27,123.69,39.35,43.07,44.32
"2015-07-02 02:15:00",0,0,0,19179.58,24265.94,5086.35,18481.04,714.73,3539.67,11407.06,22505.42,22510.96,5.53,10.74,5.65,12.12,0.89,212.52,123.07,32.87,59.98,12.76,5.76,14.02,13.21,6.21,14.57,0,-1.93,0,16777.16,4091.22,3397.55,0.58,16.86,5068.91,4460.25,10115.27,3905.52,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.38,1380.74,19737.76,16790.96,6558.86,10.64,220.99,6661.36,4.16,3.14,3.44,2.28,1.76,1.61,4.74,3.59,3.80,0.88,0.87,0.91,211.77,213.34,212.31,122.50,123.21,123.43,38.46,29.30,30.94
"2015-07-02 02:30:00",0,0,0,19182.25,24268.61,5086.35,18482.45,714.73,3539.67,11407.06,22508.44,22513.97,5.53,10.64,5.57,12.01,0.89,212.41,123.01,32.53,60.01,10.97,5.73,12.38,13.21,6.21,14.57,0,-1.93,0,16778.18,4092.01,3398.41,0.58,16.86,5068.91,4460.79,10115.73,3905.93,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.38,1380.74,19738.92,16791.87,6559.81,10.64,220.99,6661.36,4.06,3.13,3.45,2.06,1.80,1.71,4.55,3.61,3.84,0.89,0.87,0.90,211.85,213.40,211.97,122.41,123.19,123.42,37.40,29.26,30.94
"2015-07-02 02:45:00",0,0,0,19184.92,24271.28,5086.35,18483.88,714.73,3539.67,11407.06,22511.47,22517.01,5.53,10.75,6.23,12.42,0.87,211.63,122.56,33.30,60.01,10.65,5.62,12.04,13.21,6.21,14.57,0,-1.93,0,16779.21,4092.80,3399.27,0.58,16.86,5068.91,4461.37,10116.19,3906.32,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.38,1380.74,19740.10,16792.78,6560.76,10.64,220.99,6661.36,4.24,3.09,3.42,2.80,1.76,1.66,5.08,3.55,3.80,0.83,0.87,0.90,211.14,212.70,211.03,121.42,123.19,123.05,40.53,29.24,30.13
"2015-07-02 03:00:00",0,0,0,19186.18,24272.53,5086.35,18484.67,714.73,3539.67,11407.14,22512.93,22518.46,5.53,10.78,5.71,12.20,0.88,213.23,123.48,33.01,60.02,10.75,5.79,12.22,13.21,6.21,14.57,0,-1.93,0,16779.81,4093.13,3399.59,0.58,16.86,5068.91,4461.80,10116.42,3906.45,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.42,1380.79,19740.84,16793.22,6561.14,10.64,220.99,6661.36,4.42,3.14,3.23,2.48,1.76,1.50,5.06,3.60,3.56,0.87,0.87,0.91,212.50,214.51,213.18,122.67,123.83,124.24,40.97,29.05,28.69
"2015-07-02 03:15:00",0,0,0,19188.81,24275.16,5086.35,18486.16,714.73,3539.67,11407.14,22515.95,22521.48,5.53,10.58,5.72,11.85,0.88,213.66,123.73,32.46,60.06,4.98,2.82,5.78,13.21,6.21,14.57,0,-1.93,0,16780.89,4093.88,3400.39,0.58,16.86,5068.91,4462.45,10116.88,3906.84,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.42,1380.79,19742.11,16794.10,6562.03,10.64,220.99,6661.36,4.53,2.84,3.21,2.27,1.84,1.61,5.06,3.38,3.59,0.89,0.84,0.89,212.87,214.88,213.29,122.57,124.21,124.46,43.08,27.17,28.75
"2015-07-02 03:30:00",0,0,0,19190.29,24276.65,5086.35,18487.07,714.73,3539.67,11407.24,22517.66,22523.19,5.53,10.41,5.91,11.97,0.87,212.34,122.98,32.57,60.00,9.67,5.61,11.20,13.21,6.21,14.57,0,-1.93,0,16781.62,4094.25,3400.78,0.58,16.86,5068.91,4462.94,10117.11,3907.03,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.48,1380.83,19742.98,16794.58,6562.49,10.64,220.99,6661.36,4.34,2.88,3.18,2.68,1.78,1.44,5.10,3.39,3.49,0.85,0.85,0.91,211.78,213.43,211.82,121.92,123.56,123.45,41.79,27.35,28.58
"2015-07-02 03:45:00",0,0,0,19191.78,24278.13,5086.35,18488.00,714.73,3539.67,11407.31,22519.39,22524.92,5.53,2.03,1.29,2.40,0.84,215.18,124.62,8.03,60.01,6.73,3.59,7.69,13.21,6.21,14.57,0,-1.93,0,16782.34,4094.62,3401.17,0.58,16.86,5068.91,4463.42,10117.37,3907.21,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.51,1380.87,19743.85,16795.07,6562.95,10.64,220.99,6661.36,1.55,0.34,0.13,1.27,0.40,-0.38,2.01,0.52,0.41,0.77,0.66,0.33,214.28,216.58,214.69,123.61,124.98,125.26,16.23,4.85,3.00
"2015-07-02 04:00:00",0,0,0,19194.11,24280.46,5086.35,18489.38,714.73,3539.67,11407.33,22522.09,22527.62,5.53,10.43,6.12,12.09,0.86,213.53,123.66,32.38,60.06,4.87,2.82,5.69,13.21,6.21,14.57,0,-1.93,0,16783.32,4095.30,3401.85,0.58,16.86,5068.91,4464.04,10117.79,3907.55,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.52,1380.88,19745.01,16795.87,6563.72,10.64,220.99,6661.36,4.23,3.09,3.10,2.64,2.01,1.47,4.99,3.69,3.43,0.85,0.84,0.90,212.76,214.40,213.42,122.94,124.01,124.04,40.28,28.97,27.88
"2015-07-02 04:15:00",0,0,0,19195.10,24281.45,5086.35,18490.04,714.73,3539.68,11407.44,22523.24,22528.77,5.53,10.49,6.00,12.13,0.87,212.82,123.25,32.71,60.02,9.81,5.80,11.41,13.21,6.21,14.57,0,-1.93,0,16783.85,4095.55,3402.05,0.58,16.86,5068.91,4464.42,10117.97,3907.65,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.56,1380.94,19745.66,16796.22,6563.99,10.64,220.99,6661.36,4.26,3.18,3.05,2.61,1.82,1.57,5.00,3.67,3.43,0.85,0.87,0.89,212.20,213.77,212.58,122.63,123.56,123.62,40.76,29.61,27.66
"2015-07-02 04:30:00",0,0,0,19196.77,24283.13,5086.35,18490.98,714.73,3539.68,11407.53,22525.14,22530.67,5.53,2.85,0.32,2.86,0.99,215.00,124.51,9.61,60.02,4.54,2.47,5.21,13.21,6.21,14.57,0,-1.93,0,16784.57,4096.08,3402.47,0.58,16.86,5068.91,4464.92,10118.21,3907.85,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.62,1380.98,19746.55,16796.82,6564.49,10.64,220.99,6661.36,1.56,1.08,0.20,1.27,-0.61,-0.34,2.01,1.24,0.39,0.78,0.87,0.52,214.18,215.81,215.02,123.81,124.79,124.93,16.32,9.37,3.16
"2015-07-02 04:45:00",0,0,0,19198.43,24284.78,5086.35,18491.99,714.73,3539.68,11407.62,22527.05,22532.58,5.53,1.79,0.59,1.88,0.95,214.97,124.49,7.87,60.01,5.55,2.60,6.24,13.21,6.21,14.57,0,-1.93,0,16785.36,4096.51,3402.91,0.58,16.86,5068.91,4465.44,10118.48,3908.08,7.22,201.29,506.21,3.40,18.98,3517.29,4737.94,5288.67,1381.01,19747.49,16797.37,6565.01,10.64,220.99,6661.36,1.43,0.15,0.21,1.29,-0.39,-0.31,1.92,0.42,0.37,0.74,0.37,0.56,214.21,215.71,214.99,123.71,124.93,124.84,15.06,5.05,3.51
"2015-07-02 05:00:00",0,0,0,19200.13,24286.48,5086.35,18493.02,714.73,3539.68,11407.71,22529.01,22534.54,5.53,2.93,2.76,4.02,0.73,214.89,124.45,10.81,60.02,6.55,3.69,7.59,13.21,6.21,14.57,0,-1.93,0,16786.16,4096.95,3403.37,0.58,16.86,5068.91,4465.96,10118.75,3908.31,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5288.73,1381.05,19748.46,16797.94,6565.55,10.64,220.99,6661.36,1.77,0.56,0.53,1.74,0.66,0.41,2.49,0.87,0.67,0.71,0.64,0.79,213.95,215.70,215.04,123.89,124.65,124.82,19.08,6.64,5.69
