time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-02 05:30:00",0,0,0,19202.42,24288.77,5086.35,18494.55,714.73,3539.68,11407.89,22531.70,22537.23,5.53,2.12,1.19,2.43,0.87,214.90,124.46,8.27,59.95,5.49,3.16,6.38,13.21,6.21,14.57,0,-1.93,0,16787.35,4097.53,3403.89,0.58,16.86,5068.91,4466.82,10119.17,3908.56,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5288.79,1381.16,19749.92,16798.72,6566.20,10.64,220.99,6661.36,1.46,0.52,0.15,1.18,0.39,-0.37,1.87,0.65,0.40,0.78,0.80,0.37,213.97,215.78,214.93,123.87,124.60,124.90,15.14,6.46,3.20
"2015-07-02 05:45:00",0,0,0,19203.99,24290.35,5086.35,18495.54,714.73,3539.68,11407.94,22533.54,22539.07,5.53,2.28,1.31,2.63,0.87,213.67,123.74,8.60,60.05,4.09,2.47,4.84,13.21,6.21,14.57,0,-1.93,0,16788.08,4097.97,3404.30,0.58,16.86,5068.91,4467.31,10119.46,3908.77,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5288.81,1381.20,19750.80,16799.27,6566.69,10.64,220.99,6661.36,1.61,0.53,0.14,0.95,0.75,-0.40,1.87,0.92,0.42,0.86,0.58,0.34,212.79,214.51,213.71,123.17,123.88,124.16,16.55,6.25,3.00
"2015-07-02 06:00:00",0,0,0,19205.67,24292.03,5086.35,18496.55,714.73,3539.68,11408.02,22535.48,22541.01,5.53,2.14,0.52,2.20,0.97,214.75,124.36,8.39,60.02,5.83,3.46,6.83,13.21,6.21,14.57,0,-1.93,0,16788.81,4098.46,3404.76,0.58,16.86,5068.91,4467.80,10119.77,3908.98,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5288.82,1381.26,19751.69,16799.86,6567.23,10.64,220.99,6661.36,1.53,0.42,0.16,1.39,0.48,-0.39,2.06,0.63,0.42,0.80,0.74,0.45,214.05,215.41,214.78,123.58,124.73,124.78,16.70,5.07,3.40
"2015-07-02 06:15:00",0,0,0,19206.76,24293.11,5086.35,18497.27,714.73,3539.68,11408.11,22536.74,22542.27,5.53,10.26,6.31,11.95,0.87,213.65,123.73,32.52,60.01,6.72,3.73,7.74,13.21,6.21,14.57,0,-1.93,0,16789.39,4098.73,3404.99,0.58,16.86,5068.91,4468.22,10119.96,3909.08,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5288.84,1381.33,19752.41,16800.21,6567.53,10.64,220.99,6661.36,4.31,2.92,3.03,2.88,1.90,1.52,5.19,3.49,3.39,0.83,0.84,0.89,213.07,214.24,213.56,123.06,124.11,123.96,41.58,27.49,27.53
"2015-07-02 06:30:00",0,0,0,19207.80,24294.15,5086.35,18497.97,714.73,3539.68,11408.20,22537.96,22543.49,5.53,2.11,1.31,2.48,0.85,214.72,124.35,8.64,60.02,5.50,3.21,6.39,13.21,6.21,14.57,0,-1.93,0,16789.96,4098.99,3405.20,0.58,16.86,5068.91,4468.63,10120.15,3909.19,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5288.88,1381.39,19753.11,16800.56,6567.82,10.64,220.99,6661.36,1.67,0.29,0.15,0.92,0.77,-0.38,1.91,0.82,0.41,0.88,0.36,0.36,213.94,215.29,214.92,123.78,124.65,124.61,17.77,5.03,3.10
"2015-07-02 06:45:00",0,0,0,19209.35,24295.70,5086.35,18498.95,714.73,3539.68,11408.27,22539.77,22545.30,5.53,1.75,-0.08,1.75,1.00,214.66,124.31,7.35,60.02,3.01,1.76,3.56,13.21,6.21,14.57,0,-1.93,0,16790.69,4099.41,3405.60,0.58,16.86,5068.91,4469.13,10120.42,3909.40,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5288.91,1381.43,19754.00,16801.08,6568.29,10.64,220.99,6661.36,1.48,0.20,0.07,1.01,-0.73,-0.36,1.79,0.76,0.37,0.83,0.27,0.18,213.72,214.71,215.54,124.04,124.31,124.59,15.13,4.25,2.68
"2015-07-02 07:00:00",0,0,0,19210.06,24296.42,5086.35,18499.44,714.73,3539.68,11408.47,22540.56,22546.09,5.53,9.88,5.99,11.56,0.86,214.74,124.36,31.06,60.00,6.13,3.53,7.14,13.21,6.21,14.57,0,-1.93,0,16791.16,4099.53,3405.73,0.58,16.86,5068.91,4469.50,10120.49,3909.45,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5289.03,1381.50,19754.59,16801.32,6568.49,10.64,220.99,6661.36,4.26,2.67,2.95,2.69,1.68,1.63,5.04,3.15,3.36,0.85,0.85,0.88,214.03,215.17,215.03,123.89,124.68,124.52,40.64,25.52,27.01
"2015-07-02 07:15:00",0,0,0,19211.29,24297.65,5086.35,18500.26,714.73,3539.68,11408.58,22541.99,22547.52,5.53,2.07,1.32,2.46,0.84,215.88,125.02,7.84,60.01,4.03,1.94,4.55,13.21,6.21,14.57,0,-1.93,0,16791.79,4099.83,3406.03,0.58,16.86,5068.91,4469.96,10120.68,3909.61,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5289.09,1381.56,19755.38,16801.73,6568.87,10.64,220.99,6661.36,1.51,0.39,0.17,1.30,0.38,-0.36,1.99,0.55,0.40,0.76,0.72,0.43,215.06,216.22,216.44,124.61,125.22,125.27,15.90,4.29,3.08
"2015-07-02 07:30:00",0,0,0,19212.79,24299.15,5086.35,18501.23,714.73,3539.68,11408.65,22543.75,22549.29,5.53,3.01,2.91,4.18,0.72,214.92,124.46,11.00,59.98,3.81,2.14,4.44,13.21,6.21,14.57,0,-1.93,0,16792.51,4100.23,3406.41,0.58,16.86,5068.91,4470.46,10120.96,3909.81,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5289.11,1381.60,19756.26,16802.24,6569.33,10.64,220.99,6661.36,1.81,0.73,0.47,1.69,0.77,0.44,2.48,1.06,0.64,0.73,0.69,0.72,214.24,215.32,215.21,124.02,124.74,124.63,19.73,8.09,5.19
"2015-07-02 07:45:00",0,0,0,19213.35,24299.71,5086.35,18501.70,714.73,3539.68,11408.77,22544.42,22549.96,5.53,2.28,0.48,2.33,0.98,215.87,125.01,8.46,60.01,6.08,3.77,7.18,13.21,6.21,14.57,0,-1.93,0,16792.91,4100.34,3406.45,0.58,16.86,5068.91,4470.80,10121.08,3909.82,7.22,201.29,506.21,3.40,18.98,3517.30,4737.94,5289.14,1381.69,19756.79,16802.43,6569.43,10.64,220.99,6661.36,1.59,0.54,0.16,1.33,-0.46,-0.38,2.07,0.71,0.41,0.77,0.76,0.38,215.01,216.27,216.32,124.51,125.13,125.39,16.69,5.49,3.22
