time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-02 16:15:00",0,0,0,19245.32,24331.67,5086.36,18525.12,714.74,3539.69,11412.16,22582.91,22588.45,5.53,0.73,1.24,1.44,0.51,211.18,122.30,5.65,59.93,4.34,2.96,5.37,13.21,6.21,14.57,0,-1.93,0,16808.64,4108.62,3414.42,0.58,16.86,5068.91,4483.47,10126.96,3914.68,7.23,201.29,506.21,3.40,18.99,3517.31,4737.98,5290.82,1383.37,19777.66,16814.12,6580.17,10.66,221.00,6661.38,0.26,0.31,0.16,0.98,0.60,-0.35,1.02,0.68,0.38,0.26,0.45,0.42,210.58,211.33,211.63,122.51,122.15,122.25,8.29,5.53,3.14
"2015-07-02 16:30:00",0,0,0,19246.42,24332.78,5086.36,18525.89,714.74,3539.69,11412.25,22584.23,22589.77,5.53,0.52,0.09,0.52,0.98,210.92,122.15,4.80,59.97,1.37,1.42,2.07,13.21,6.21,14.57,0,-1.93,0,16809.03,4108.98,3414.76,0.58,16.86,5068.91,4483.84,10127.19,3914.86,7.23,201.29,506.21,3.40,18.99,3517.31,4737.98,5290.86,1383.41,19778.21,16814.59,6580.59,10.66,221.00,6661.38,0.30,0.10,0.11,0.90,-0.46,-0.35,0.95,0.47,0.36,0.32,0.21,0.31,210.18,211.28,211.29,122.30,121.86,122.29,8.28,3.38,2.73
"2015-07-02 16:45:00",0,0,0,19247.68,24334.04,5086.36,18526.73,714.74,3539.69,11412.34,22585.72,22591.25,5.53,0.60,0.17,0.63,0.96,211.72,122.61,5.05,59.96,3.74,2.27,4.47,13.21,6.21,14.57,0,-1.93,0,16809.50,4109.37,3415.17,0.58,16.86,5068.91,4484.23,10127.42,3915.08,7.23,201.29,506.21,3.40,18.99,3517.31,4737.98,5290.92,1383.45,19778.85,16815.09,6581.08,10.66,221.00,6661.38,0.38,0.12,0.11,0.89,-0.38,-0.34,0.96,0.39,0.35,0.39,0.30,0.31,210.99,211.95,212.23,122.73,122.46,122.65,8.67,3.58,2.90
"2015-07-02 17:00:00",0,0,0,19248.21,24334.57,5086.36,18527.19,714.74,3539.69,11412.53,22586.34,22591.88,5.53,9.45,5.24,10.81,0.87,209.04,121.06,29.92,60.02,5.06,3.00,5.98,13.21,6.21,14.57,0,-1.93,0,16809.71,4109.53,3415.33,0.58,16.86,5068.91,4484.52,10127.51,3915.15,7.23,201.29,506.21,3.40,18.99,3517.31,4737.98,5291.03,1383.52,19779.23,16815.38,6581.31,10.66,221.00,6661.38,3.25,3.12,3.08,1.98,1.72,1.54,3.80,3.56,3.44,0.85,0.88,0.89,208.70,209.09,209.31,121.09,121.17,120.92,32.04,29.23,28.49
"2015-07-02 17:15:00",0,0,0,19249.22,24335.58,5086.36,18527.92,714.74,3539.69,11412.60,22587.59,22593.12,5.53,0.61,1.28,1.42,0.43,209.71,121.43,4.83,59.95,3.35,1.80,3.88,13.21,6.21,14.57,0,-1.93,0,16810.05,4109.88,3415.64,0.58,16.86,5068.91,4484.86,10127.75,3915.31,7.23,201.29,506.21,3.40,18.99,3517.31,4737.99,5291.05,1383.56,19779.74,16815.82,6581.70,10.66,221.00,6661.38,0.19,0.29,0.13,0.91,0.71,-0.33,0.93,0.76,0.36,0.20,0.38,0.36,209.35,210.00,209.79,121.38,121.58,121.33,7.75,3.71,3.04
"2015-07-02 17:30:00",0,0,0,19250.52,24336.88,5086.36,18528.80,714.74,3539.69,11412.64,22589.16,22594.69,5.53,0.63,1.20,1.36,0.46,209.91,121.54,5.09,59.97,2.80,2.03,3.65,13.21,6.21,14.57,0,-1.93,0,16810.49,4110.33,3416.06,0.58,16.86,5068.91,4485.24,10128.03,3915.52,7.23,201.29,506.21,3.40,18.99,3517.31,4737.99,5291.05,1383.60,19780.36,16816.36,6582.19,10.66,221.00,6661.38,0.25,0.32,0.10,0.95,0.42,-0.33,0.99,0.53,0.35,0.25,0.61,0.30,209.14,209.58,210.75,121.65,121.19,121.64,8.49,5.44,2.90
"2015-07-02 17:45:00",0,0,0,19251.44,24337.80,5086.36,18529.50,714.74,3539.69,11412.71,22590.31,22595.84,5.53,9.66,5.39,11.06,0.87,209.99,121.57,30.55,60.00,5.21,3.35,6.30,13.21,6.21,14.57,0,-1.93,0,16810.80,4110.65,3416.35,0.58,16.86,5068.91,4485.58,10128.26,3915.66,7.23,201.29,506.21,3.40,18.99,3517.31,4737.99,5291.07,1383.65,19780.85,16816.77,6582.55,10.66,221.00,6661.38,3.27,3.21,3.17,2.15,1.60,1.64,3.91,3.59,3.57,0.84,0.90,0.89,209.32,210.02,210.63,121.74,121.44,121.55,32.15,30.09,29.42
"2015-07-02 18:00:00",0,0,0,19252.10,24338.46,5086.36,18530.08,714.74,3539.69,11412.83,22591.17,22596.70,5.53,0.78,0.19,0.80,0.97,210.02,121.59,5.33,60.01,4.86,3.16,5.89,13.21,6.21,14.57,0,-1.93,0,16811.00,4110.87,3416.59,0.58,16.86,5068.91,4485.87,10128.45,3915.77,7.23,201.29,506.21,3.40,18.99,3517.31,4737.99,5291.11,1383.73,19781.22,16817.11,6582.86,10.66,221.00,6661.38,0.45,0.13,0.20,0.88,-0.42,-0.27,0.99,0.44,0.33,0.45,0.29,0.60,209.47,210.36,210.24,121.53,121.63,121.62,9.90,3.02,3.06
"2015-07-02 18:15:00",0,0,0,19252.29,24338.64,5086.36,18530.33,714.74,3539.70,11413.04,22591.42,22596.95,5.53,0.53,0.37,0.65,0.82,214.55,124.24,4.64,59.99,1.47,1.08,2.12,13.21,6.21,14.57,0,-1.93,0,16811.13,4110.90,3416.62,0.58,16.86,5068.91,4486.09,10128.48,3915.77,7.24,201.29,506.21,3.40,18.99,3517.31,4738.01,5291.22,1383.81,19781.50,16817.25,6582.95,10.66,221.00,6661.38,0.24,0.17,0.13,1.00,-0.30,-0.33,1.03,0.34,0.36,0.23,0.35,0.41,214.25,214.68,214.73,123.83,124.50,124.39,8.33,2.75,2.86
"2015-07-02 18:30:00",0,0,0,19252.45,24338.80,5086.36,18530.67,714.74,3539.70,11413.19,22591.69,22597.22,5.53,0.83,1.17,1.44,0.58,214.53,124.22,5.29,59.99,0.69,0.16,0.92,13.21,6.21,14.57,0,-1.93,0,16811.18,4110.97,3416.65,0.58,16.86,5068.91,4486.34,10128.56,3915.77,7.24,201.29,506.21,3.40,18.99,3517.31,4738.01,5291.28,1383.90,19781.75,16817.42,6583.04,10.66,221.00,6661.38,0.41,0.31,0.12,0.94,0.60,-0.37,1.02,0.68,0.39,0.40,0.45,0.30,214.11,214.73,214.75,123.95,124.55,124.18,8.73,4.20,2.94
