time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-02 19:45:00",0,0,0,19253.35,24339.71,5086.36,18532.25,714.74,3539.70,11413.95,22593.04,22598.57,5.53,0.66,1.25,1.41,0.47,211.35,122.39,4.66,59.96,0.57,0.15,0.68,13.21,6.21,14.57,0,-1.93,0,16811.60,4111.30,3416.81,0.58,16.86,5068.92,4487.54,10128.94,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.01,5291.62,1384.32,19783.03,16818.22,6583.50,10.66,221.00,6661.38,0.20,0.31,0.15,0.90,0.69,-0.34,0.92,0.76,0.37,0.22,0.41,0.40,210.84,211.99,211.22,122.07,122.64,122.45,7.31,3.68,2.98
"2015-07-02 20:00:00",0,0,0,19253.54,24339.89,5086.36,18532.61,714.74,3539.70,11414.05,22593.36,22598.89,5.53,0.79,1.20,1.43,0.55,211.87,122.68,5.33,60.01,0.61,0.50,0.91,13.21,6.21,14.57,0,-1.93,0,16811.66,4111.39,3416.84,0.58,16.86,5068.92,4487.78,10129.06,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.01,5291.63,1384.41,19783.28,16818.39,6583.59,10.66,221.00,6661.38,0.20,0.47,0.12,0.98,0.57,-0.35,1.00,0.74,0.37,0.20,0.63,0.32,211.29,212.31,212.00,122.51,122.89,122.66,7.66,5.28,3.06
"2015-07-02 20:15:00",0,0,0,19253.72,24340.07,5086.36,18532.97,714.74,3539.70,11414.15,22593.69,22599.22,5.53,0.67,1.02,1.22,0.55,210.57,121.93,5.12,60.01,0.74,1.05,1.31,13.21,6.21,14.57,0,-1.93,0,16811.71,4111.49,3416.88,0.58,16.86,5068.92,4488.02,10129.19,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.01,5291.64,1384.50,19783.52,16818.56,6583.69,10.66,221.00,6661.38,0.20,0.32,0.14,0.96,0.40,-0.35,0.98,0.52,0.37,0.21,0.63,0.37,210.14,211.25,210.32,121.63,122.28,121.89,8.08,4.22,3.06
"2015-07-02 20:30:00",0,0,0,19253.90,24340.25,5086.36,18533.34,714.74,3539.70,11414.25,22594.02,22599.55,5.53,0.72,1.29,1.48,0.49,210.39,121.83,5.27,60.01,0.71,1.06,1.31,13.21,6.21,14.57,0,-1.93,0,16811.77,4111.58,3416.91,0.58,16.86,5068.92,4488.26,10129.32,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.01,5291.66,1384.58,19783.76,16818.74,6583.78,10.66,221.00,6661.38,0.30,0.29,0.12,0.90,0.52,-0.36,0.95,0.60,0.38,0.31,0.49,0.31,210.04,211.20,210.13,121.45,122.23,121.93,8.03,4.48,2.92
"2015-07-02 20:45:00",0,0,0,19254.18,24340.53,5086.36,18533.65,714.74,3539.70,11414.46,22594.34,22599.88,5.53,0.62,-0.15,0.63,0.97,211.99,122.75,5.65,59.95,0.73,1.05,1.32,13.21,6.21,14.57,0,-1.93,0,16811.85,4111.68,3417.00,0.58,16.86,5068.92,4488.50,10129.39,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.01,5291.75,1384.70,19784.02,16818.94,6583.93,10.66,221.00,6661.38,0.36,0.13,0.12,0.91,-0.70,-0.35,0.98,0.72,0.37,0.37,0.19,0.33,211.36,212.53,212.08,122.35,122.92,122.99,8.32,5.70,2.94
"2015-07-02 21:00:00",0,0,0,19254.32,24340.67,5086.36,18533.90,714.74,3539.70,11414.68,22594.51,22600.04,5.53,0.52,0.20,0.56,0.93,209.83,121.51,4.51,60.02,1.08,0.28,1.19,13.21,6.21,14.57,0,-1.93,0,16811.94,4111.71,3417.03,0.58,16.86,5068.92,4488.73,10129.40,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.01,5291.89,1384.78,19784.27,16819.10,6584.02,10.66,221.00,6661.38,0.31,0.11,0.10,0.91,-0.39,-0.32,0.96,0.40,0.34,0.32,0.27,0.31,209.51,210.58,209.40,121.10,121.91,121.52,7.77,3.00,2.77
"2015-07-02 21:15:00",0,0,0,19254.50,24340.86,5086.36,18534.21,714.74,3539.70,11414.83,22594.78,22600.31,5.53,0.91,1.11,1.44,0.63,212.01,122.77,5.56,60.01,0.57,0.12,0.66,13.21,6.21,14.57,0,-1.93,0,16812.01,4111.78,3417.06,0.58,16.86,5068.92,4488.97,10129.48,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.01,5291.95,1384.86,19784.52,16819.26,6584.11,10.66,221.00,6661.39,0.21,0.52,0.18,0.99,0.44,-0.32,1.01,0.68,0.37,0.20,0.77,0.50,211.37,211.86,212.80,122.91,122.49,122.90,8.14,5.37,3.16
"2015-07-02 21:30:00",0,0,0,19254.68,24341.04,5086.36,18534.56,714.74,3539.70,11414.94,22595.10,22600.63,5.53,0.56,-0.19,1.76,0.47,211.66,122.57,5.81,60.01,0.74,0.79,1.18,13.21,6.21,14.57,0,-1.93,0,16812.07,4111.88,3417.09,0.58,16.86,5068.92,4489.19,10129.60,3915.77,7.24,201.29,506.21,3.40,18.99,3517.32,4738.02,5291.98,1384.94,19784.75,16819.44,6584.20,10.66,221.00,6661.39,0.22,0.31,0.02,0.93,-0.68,-0.44,0.95,0.74,0.44,0.23,0.42,0.05,211.35,211.98,211.41,122.46,122.68,122.41,7.32,3.86,2.81
"2015-07-02 21:45:00",0,0,0,19254.86,24341.21,5086.36,18534.89,714.75,3539.70,11415.05,22595.41,22600.95,5.53,0.95,1.36,1.66,0.57,212.23,122.89,5.75,60.01,0.73,0.92,1.29,13.21,6.21,14.57,0,-1.93,0,16812.12,4111.97,3417.13,0.58,16.86,5068.92,4489.41,10129.71,3915.77,7.25,201.29,506.21,3.40,18.99,3517.32,4738.02,5292.01,1385.02,19784.98,16819.61,6584.29,10.67,221.00,6661.39,0.36,0.32,0.27,1.17,0.45,-0.26,1.22,0.55,0.37,0.30,0.58,0.73,211.75,212.65,212.31,122.77,122.92,123.00,9.93,4.13,3.20
"2015-07-02 22:00:00",0,0,0,19255.61,24341.96,5086.36,18535.48,714.76,3539.71,11415.14,22596.35,22601.88,5.53,10.09,5.55,11.52,0.88,210.38,121.82,31.53,60.00,0.69,0.90,1.23,13.21,6.21,14.57,0,-1.93,0,16812.38,4112.23,3417.36,0.58,16.86,5068.92,4489.71,10129.90,3915.87,7.25,201.29,506.21,3.40,18.99,3517.32,4738.02,5292.04,1385.08,19785.41,16819.97,6584.58,10.68,221.00,6661.39,3.58,3.16,3.35,2.08,1.90,1.58,4.13,3.69,3.70,0.87,0.86,0.91,210.05,210.72,210.36,121.64,122.10,121.72,34.64,29.49,30.45
