time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-02 23:30:00",0,0,0,19260.07,24346.43,5086.36,18538.28,714.76,3539.71,11416.40,22601.33,22606.86,5.53,0.62,0.19,0.65,0.96,214.09,123.98,5.16,60.01,1.42,1.05,1.89,13.21,6.21,14.57,0,-1.93,0,16814.26,4113.96,3418.20,0.58,16.86,5068.92,4491.80,10130.41,3916.08,7.25,201.29,506.21,3.40,18.99,3517.33,4738.02,5292.78,1385.60,19788.34,16822.22,6585.76,10.68,221.00,6661.39,0.32,0.16,0.13,1.00,-0.47,-0.35,1.05,0.50,0.37,0.31,0.33,0.36,213.49,215.04,213.75,123.35,124.44,124.14,7.73,4.71,3.02
"2015-07-02 23:45:00",0,0,0,19261.00,24347.36,5086.36,18538.95,714.76,3539.71,11416.52,22602.44,22607.97,5.53,0.49,0.73,0.88,0.56,214.02,123.94,4.71,60.02,0.71,0.76,1.14,13.21,6.21,14.57,0,-1.93,0,16814.61,4114.25,3418.50,0.58,16.86,5068.92,4492.14,10130.58,3916.22,7.25,201.29,506.21,3.40,18.99,3517.33,4738.02,5292.85,1385.65,19788.86,16822.62,6586.13,10.68,221.00,6661.39,0.18,0.17,0.14,1.05,-0.67,0.35,1.06,0.69,0.37,0.17,0.25,0.37,213.40,215.04,213.63,123.36,124.29,124.16,6.79,4.63,2.73
"2015-07-03 00:00:00",0,0,0,19261.15,24347.51,5086.36,18539.20,714.76,3539.71,11416.73,22602.63,22608.16,5.53,0.86,1.17,1.45,0.59,211.99,122.76,5.29,59.93,3.73,2.17,4.44,13.21,6.21,14.57,0,-1.93,0,16814.69,4114.29,3418.53,0.58,16.86,5068.92,4492.37,10130.61,3916.22,7.25,201.29,506.21,3.40,18.99,3517.33,4738.03,5292.97,1385.73,19789.11,16822.77,6586.22,10.68,221.00,6661.40,0.35,0.35,0.17,0.86,0.66,-0.34,0.93,0.74,0.38,0.38,0.47,0.44,211.37,213.11,211.49,122.13,123.20,122.96,8.47,4.36,3.04
"2015-07-03 00:15:00",0,0,0,19262.13,24348.49,5086.36,18539.91,714.76,3539.71,11416.80,22603.83,22609.36,5.53,0.59,0.98,1.15,0.52,214.17,124.02,4.88,59.95,0.63,0.33,0.83,13.21,6.21,14.57,0,-1.93,0,16815.02,4114.63,3418.84,0.58,16.86,5068.92,4492.70,10130.84,3916.37,7.26,201.29,506.21,3.40,18.99,3517.33,4738.03,5292.99,1385.78,19789.60,16823.21,6586.59,10.68,221.00,6661.40,0.18,0.32,0.09,0.97,0.35,-0.33,0.98,0.47,0.35,0.19,0.67,0.27,213.66,215.02,213.83,123.47,124.40,124.20,7.13,4.80,2.73
"2015-07-03 00:30:00",0,0,0,19262.39,24348.75,5086.36,18540.25,714.76,3539.71,11416.93,22604.21,22609.74,5.53,1.42,-0.77,1.62,0.88,214.94,124.47,6.32,59.99,3.91,2.57,4.80,13.21,6.21,14.57,0,-1.93,0,16815.08,4114.72,3418.95,0.58,16.86,5068.92,4492.92,10130.97,3916.37,7.26,201.29,506.21,3.40,18.99,3517.33,4738.04,5293.01,1385.87,19789.84,16823.38,6586.74,10.68,221.00,6661.40,0.51,0.47,0.44,-1.07,0.63,-0.33,1.19,0.78,0.55,0.43,0.60,0.80,214.33,215.64,214.85,124.10,124.72,124.57,9.28,5.25,4.44
"2015-07-03 00:45:00",0,0,0,19262.71,24349.07,5086.36,18540.62,714.77,3539.71,11417.07,22604.66,22610.19,5.53,9.82,5.60,11.31,0.87,211.09,122.24,30.86,60.01,1.13,0.77,1.55,13.21,6.21,14.57,0,-1.93,0,16815.17,4114.85,3419.05,0.59,16.86,5068.92,4493.14,10131.09,3916.39,7.26,201.29,506.21,3.40,18.99,3517.33,4738.06,5293.05,1385.95,19790.11,16823.60,6586.89,10.69,221.00,6661.40,3.21,3.36,3.25,2.09,1.94,1.56,3.83,3.88,3.61,0.84,0.87,0.90,210.67,212.01,210.59,121.77,122.81,122.15,31.43,31.61,29.53
"2015-07-03 01:00:00",0,0,0,19263.60,24349.96,5086.36,18541.25,714.77,3539.71,11417.20,22605.71,22611.24,5.53,0.66,0.03,0.66,1.00,213.60,123.70,5.02,60.00,2.52,1.64,3.21,13.21,6.21,14.57,0,-1.93,0,16815.48,4115.14,3419.34,0.59,16.86,5068.92,4493.48,10131.27,3916.51,7.26,201.29,506.21,3.40,18.99,3517.33,4738.06,5293.12,1386.02,19790.60,16823.99,6587.25,10.69,221.00,6661.40,0.29,0.13,0.22,1.00,-0.37,-0.37,1.04,0.39,0.43,0.28,0.32,0.51,213.15,214.14,213.43,123.18,124.26,123.60,8.31,3.29,4.00
"2015-07-03 01:15:00",0,0,0,19263.75,24350.11,5086.36,18541.50,714.77,3539.71,11417.41,22605.88,22611.41,5.53,0.56,-0.17,0.59,0.96,213.11,123.41,4.78,59.93,2.22,1.23,2.67,13.21,6.21,14.57,0,-1.93,0,16815.57,4115.17,3419.37,0.59,16.86,5068.92,4493.72,10131.28,3916.51,7.26,201.29,506.21,3.40,18.99,3517.33,4738.06,5293.24,1386.10,19790.85,16824.13,6587.34,10.69,221.00,6661.40,0.32,0.11,0.14,0.90,-0.72,-0.35,0.95,0.73,0.37,0.34,0.15,0.37,212.57,213.67,213.10,123.10,123.93,123.21,8.36,3.29,2.70
"2015-07-03 01:30:00",0,0,0,19264.65,24351.01,5086.36,18542.19,714.77,3539.71,11417.50,22606.97,22612.51,5.53,0.68,1.12,1.31,0.52,213.92,123.88,5.26,59.94,0.58,0.16,0.66,13.21,6.21,14.57,0,-1.93,0,16815.89,4115.46,3419.66,0.59,16.86,5068.92,4494.06,10131.48,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.06,5293.29,1386.15,19791.35,16824.53,6587.69,10.69,221.00,6661.40,0.18,0.33,0.17,1.00,0.36,-0.24,1.01,0.49,0.30,0.18,0.67,0.58,213.56,214.78,213.44,123.14,124.38,124.13,7.66,5.18,2.94
"2015-07-03 01:45:00",0,0,0,19264.83,24351.19,5086.36,18542.53,714.77,3539.71,11417.61,22607.31,22612.84,5.53,0.99,1.13,1.50,0.66,214.49,124.22,6.19,60.02,3.63,2.48,4.50,13.21,6.21,14.57,0,-1.93,0,16815.95,4115.56,3419.69,0.59,16.86,5068.92,4494.28,10131.60,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.07,5293.31,1386.23,19791.59,16824.71,6587.78,10.69,221.00,6661.40,0.10,0.51,0.20,1.21,0.57,-0.25,1.22,0.76,0.32,0.39,0.69,0.45,214.02,215.30,214.16,123.75,124.60,124.30,9.84,6.14,2.59
