time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-03 03:00:00",0,0,0,19266.62,24352.98,5086.36,18544.25,714.77,3539.72,11418.48,22609.50,22615.03,5.53,2.40,1.41,2.78,0.86,213.96,123.91,9.09,60.00,2.32,0.22,2.38,13.21,6.21,14.57,0,-1.93,0,16816.82,4116.02,3420.14,0.59,16.86,5068.92,4495.60,10132.00,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5293.68,1386.72,19793.26,16825.64,6588.48,10.69,221.00,6661.40,1.61,0.58,0.16,1.34,-0.66,-0.37,2.09,0.88,0.40,0.82,0.67,0.41,212.94,215.30,213.65,123.12,124.07,124.53,16.98,7.08,3.22
"2015-07-03 03:15:00",0,0,0,19267.35,24353.71,5086.36,18544.71,714.77,3539.72,11418.65,22610.30,22615.83,5.53,5.48,1.22,5.61,0.98,215.11,124.57,17.53,59.98,2.65,0.83,2.85,13.21,6.21,14.57,0,-1.93,0,16817.22,4116.21,3420.28,0.59,16.86,5068.92,4495.92,10132.14,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5293.71,1386.86,19793.77,16825.91,6588.68,10.69,221.00,6661.40,1.55,2.03,1.90,1.22,1.19,-1.18,1.97,2.35,2.24,0.79,0.86,0.85,214.12,215.96,215.26,123.73,124.72,125.26,16.21,18.53,17.86
"2015-07-03 03:30:00",0,0,0,19268.42,24354.78,5086.36,18545.26,714.77,3539.72,11418.89,22611.42,22616.96,5.53,2.16,1.94,2.90,0.74,213.96,123.90,9.02,60.02,2.84,1.17,3.15,13.21,6.21,14.57,0,-1.93,0,16817.61,4116.58,3420.59,0.59,16.86,5068.92,4496.25,10132.36,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5293.73,1387.08,19794.28,16826.35,6589.07,10.69,221.00,6661.40,1.60,0.40,0.17,1.46,0.77,-0.30,2.16,0.87,0.34,0.74,0.46,0.50,213.02,214.64,214.22,123.30,124.02,124.38,17.05,6.90,3.10
"2015-07-03 03:45:00",0,0,0,19269.40,24355.76,5086.36,18545.78,714.77,3539.72,11419.11,22612.46,22617.99,5.53,5.67,1.57,5.89,0.96,215.14,124.59,18.27,60.03,4.14,1.21,4.37,13.21,6.21,14.57,0,-1.93,0,16818.03,4116.88,3420.84,0.59,16.86,5068.92,4496.58,10132.55,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5293.75,1387.28,19794.82,16826.73,6589.40,10.69,221.00,6661.40,1.66,2.04,1.97,1.27,1.33,-1.03,2.10,2.44,2.22,0.79,0.84,0.89,214.22,215.64,215.57,124.11,124.53,125.14,17.55,19.12,18.14
"2015-07-03 04:00:00",0,0,0,19270.39,24356.75,5086.36,18546.28,714.77,3539.72,11419.35,22613.49,22619.02,5.53,2.32,0.33,2.34,0.99,214.23,124.06,9.41,60.01,4.27,1.24,4.51,13.21,6.21,14.57,0,-1.93,0,16818.46,4117.17,3421.11,0.59,16.86,5068.92,4496.92,10132.71,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5293.80,1387.47,19795.37,16827.10,6589.73,10.69,221.00,6661.40,1.82,0.22,0.16,1.59,-0.68,-0.32,2.41,0.71,0.36,0.87,0.33,0.51,213.50,215.07,214.11,123.00,124.43,124.76,19.60,5.74,2.88
"2015-07-03 04:15:00",0,0,0,19271.45,24357.80,5086.36,18546.77,714.77,3539.72,11419.68,22614.57,22620.10,5.53,6.29,0.76,6.33,0.99,213.31,123.54,20.62,60.01,3.57,0.92,3.72,13.21,6.21,14.57,0,-1.93,0,16819.15,4117.47,3421.19,0.59,16.86,5068.92,4497.40,10132.72,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5294.03,1387.57,19796.21,16827.50,6589.86,10.69,221.00,6661.40,3.69,2.17,0.43,2.51,-1.28,-0.48,4.46,2.51,0.64,0.83,0.86,0.67,212.31,214.83,212.79,122.30,124.20,124.11,36.45,20.23,5.17
"2015-07-03 04:30:00",0,0,0,19272.54,24358.89,5086.36,18547.30,714.77,3539.72,11419.99,22615.70,22621.23,5.53,4.44,0.75,4.50,0.99,215.50,124.80,14.86,60.01,4.83,0.64,4.89,13.21,6.21,14.57,0,-1.93,0,16819.84,4117.82,3421.24,0.59,16.86,5068.92,4497.91,10132.74,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5294.24,1387.67,19797.07,16827.91,6589.97,10.69,221.00,6661.40,2.83,1.45,0.17,2.03,-0.90,-0.38,3.48,1.70,0.41,0.81,0.85,0.40,214.51,216.60,215.39,123.71,125.33,125.36,28.20,13.19,3.18
"2015-07-03 04:45:00",0,0,0,19273.21,24359.57,5086.36,18547.77,714.77,3539.72,11420.15,22616.46,22621.99,5.53,1.90,1.51,2.43,0.78,213.46,123.62,7.58,60.01,4.02,0.98,4.19,13.21,6.21,14.57,0,-1.93,0,16820.31,4117.99,3421.27,0.59,16.86,5068.92,4498.30,10132.82,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5294.31,1387.76,19797.68,16828.15,6590.07,10.69,221.00,6661.40,1.45,0.34,0.11,1.19,0.67,-0.35,1.87,0.75,0.36,0.77,0.45,0.31,212.70,214.51,213.16,122.84,123.76,124.25,15.45,4.30,3.00
"2015-07-03 05:00:00",0,0,0,19273.72,24360.08,5086.36,18548.18,714.77,3539.72,11420.29,22617.05,22622.59,5.53,2.01,1.54,2.53,0.79,214.28,124.10,8.43,60.02,2.44,1.21,2.79,13.21,6.21,14.57,0,-1.93,0,16820.69,4118.09,3421.31,0.59,16.86,5068.92,4498.61,10132.92,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5294.36,1387.85,19798.17,16828.33,6590.17,10.69,221.00,6661.40,1.57,0.34,0.19,1.37,0.59,-0.31,2.08,0.68,0.36,0.82,0.36,0.31,213.49,215.28,214.07,123.08,124.51,124.71,16.93,5.48,2.88
"2015-07-03 05:15:00",0,0,0,19274.36,24360.71,5086.36,18548.53,714.77,3539.72,11420.49,22617.71,22623.24,5.53,1.86,0.62,1.89,0.98,216.07,125.14,7.58,60.02,2.06,1.14,2.42,13.21,6.21,14.57,0,-1.93,0,16821.09,4118.28,3421.35,0.59,16.86,5068.92,4498.93,10132.95,3916.65,7.26,201.29,506.21,3.40,18.99,3517.33,4738.08,5294.48,1387.94,19798.68,16828.58,6590.27,10.69,221.00,6661.40,1.57,0.18,0.10,1.33,-0.34,-0.37,2.06,0.39,0.38,0.76,0.47,0.27,215.51,216.53,216.14,124.21,125.61,125.57,16.18,3.58,2.96
