time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-03 06:30:00",0,0,0,19276.87,24363.22,5086.36,18550.49,714.77,3539.72,11421.27,22620.57,22626.10,5.53,1.90,1.37,2.34,0.81,215.63,124.87,8.24,60.01,2.04,1.14,2.38,13.21,6.21,14.57,0,-1.93,0,16823.00,4118.69,3421.53,0.59,16.86,5068.92,4500.51,10133.33,3916.65,7.26,201.29,506.21,3.40,18.99,3517.34,4738.08,5294.81,1388.38,19801.17,16829.42,6590.75,10.69,221.00,6661.40,1.49,0.31,0.10,1.04,0.71,-0.37,1.82,0.77,0.38,0.82,0.40,0.27,214.72,216.02,216.15,124.42,124.97,125.22,16.08,5.33,3.31
"2015-07-03 06:45:00",0,0,0,19277.41,24363.77,5086.36,18550.92,714.77,3539.72,11421.40,22621.20,22626.73,5.53,2.05,1.51,2.55,0.80,215.92,125.04,8.45,60.10,2.11,1.20,2.48,13.21,6.21,14.57,0,-1.93,0,16823.40,4118.80,3421.57,0.59,16.86,5068.92,4500.84,10133.43,3916.65,7.26,201.29,506.21,3.40,18.99,3517.34,4738.08,5294.85,1388.47,19801.69,16829.60,6590.85,10.69,221.00,6661.40,1.58,0.34,0.13,1.34,0.53,-0.36,2.07,0.63,0.38,0.76,0.54,0.34,214.87,216.54,216.36,124.47,125.01,125.64,16.60,5.59,3.16
"2015-07-03 07:00:00",0,0,0,19277.95,24364.31,5086.36,18551.34,714.77,3539.72,11421.53,22621.83,22627.36,5.53,2.33,0.46,2.37,0.98,216.05,125.11,8.51,60.01,2.17,1.20,2.54,13.21,6.21,14.57,0,-1.93,0,16823.80,4118.90,3421.61,0.59,16.86,5068.92,4501.16,10133.53,3916.65,7.26,201.29,506.21,3.40,18.99,3517.34,4738.08,5294.89,1388.56,19802.21,16829.78,6590.94,10.69,221.00,6661.41,1.48,0.50,0.18,1.46,-0.53,-0.34,2.08,0.72,0.38,0.71,0.69,0.46,215.07,216.56,216.46,124.36,125.25,125.68,15.99,4.84,3.37
"2015-07-03 07:15:00",0,0,0,19278.49,24364.85,5086.36,18551.76,714.77,3539.73,11421.67,22622.46,22627.99,5.53,2.02,1.49,2.39,0.75,215.70,124.91,7.98,60.01,2.20,1.13,2.54,13.21,6.21,14.57,0,-1.93,0,16824.20,4119.01,3421.64,0.59,16.86,5068.92,4501.49,10133.62,3916.65,7.26,201.29,506.21,3.40,18.99,3517.34,4738.08,5294.94,1388.65,19802.72,16829.96,6591.04,10.69,221.00,6661.41,1.20,0.66,0.15,1.09,0.74,-0.34,1.62,0.99,0.37,0.74,0.66,0.41,214.81,216.51,215.77,124.26,125.00,125.47,13.42,5.93,3.00
"2015-07-03 07:30:00",0,0,0,19279.00,24365.36,5086.36,18552.16,714.77,3539.73,11421.81,22623.04,22628.58,5.53,1.87,1.41,2.34,0.80,215.80,124.97,7.38,60.01,2.11,1.11,2.45,13.21,6.21,14.57,0,-1.93,0,16824.56,4119.11,3421.68,0.59,16.86,5068.92,4501.80,10133.71,3916.65,7.26,201.29,506.21,3.40,18.99,3517.34,4738.08,5295.00,1388.74,19803.21,16830.14,6591.14,10.69,221.00,6661.41,1.35,0.31,0.20,1.32,0.43,-0.34,1.89,0.53,0.40,0.72,0.59,0.51,214.87,216.41,216.12,124.28,125.26,125.37,14.27,4.10,3.78
"2015-07-03 07:45:00",0,0,0,19279.50,24365.86,5086.36,18552.57,714.77,3539.73,11421.95,22623.64,22629.17,5.53,1.80,1.62,2.42,0.74,214.61,124.28,7.88,60.02,2.03,1.01,2.36,13.21,6.21,14.57,0,-1.93,0,16824.94,4119.21,3421.72,0.59,16.86,5068.92,4502.11,10133.80,3916.65,7.26,201.29,506.21,3.40,18.99,3517.34,4738.08,5295.05,1388.82,19803.70,16830.31,6591.23,10.69,221.00,6661.41,1.38,0.31,0.11,1.37,0.60,-0.35,1.94,0.68,0.37,0.71,0.46,0.29,213.84,215.45,214.53,123.53,124.59,124.71,15.26,5.45,2.94
"2015-07-03 08:00:00",0,0,0,19280.02,24366.38,5086.36,18552.97,714.77,3539.73,11422.09,22624.24,22629.77,5.53,1.87,0.24,1.89,0.99,215.82,124.98,8.78,60.01,2.02,1.09,2.37,13.21,6.21,14.57,0,-1.93,0,16825.32,4119.30,3421.76,0.59,16.86,5068.92,4502.43,10133.90,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.10,1388.91,19804.20,16830.49,6591.33,10.69,221.00,6661.41,1.53,0.15,0.09,1.51,-0.73,-0.38,2.15,0.74,0.39,0.71,0.20,0.24,215.05,216.56,216.08,124.23,125.24,125.61,15.99,3.04,3.02
"2015-07-03 08:15:00",0,0,0,19280.51,24366.87,5086.36,18553.31,714.77,3539.73,11422.32,22624.74,22630.27,5.53,1.93,0.41,1.99,0.97,215.42,124.75,8.15,60.00,2.10,0.99,2.39,13.21,6.21,14.57,0,-1.93,0,16825.72,4119.35,3421.79,0.59,16.86,5068.92,4502.76,10133.90,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.24,1389.00,19804.72,16830.64,6591.42,10.69,221.00,6661.41,1.61,0.18,0.14,1.32,-0.58,-0.33,2.08,0.60,0.36,0.77,0.29,0.40,214.75,215.97,215.49,123.99,125.03,125.19,16.61,3.66,2.92
"2015-07-03 08:30:00",0,0,0,19281.09,24367.45,5086.36,18553.68,714.77,3539.73,11422.54,22625.35,22630.88,5.53,2.34,1.55,2.81,0.83,214.86,124.42,8.53,60.02,1.91,0.41,1.96,13.21,6.21,14.57,0,-1.93,0,16826.12,4119.45,3421.88,0.59,16.86,5068.92,4503.08,10133.95,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.35,1389.11,19805.23,16830.84,6591.57,10.69,221.00,6661.42,1.77,0.38,0.20,1.28,0.63,-0.37,2.18,0.74,0.42,0.81,0.51,0.47,214.25,215.45,214.89,123.68,124.77,124.83,18.04,4.16,3.40
"2015-07-03 08:45:00",0,0,0,19281.61,24367.97,5086.36,18554.10,714.77,3539.73,11422.68,22625.97,22631.50,5.53,2.30,-0.29,2.32,0.99,215.90,125.02,9.13,60.01,2.36,0.70,2.53,13.21,6.21,14.57,0,-1.93,0,16826.50,4119.55,3421.92,0.59,16.86,5068.92,4503.40,10134.05,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.40,1389.20,19805.73,16831.02,6591.67,10.69,221.00,6661.42,1.76,0.38,0.16,0.86,-0.79,-0.37,1.96,0.87,0.40,0.90,0.44,0.40,215.13,216.38,216.19,124.40,125.25,125.42,18.17,6.03,3.20
