time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-03 10:00:00",0,0,0,19284.17,24370.53,5086.36,18556.08,714.77,3539.73,11423.45,22628.89,22634.42,5.53,1.88,0.26,1.90,0.99,213.03,123.33,7.42,60.02,2.08,0.97,2.36,13.21,6.21,14.57,0,-1.93,0,16828.42,4120.00,3422.11,0.59,16.86,5068.92,4505.00,10134.43,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.73,1389.64,19808.25,16831.89,6592.16,10.69,221.00,6661.42,1.53,0.25,0.10,1.28,-0.67,-0.35,1.99,0.71,0.36,0.77,0.36,0.28,212.17,213.75,213.16,122.61,123.58,123.81,16.20,3.40,2.66
"2015-07-03 10:15:00",0,0,0,19284.63,24370.99,5086.36,18556.42,714.77,3539.73,11423.67,22629.37,22634.90,5.53,2.05,-0.03,2.05,1.00,213.34,123.51,8.41,60.02,1.86,0.42,1.93,13.21,6.21,14.57,0,-1.93,0,16828.80,4120.04,3422.14,0.59,16.86,5068.92,4505.32,10134.45,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.86,1389.73,19808.75,16832.04,6592.25,10.69,221.00,6661.42,1.37,0.40,0.11,1.54,0.52,-0.37,2.06,0.66,0.39,0.67,0.61,0.29,212.09,213.55,214.35,123.29,123.13,124.11,15.14,4.85,2.86
"2015-07-03 10:30:00",0,0,0,19285.14,24371.50,5086.36,18556.84,714.77,3539.73,11423.80,22629.97,22635.50,5.53,2.20,1.42,2.62,0.84,212.80,123.20,8.11,59.97,1.86,0.57,1.99,13.21,6.21,14.57,0,-1.93,0,16829.17,4120.15,3422.18,0.59,16.86,5068.92,4505.64,10134.55,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.90,1389.82,19809.23,16832.22,6592.35,10.69,221.00,6661.42,1.47,0.55,0.19,1.28,0.52,-0.38,1.95,0.76,0.42,0.75,0.73,0.44,212.17,213.37,212.86,122.69,123.40,123.52,15.71,5.40,3.22
"2015-07-03 10:45:00",0,0,0,19285.65,24372.01,5086.36,18557.26,714.77,3539.73,11423.94,22630.57,22636.10,5.53,2.00,1.72,2.64,0.76,213.67,123.71,8.42,60.01,2.04,1.19,2.42,13.21,6.21,14.57,0,-1.93,0,16829.53,4120.26,3422.22,0.59,16.86,5068.92,4505.96,10134.65,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.94,1389.91,19809.72,16832.40,6592.45,10.69,221.00,6661.42,1.47,0.36,0.16,1.29,0.80,-0.36,1.96,0.87,0.40,0.75,0.41,0.41,212.90,214.08,214.03,123.18,123.97,123.97,15.81,6.20,3.26
"2015-07-03 11:00:00",0,0,0,19286.18,24372.54,5086.36,18557.69,714.77,3539.73,11424.07,22631.19,22636.72,5.53,2.16,0.20,2.17,1.00,212.71,123.15,8.67,60.02,2.04,1.11,2.39,13.21,6.21,14.57,0,-1.93,0,16829.92,4120.35,3422.26,0.59,16.86,5068.92,4506.29,10134.75,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5295.99,1390.00,19810.23,16832.58,6592.55,10.69,221.00,6661.42,1.68,0.33,0.15,0.98,-0.44,-0.33,1.94,0.55,0.37,0.86,0.59,0.42,212.25,213.31,212.57,122.41,123.60,123.45,17.27,5.83,2.90
"2015-07-03 11:15:00",0,0,0,19286.71,24373.07,5086.36,18558.11,714.77,3539.73,11424.20,22631.82,22637.35,5.53,2.29,-0.29,2.31,0.99,213.34,123.52,8.87,60.01,2.13,1.17,2.48,13.21,6.21,14.57,0,-1.93,0,16830.31,4120.45,3422.30,0.59,16.86,5068.92,4506.62,10134.85,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5296.02,1390.09,19810.74,16832.74,6592.65,10.69,221.00,6661.42,1.50,0.38,0.17,1.58,-0.55,-0.39,2.18,0.67,0.43,0.89,0.40,0.51,212.55,213.91,213.57,122.97,123.72,123.87,17.74,5.39,3.47
"2015-07-03 11:30:00",0,0,0,19287.21,24373.57,5086.36,18558.48,714.77,3539.73,11424.38,22632.37,22637.90,5.53,1.72,0.43,1.77,0.97,212.67,123.14,7.32,60.02,2.14,1.19,2.50,13.21,6.21,14.57,0,-1.93,0,16830.70,4120.53,3422.34,0.59,16.86,5068.92,4506.94,10134.89,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5296.12,1390.18,19811.25,16832.91,6592.75,10.69,221.00,6661.42,1.43,0.18,0.11,1.35,-0.58,-0.34,1.97,0.60,0.36,0.73,0.29,0.31,212.10,213.23,212.68,122.61,123.54,123.26,15.34,3.84,2.77
"2015-07-03 11:45:00",0,0,0,19287.65,24374.01,5086.36,18558.81,714.77,3539.73,11424.59,22632.83,22638.37,5.53,1.80,0.29,1.82,0.99,213.57,123.65,7.89,60.01,1.93,0.63,2.10,13.21,6.21,14.57,0,-1.93,0,16831.07,4120.57,3422.37,0.59,16.86,5068.92,4507.25,10134.91,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5296.25,1390.27,19811.73,16833.06,6592.84,10.69,221.00,6661.42,1.47,0.18,0.15,1.30,-0.64,-0.37,1.96,0.67,0.40,0.75,0.27,0.38,212.85,214.16,213.69,123.10,123.87,124.00,15.65,4.87,3.14
"2015-07-03 12:00:00",0,0,0,19288.11,24374.47,5086.36,18559.16,714.77,3539.73,11424.77,22633.35,22638.88,5.53,1.60,1.50,2.20,0.73,214.01,123.91,6.91,60.01,1.77,0.47,1.89,13.21,6.21,14.57,0,-1.93,0,16831.41,4120.65,3422.41,0.59,16.86,5068.92,4507.54,10134.97,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5296.33,1390.36,19812.19,16833.23,6592.94,10.69,221.00,6661.42,1.18,0.33,0.09,1.48,0.38,-0.37,1.90,0.51,0.38,0.62,0.65,0.23,213.36,214.54,214.13,123.53,124.07,124.14,13.10,4.74,2.90
"2015-07-03 12:15:00",0,0,0,19288.60,24374.96,5086.36,18559.58,714.77,3539.73,11424.91,22633.94,22639.47,5.53,0.73,1.27,1.46,0.50,214.79,124.36,5.73,60.01,1.83,0.84,2.10,13.21,6.21,14.57,0,-1.93,0,16831.67,4120.79,3422.50,0.59,16.86,5068.92,4507.82,10135.11,3916.65,7.26,201.29,506.21,3.40,18.99,3517.35,4738.08,5296.36,1390.47,19812.58,16833.45,6593.09,10.69,221.00,6661.42,0.31,0.29,0.10,1.03,0.65,-0.33,1.07,0.72,0.35,0.31,0.46,0.29,214.06,214.97,215.34,124.48,124.17,124.44,8.62,5.77,2.79
