time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-03 20:45:00",0,0,0,19307.79,24394.15,5086.36,18577.33,714.78,3539.74,11428.16,22658.87,22664.40,5.53,0.69,1.20,1.39,0.50,210.17,121.71,5.04,59.93,0.72,1.05,1.32,13.21,6.21,14.57,0,-1.93,0,16839.41,4126.78,3427.97,0.59,16.86,5068.92,4517.22,10140.07,3920.04,7.27,201.29,506.21,3.40,18.99,3517.36,4738.09,5297.78,1392.29,19825.52,16842.69,6601.04,10.70,221.00,6661.43,0.25,0.31,0.13,0.93,0.60,-0.33,0.97,0.68,0.36,0.26,0.46,0.37,209.99,210.38,210.13,121.63,122.08,121.41,8.04,4.26,2.84
"2015-07-03 21:00:00",0,0,0,19307.94,24394.30,5086.36,18577.61,714.78,3539.74,11428.34,22659.08,22664.61,5.53,0.53,-0.10,0.54,0.98,209.44,121.29,4.62,60.01,4.50,2.94,5.49,13.21,6.21,14.57,0,-1.93,0,16839.48,4126.83,3428.00,0.59,16.86,5068.92,4517.45,10140.12,3920.04,7.27,201.29,506.21,3.40,18.99,3517.36,4738.09,5297.88,1392.37,19825.76,16842.85,6601.13,10.70,221.00,6661.43,0.31,0.10,0.11,0.94,-0.71,-0.33,0.99,0.72,0.35,0.32,0.15,0.32,209.07,209.38,209.88,121.30,121.29,121.28,8.26,2.88,2.73
"2015-07-03 21:15:00",0,0,0,19309.13,24395.50,5086.36,18578.38,714.78,3539.74,11428.44,22660.46,22665.99,5.53,0.60,-0.11,0.61,0.98,209.49,121.32,5.30,60.02,0.58,0.27,0.75,13.21,6.21,14.57,0,-1.93,0,16839.92,4127.20,3428.38,0.59,16.86,5068.92,4517.83,10140.33,3920.22,7.27,201.29,506.21,3.40,18.99,3517.36,4738.09,5297.94,1392.41,19826.36,16843.32,6601.58,10.70,221.00,6661.43,0.34,0.12,0.14,0.91,-0.70,-0.32,0.98,0.71,0.35,0.35,0.17,0.39,209.03,209.90,209.54,121.02,121.72,121.21,8.44,4.63,2.84
"2015-07-03 21:30:00",0,0,0,19309.32,24395.68,5086.36,18578.70,714.78,3539.74,11428.58,22660.75,22666.28,5.53,0.95,1.04,1.41,0.68,209.55,121.35,5.40,59.93,4.77,2.67,5.54,13.21,6.21,14.57,0,-1.93,0,16840.00,4127.27,3428.42,0.59,16.86,5068.92,4518.06,10140.42,3920.22,7.27,201.29,506.21,3.40,18.99,3517.36,4738.09,5298.00,1392.49,19826.61,16843.49,6601.67,10.70,221.00,6661.43,0.30,0.49,0.12,0.97,0.39,-0.31,1.01,0.63,0.33,0.32,0.81,0.36,209.15,209.83,209.66,121.24,121.55,121.24,8.34,5.14,2.73
"2015-07-03 21:45:00",0,0,0,19310.62,24396.98,5086.36,18579.55,714.78,3539.74,11428.62,22662.30,22667.83,5.53,0.70,-0.13,0.71,0.98,209.74,121.46,5.31,60.01,0.78,0.88,1.25,13.21,6.21,14.57,0,-1.93,0,16840.44,4127.71,3428.82,0.59,16.86,5068.92,4518.44,10140.71,3920.41,7.27,201.29,506.21,3.40,18.99,3517.36,4738.09,5298.01,1392.53,19827.21,16844.04,6602.15,10.70,221.00,6661.43,0.25,0.31,0.14,0.90,-0.69,-0.33,0.93,0.76,0.36,0.27,0.41,0.39,209.40,210.31,209.51,121.08,121.84,121.44,8.23,4.94,2.75
"2015-07-03 22:00:00",0,0,0,19310.79,24397.15,5086.36,18579.91,714.78,3539.74,11428.73,22662.62,22668.15,5.53,0.75,1.18,1.40,0.54,211.48,122.46,5.27,60.01,5.16,3.21,6.18,13.21,6.21,14.57,0,-1.93,0,16840.50,4127.80,3428.86,0.59,16.86,5068.92,4518.67,10140.83,3920.41,7.27,201.29,506.21,3.40,18.99,3517.36,4738.09,5298.03,1392.61,19827.45,16844.21,6602.23,10.70,221.00,6661.43,0.32,0.28,0.15,1.09,0.38,-0.29,1.14,0.47,0.33,0.28,0.59,0.46,210.97,211.88,211.59,122.11,122.81,122.47,9.30,3.84,2.68
"2015-07-03 22:15:00",0,0,0,19311.86,24398.22,5086.36,18580.64,714.79,3539.75,11428.79,22663.92,22669.45,5.53,0.58,1.14,1.28,0.45,209.83,121.51,5.05,59.96,0.69,0.99,1.28,13.21,6.21,14.57,0,-1.93,0,16840.85,4128.18,3429.19,0.59,16.86,5068.92,4519.00,10141.08,3920.56,7.28,201.29,506.21,3.40,18.99,3517.36,4738.09,5298.05,1392.65,19827.97,16844.68,6602.64,10.70,221.00,6661.43,0.18,0.30,0.10,0.79,0.65,-0.30,0.80,0.72,0.32,0.22,0.41,0.33,209.54,210.25,209.69,120.99,121.93,121.61,6.65,5.88,2.61
"2015-07-03 22:30:00",0,0,0,19312.05,24398.41,5086.36,18580.95,714.79,3539.75,11428.91,22664.21,22669.74,5.53,0.71,0.07,0.72,1.00,208.83,120.94,5.15,60.01,4.29,2.72,5.20,13.21,6.21,14.57,0,-1.93,0,16840.92,4128.26,3429.23,0.59,16.86,5068.92,4519.22,10141.17,3920.56,7.28,201.29,506.21,3.40,18.99,3517.36,4738.09,5298.10,1392.72,19828.20,16844.86,6602.72,10.71,221.00,6661.43,0.41,0.22,0.14,0.73,-0.63,-0.33,0.84,0.66,0.36,0.24,0.57,0.47,208.23,209.33,208.94,120.68,121.19,120.94,6.98,5.48,2.98
"2015-07-03 22:45:00",0,0,0,19313.25,24399.61,5086.36,18581.71,714.79,3539.75,11429.02,22665.60,22671.13,5.53,0.61,0.23,0.66,0.93,211.08,122.23,4.78,60.01,0.74,0.61,1.09,13.21,6.21,14.57,0,-1.93,0,16841.37,4128.63,3429.62,0.59,16.86,5068.92,4519.59,10141.38,3920.75,7.28,201.29,506.21,3.40,18.99,3517.36,4738.09,5298.17,1392.76,19828.79,16845.34,6603.18,10.71,221.00,6661.43,0.36,0.14,0.12,0.96,-0.44,-0.29,1.03,0.46,0.31,0.35,0.29,0.39,210.39,211.52,211.32,121.94,122.51,122.25,8.40,3.20,2.75
"2015-07-03 23:00:00",0,0,0,19313.43,24399.80,5086.36,18581.99,714.79,3539.75,11429.22,22665.82,22671.36,5.53,3.94,1.03,4.08,0.97,210.26,121.76,14.23,60.01,4.78,2.65,5.54,13.21,6.21,14.57,0,-1.93,0,16841.45,4128.69,3429.66,0.59,16.86,5068.92,4519.82,10141.42,3920.75,7.28,201.29,506.21,3.40,18.99,3517.36,4738.09,5298.28,1392.85,19829.04,16845.51,6603.28,10.71,221.00,6661.43,0.32,1.86,1.77,0.96,1.12,-1.05,1.01,2.17,2.05,0.32,0.86,0.86,209.45,210.11,211.22,121.97,121.55,121.75,8.35,17.30,17.04
