time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-04 00:15:00",0,0,0,19317.25,24403.62,5086.37,18584.98,714.79,3539.75,11429.71,22670.55,22676.09,5.53,0.62,0.11,0.63,0.98,212.09,122.82,5.00,60.01,4.33,2.75,5.22,13.21,6.21,14.57,0,-1.93,0,16842.74,4130.03,3430.85,0.59,16.86,5068.92,4521.35,10142.37,3921.25,7.29,201.29,506.21,3.40,18.99,3517.36,4738.10,5298.46,1393.15,19831.20,16847.35,6604.78,10.71,221.00,6661.43,0.32,0.14,0.17,0.91,-0.54,-0.26,0.97,0.56,0.31,0.33,0.26,0.53,211.52,213.02,211.72,122.26,123.38,122.82,8.56,3.66,2.79
"2015-07-04 00:30:00",0,0,0,19318.35,24404.71,5086.37,18585.71,714.79,3539.75,11429.82,22671.84,22677.37,5.53,0.48,-0.44,0.66,0.74,212.50,123.06,5.49,60.01,0.62,0.34,0.84,13.21,6.21,14.57,0,-1.93,0,16843.14,4130.37,3431.20,0.59,16.86,5068.92,4521.71,10142.58,3921.42,7.29,201.29,506.21,3.40,18.99,3517.36,4738.10,5298.53,1393.19,19831.76,16847.81,6605.21,10.71,221.00,6661.43,0.37,0.12,-0.00,0.68,-0.73,-0.39,0.78,0.74,0.39,0.48,0.16,-0.01,211.84,213.54,212.13,122.52,123.56,123.11,7.20,6.33,2.94
"2015-07-04 00:45:00",0,0,0,19318.53,24404.89,5086.37,18586.07,714.79,3539.75,11429.92,22672.16,22677.69,5.53,0.60,0.99,1.16,0.52,212.25,122.91,5.75,60.01,4.40,2.56,5.19,13.21,6.21,14.57,0,-1.93,0,16843.20,4130.46,3431.24,0.59,16.86,5068.92,4521.95,10142.70,3921.42,7.29,201.29,506.21,3.40,18.99,3517.37,4738.10,5298.55,1393.27,19832.00,16847.98,6605.29,10.71,221.00,6661.43,0.19,0.29,0.11,0.92,0.43,-0.36,0.94,0.52,0.38,0.21,0.56,0.30,211.90,212.82,212.02,122.56,123.24,122.92,7.99,6.22,3.04
"2015-07-04 01:00:00",0,0,0,19319.54,24405.91,5086.37,18586.80,714.79,3539.75,11429.99,22673.42,22678.95,5.53,0.74,1.07,0.74,0.85,212.50,123.05,5.13,60.03,0.71,1.05,1.33,13.21,6.21,14.57,0,-1.93,0,16843.53,4130.82,3431.56,0.59,16.86,5068.92,4522.29,10142.95,3921.57,7.29,201.29,506.21,3.40,18.99,3517.37,4738.10,5298.57,1393.32,19832.51,16848.44,6605.69,10.71,221.00,6661.44,0.18,0.37,0.19,0.89,0.50,-0.32,0.90,0.62,0.37,0.20,0.60,0.51,211.60,212.66,212.89,122.91,122.83,123.23,6.58,5.74,3.18
"2015-07-04 01:15:00",0,0,0,19319.82,24406.19,5086.37,18587.20,714.79,3539.76,11430.10,22673.85,22679.38,5.53,9.68,5.50,11.13,0.87,212.10,122.82,30.36,60.01,4.06,2.67,5.00,13.21,6.21,14.57,0,-1.93,0,16843.62,4130.93,3431.63,0.59,16.86,5068.92,4522.53,10143.08,3921.59,7.29,201.29,506.21,3.40,18.99,3517.37,4738.11,5298.59,1393.40,19832.79,16848.64,6605.81,10.71,221.00,6661.44,3.32,3.13,3.24,2.15,1.82,1.53,3.95,3.61,3.58,0.84,0.87,0.90,211.49,213.00,211.81,122.37,122.98,123.13,32.19,29.53,29.36
"2015-07-04 01:30:00",0,0,0,19320.72,24407.08,5086.37,18587.88,714.79,3539.76,11430.17,22674.96,22680.49,5.53,0.99,-0.01,0.99,1.00,213.55,123.66,5.92,60.01,2.42,1.79,3.16,13.21,6.21,14.57,0,-1.93,0,16843.94,4131.24,3431.90,0.59,16.86,5068.92,4522.86,10143.31,3921.71,7.29,201.29,506.21,3.40,18.99,3517.37,4738.11,5298.62,1393.45,19833.28,16849.05,6606.15,10.71,221.00,6661.44,0.52,0.44,0.03,0.87,-0.54,-0.34,1.01,0.70,0.34,0.51,0.63,0.10,212.88,214.46,213.32,123.24,123.92,123.83,8.65,6.67,2.44
"2015-07-04 01:45:00",0,0,0,19321.66,24408.02,5086.37,18588.57,714.79,3539.76,11430.27,22676.10,22681.63,5.53,1.45,2.25,2.67,0.54,214.09,123.98,7.38,60.03,2.33,1.76,3.04,13.21,6.21,14.57,0,-1.93,0,16844.28,4131.54,3432.21,0.59,16.86,5068.92,4523.20,10143.51,3921.86,7.29,201.29,506.21,3.40,18.99,3517.37,4738.11,5298.67,1393.49,19833.78,16849.46,6606.52,10.71,221.00,6661.44,0.59,0.35,0.51,1.14,0.66,0.44,1.28,0.75,0.67,0.46,0.47,0.75,213.57,214.71,213.99,123.63,124.11,124.19,11.04,5.25,5.85
"2015-07-04 02:00:00",0,0,0,19321.79,24408.15,5086.37,18588.84,714.80,3539.76,11430.47,22676.29,22681.82,5.53,0.46,-0.15,0.49,0.95,214.07,123.97,5.67,60.01,3.70,2.26,4.46,13.21,6.21,14.57,0,-1.93,0,16844.35,4131.57,3432.24,0.59,16.86,5068.92,4523.44,10143.54,3921.86,7.29,201.29,506.21,3.40,18.99,3517.37,4738.12,5298.79,1393.57,19834.04,16849.62,6606.60,10.71,221.00,6661.44,0.21,0.18,0.08,1.02,-0.72,-0.32,1.04,0.74,0.33,0.27,0.13,0.24,213.41,214.74,214.07,123.52,124.10,124.28,8.41,5.95,2.66
"2015-07-04 02:15:00",0,0,0,19322.07,24408.44,5086.37,18589.17,714.80,3539.76,11430.65,22676.70,22682.23,5.53,0.59,1.11,1.26,0.47,215.02,124.51,5.02,60.01,0.70,0.24,0.98,13.21,6.21,14.57,0,-1.93,0,16844.40,4131.70,3432.33,0.59,16.86,5068.92,4523.65,10143.66,3921.86,7.29,201.29,506.21,3.40,18.99,3517.38,4738.14,5298.83,1393.67,19834.29,16849.83,6606.75,10.71,221.00,6661.44,0.13,0.31,0.15,0.72,0.70,-0.30,0.73,0.76,0.34,0.18,0.41,0.45,214.32,215.82,214.93,123.98,124.71,124.86,5.85,6.32,2.88
"2015-07-04 02:30:00",0,0,0,19322.25,24408.61,5086.37,18589.52,714.80,3539.76,11430.77,22677.02,22682.55,5.53,0.57,1.14,1.28,0.44,215.25,124.64,5.31,60.02,0.96,0.77,1.50,13.21,6.21,14.57,0,-1.93,0,16844.46,4131.79,3432.36,0.59,16.86,5068.92,4523.88,10143.77,3921.86,7.29,201.29,506.21,3.40,18.99,3517.38,4738.16,5298.86,1393.75,19834.54,16850.01,6606.84,10.72,221.00,6661.44,0.15,0.31,0.10,1.08,0.34,-0.28,1.09,0.46,0.30,0.14,0.68,0.34,214.43,216.22,215.09,124.23,124.58,125.12,7.72,5.43,2.77
