time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-04 22:30:00",0,0,0,19368.75,24455.12,5086.37,18628.08,714.81,3539.79,11440.78,22733.67,22739.20,5.53,0.41,-0.10,0.42,0.97,209.76,121.47,4.74,60.01,0.76,0.98,1.31,13.21,6.21,14.57,0,-1.93,0,16869.38,4143.98,3441.76,0.59,16.86,5068.93,4548.54,10153.39,3926.16,7.30,201.30,506.21,3.40,18.99,3517.40,4738.20,5303.23,1399.35,19871.15,16869.47,6621.36,10.73,221.00,6661.47,0.21,0.10,0.07,0.91,0.47,-0.30,0.94,0.48,0.31,0.23,0.22,0.24,209.50,210.31,209.46,120.98,121.94,121.49,7.74,3.93,2.54
"2015-07-04 22:45:00",0,0,0,19368.86,24455.23,5086.37,18628.32,714.82,3539.80,11440.99,22733.83,22739.36,5.53,0.51,-0.11,0.59,0.72,212.13,122.84,5.39,60.01,5.16,2.88,5.99,13.21,6.21,14.57,0,-1.93,0,16869.44,4144.01,3441.79,0.59,16.86,5068.93,4548.76,10153.41,3926.16,7.31,201.30,506.21,3.40,18.99,3517.41,4738.21,5303.36,1399.43,19871.38,16869.62,6621.44,10.73,221.00,6661.48,0.26,0.17,0.09,0.91,-0.68,-0.34,0.94,0.70,0.35,0.27,0.24,0.25,211.51,212.54,212.44,122.55,122.96,123.07,6.80,4.46,2.77
"2015-07-04 23:00:00",0,0,0,19370.05,24456.42,5086.37,18629.12,714.82,3539.80,11441.05,22735.25,22740.78,5.53,0.80,1.23,1.47,0.55,210.56,121.94,5.30,60.01,1.51,0.76,1.84,13.21,6.21,14.57,0,-1.93,0,16869.84,4144.41,3442.16,0.59,16.86,5068.93,4549.12,10153.67,3926.33,7.31,201.30,506.21,3.40,18.99,3517.41,4738.21,5303.37,1399.47,19871.95,16870.12,6621.89,10.73,221.00,6661.48,0.39,0.29,0.13,1.10,0.47,-0.34,1.17,0.55,0.36,0.33,0.53,0.35,210.17,211.13,210.39,121.47,122.29,122.05,8.57,4.28,3.04
"2015-07-04 23:15:00",0,0,0,19370.93,24457.30,5086.37,18629.76,714.82,3539.80,11441.13,22736.32,22741.85,5.53,10.08,5.49,11.48,0.88,210.25,121.75,31.81,60.01,3.77,2.46,4.60,13.21,6.21,14.57,0,-1.93,0,16870.15,4144.72,3442.43,0.59,16.86,5068.93,4549.44,10153.88,3926.44,7.31,201.30,506.21,3.40,18.99,3517.41,4738.21,5303.39,1399.52,19872.43,16870.52,6622.21,10.73,221.00,6661.48,3.40,3.38,3.30,2.13,1.76,1.61,4.01,3.81,3.67,0.85,0.89,0.90,209.81,210.91,210.03,121.17,122.10,121.99,33.46,31.84,30.13
"2015-07-04 23:30:00",0,0,0,19371.58,24457.95,5086.37,18630.31,714.82,3539.80,11441.20,22737.15,22742.68,5.53,0.80,0.37,0.88,0.91,211.06,122.22,5.74,60.01,4.79,2.87,5.67,13.21,6.21,14.57,0,-1.93,0,16870.38,4144.95,3442.62,0.59,16.86,5068.93,4549.73,10154.06,3926.52,7.31,201.30,506.21,3.40,18.99,3517.41,4738.21,5303.42,1399.58,19872.81,16870.84,6622.46,10.73,221.00,6661.48,0.36,0.28,0.17,1.15,-0.50,-0.28,1.21,0.57,0.33,0.29,0.48,0.51,210.39,211.90,210.87,121.73,122.66,122.27,9.92,4.63,2.68
"2015-07-04 23:45:00",0,0,0,19372.87,24459.24,5086.37,18631.15,714.82,3539.80,11441.26,22738.68,22744.21,5.53,1.46,2.55,2.94,0.50,209.71,121.44,7.88,60.01,1.30,1.26,1.91,13.21,6.21,14.57,0,-1.93,0,16870.82,4145.39,3443.03,0.59,16.86,5068.93,4550.09,10154.34,3926.71,7.31,201.30,506.21,3.40,18.99,3517.41,4738.21,5303.43,1399.62,19873.41,16871.38,6622.95,10.73,221.00,6661.48,0.32,0.65,0.49,1.28,0.88,0.39,1.32,1.10,0.62,0.24,0.59,0.78,209.46,210.48,209.18,120.99,121.84,121.49,8.82,8.95,5.87
"2015-07-05 00:00:00",0,0,0,19373.04,24459.41,5086.37,18631.48,714.82,3539.80,11441.39,22738.97,22744.50,5.53,0.20,-0.28,0.35,0.59,211.02,122.19,5.46,60.02,5.21,3.18,6.18,13.21,6.21,14.57,0,-1.93,0,16870.88,4145.47,3443.07,0.59,16.86,5068.93,4550.32,10154.44,3926.72,7.31,201.30,506.21,3.40,18.99,3517.41,4738.21,5303.48,1399.69,19873.64,16871.55,6623.03,10.73,221.00,6661.48,0.32,-0.02,-0.10,0.82,-0.77,-0.33,0.88,0.77,0.35,0.37,-0.02,-0.29,210.42,211.65,210.98,121.90,122.31,122.37,7.25,6.29,2.84
"2015-07-05 00:15:00",0,0,0,19373.99,24460.37,5086.37,18632.15,714.82,3539.80,11441.49,22740.11,22745.64,5.53,0.40,1.17,0.32,0.95,211.62,122.54,5.14,60.02,0.60,0.67,1.03,13.21,6.21,14.57,0,-1.93,0,16871.21,4145.77,3443.39,0.59,16.86,5068.93,4550.66,10154.63,3926.87,7.31,201.30,506.21,3.40,18.99,3517.41,4738.21,5303.55,1399.74,19874.15,16871.96,6623.42,10.74,221.00,6661.48,0.22,0.02,0.16,0.87,0.62,-0.33,0.90,0.62,0.37,0.24,0.03,0.44,210.98,212.42,211.49,122.15,122.71,122.79,7.98,6.64,3.02
"2015-07-05 00:30:00",0,0,0,19374.33,24460.71,5086.37,18632.53,714.82,3539.80,11441.66,22740.55,22746.08,5.53,9.83,5.81,11.42,0.86,210.07,121.65,31.07,60.01,3.81,2.27,4.58,13.21,6.21,14.57,0,-1.93,0,16871.35,4145.88,3443.48,0.59,16.86,5068.93,4550.91,10154.71,3926.90,7.31,201.30,506.21,3.40,18.99,3517.42,4738.21,5303.64,1399.81,19874.46,16872.19,6623.58,10.74,221.00,6661.48,3.37,3.20,3.26,2.39,1.85,1.57,4.13,3.69,3.62,0.82,0.87,0.90,209.59,210.83,209.79,121.25,122.05,121.64,33.13,30.21,29.87
"2015-07-05 00:45:00",0,0,0,19375.19,24461.56,5086.37,18633.18,714.82,3539.81,11441.73,22741.61,22747.14,5.53,1.00,1.40,1.72,0.58,213.29,123.51,6.06,60.01,2.71,1.58,3.24,13.21,6.21,14.57,0,-1.93,0,16871.64,4146.18,3443.74,0.59,16.86,5068.93,4551.23,10154.93,3927.02,7.31,201.30,506.21,3.40,18.99,3517.42,4738.22,5303.66,1399.86,19874.92,16872.58,6623.90,10.74,221.00,6661.49,0.31,0.56,0.13,1.08,0.65,-0.33,1.13,0.86,0.36,0.28,0.65,0.36,212.50,214.01,213.34,123.10,123.87,123.55,7.51,7.67,3.00
