time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-05 16:15:00",0,0,0,19405.38,24491.75,5086.38,18658.99,714.83,3539.85,11450.37,22777.94,22783.48,5.53,0.50,0.06,0.51,0.99,213.79,123.82,5.64,59.97,0.61,0.43,0.90,13.21,6.21,14.57,0,-1.93,0,16891.68,4152.45,3447.62,0.59,16.86,5068.93,4569.83,10160.45,3928.72,7.32,201.30,506.21,3.40,18.99,3517.45,4738.29,5307.48,1404.59,19903.25,16884.24,6631.69,10.75,221.01,6661.52,0.31,0.08,0.11,1.04,-0.64,-0.33,1.09,0.65,0.35,0.29,0.13,0.31,213.25,214.06,214.07,123.40,124.25,123.82,8.57,5.63,2.73
"2015-07-05 16:30:00",0,0,0,19405.57,24491.95,5086.38,18659.34,714.83,3539.85,11450.50,22778.26,22783.79,5.53,0.75,1.42,1.60,0.47,214.09,123.99,5.04,60.01,0.58,0.26,0.76,13.21,6.21,14.57,0,-1.93,0,16891.77,4152.52,3447.65,0.59,16.86,5068.93,4570.08,10160.55,3928.72,7.32,201.30,506.21,3.40,18.99,3517.45,4738.29,5307.53,1404.68,19903.52,16884.40,6631.78,10.75,221.01,6661.52,0.39,0.33,0.13,0.92,0.43,-0.31,1.00,0.54,0.33,0.27,0.41,0.41,213.73,214.20,214.35,123.68,124.13,124.16,8.11,4.33,2.68
"2015-07-05 16:45:00",0,0,0,19405.84,24492.22,5086.38,18659.74,714.83,3539.85,11450.61,22778.69,22784.22,5.53,3.91,1.07,4.07,0.96,213.88,123.86,14.29,60.02,0.81,1.06,1.37,13.21,6.21,14.57,0,-1.93,0,16891.84,4152.65,3447.73,0.59,16.86,5068.93,4570.33,10160.70,3928.72,7.32,201.30,506.21,3.40,18.99,3517.45,4738.29,5307.54,1404.78,19903.78,16884.62,6631.91,10.75,221.01,6661.52,0.18,1.89,1.83,0.96,1.16,-1.05,0.98,2.22,2.11,0.19,0.85,0.87,213.45,213.59,214.75,123.98,123.85,123.86,7.81,17.52,17.28
"2015-07-05 17:00:00",0,0,0,19406.07,24492.45,5086.38,18660.07,714.84,3539.85,11450.76,22779.06,22784.59,5.53,0.78,0.92,1.20,0.65,213.47,123.64,5.40,60.01,1.28,1.13,1.86,13.21,6.21,14.57,0,-1.93,0,16891.90,4152.76,3447.79,0.59,16.86,5068.93,4570.54,10160.82,3928.72,7.33,201.30,506.21,3.40,18.99,3517.45,4738.33,5307.56,1404.87,19904.03,16884.81,6632.02,10.76,221.01,6661.52,0.34,0.32,0.12,0.81,0.48,-0.37,0.88,0.57,0.39,0.38,0.56,0.31,212.95,213.31,214.16,123.44,123.89,123.58,9.47,3.95,2.79
"2015-07-05 17:15:00",0,0,0,19406.25,24492.63,5086.38,18660.41,714.85,3539.85,11450.88,22779.39,22784.92,5.53,0.82,1.32,1.56,0.53,212.76,123.22,5.50,60.02,0.73,0.74,1.31,13.21,6.21,14.57,0,-1.93,0,16891.95,4152.85,3447.83,0.59,16.86,5068.93,4570.76,10160.94,3928.72,7.34,201.30,506.21,3.40,18.99,3517.45,4738.35,5307.59,1404.95,19904.27,16884.98,6632.11,10.77,221.01,6661.52,0.15,0.51,0.16,1.14,0.50,-0.32,1.15,0.72,0.36,0.13,0.71,0.44,212.12,213.06,213.10,122.95,123.30,123.42,7.38,6.30,2.81
"2015-07-05 17:30:00",0,0,0,19406.45,24492.82,5086.38,18660.77,714.85,3539.85,11451.00,22779.71,22785.25,5.53,0.60,-0.15,0.61,0.97,212.66,123.17,5.13,59.94,0.75,0.88,1.33,13.21,6.21,14.57,0,-1.93,0,16892.03,4152.94,3447.86,0.59,16.86,5068.93,4571.00,10161.05,3928.72,7.34,201.30,506.21,3.40,18.99,3517.45,4738.35,5307.62,1405.03,19904.54,16885.15,6632.20,10.77,221.01,6661.52,0.34,0.12,0.13,0.99,-0.78,-0.36,1.05,0.79,0.39,0.32,0.15,0.35,211.93,213.21,212.85,122.72,123.28,123.50,8.58,3.95,2.86
"2015-07-05 17:45:00",0,0,0,19406.59,24492.97,5086.38,18661.03,714.85,3539.85,11451.21,22779.89,22785.42,5.53,0.50,-0.04,0.60,0.99,212.96,123.34,6.12,59.94,0.74,0.84,1.21,13.21,6.21,14.57,0,-1.93,0,16892.11,4152.97,3447.89,0.59,16.86,5068.93,4571.25,10161.06,3928.72,7.34,201.30,506.21,3.40,18.99,3517.45,4738.35,5307.76,1405.11,19904.80,16885.30,6632.28,10.77,221.01,6661.52,0.29,0.09,0.12,1.08,-0.77,-0.36,1.12,0.77,0.38,0.26,0.12,0.32,212.33,212.49,213.94,123.38,123.15,123.40,8.51,4.51,3.02
"2015-07-05 18:00:00",0,0,0,19406.75,24493.13,5086.38,18661.32,714.85,3539.85,11451.40,22780.10,22785.63,5.53,0.66,0.95,1.16,0.57,213.16,123.46,4.95,60.01,0.58,0.23,0.69,13.21,6.21,14.57,0,-1.93,0,16892.20,4153.01,3447.92,0.59,16.86,5068.93,4571.50,10161.10,3928.72,7.34,201.30,506.21,3.40,18.99,3517.45,4738.35,5307.86,1405.18,19905.06,16885.46,6632.37,10.77,221.01,6661.52,0.24,0.34,0.08,0.93,0.37,-0.35,0.96,0.50,0.36,0.25,0.67,0.22,212.46,213.54,213.50,123.25,123.59,123.53,7.98,4.52,2.34
"2015-07-05 18:15:00",0,0,0,19406.94,24493.32,5086.38,18661.67,714.85,3539.85,11451.51,22780.43,22785.96,5.53,0.62,1.46,1.59,0.39,211.83,122.69,5.15,60.00,0.66,0.50,0.93,13.21,6.21,14.57,0,-1.93,0,16892.26,4153.10,3447.95,0.59,16.86,5068.93,4571.74,10161.22,3928.72,7.34,201.30,506.21,3.40,18.99,3517.45,4738.36,5307.89,1405.26,19905.31,16885.63,6632.45,10.77,221.01,6661.52,0.21,0.30,0.11,0.98,0.84,-0.36,1.00,0.89,0.37,0.21,0.34,0.30,211.29,212.26,211.95,122.32,122.93,122.82,8.11,4.19,3.14
"2015-07-05 18:30:00",0,0,0,19407.13,24493.50,5086.38,18662.04,714.85,3539.85,11451.61,22780.77,22786.30,5.53,0.95,1.25,1.57,0.61,211.90,122.73,6.22,60.01,0.76,0.99,1.34,13.21,6.21,14.57,0,-1.93,0,16892.31,4153.20,3447.99,0.59,16.86,5068.93,4571.98,10161.35,3928.72,7.34,201.30,506.21,3.40,18.99,3517.45,4738.36,5307.91,1405.34,19905.56,16885.81,6632.54,10.77,221.01,6661.52,0.30,0.51,0.14,1.01,0.57,-0.34,1.05,0.77,0.36,0.28,0.67,0.39,211.30,212.26,212.15,122.58,122.74,122.87,9.00,6.70,2.96
