time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-05 23:30:00",0,0,0,19410.98,24497.36,5086.38,18668.62,714.86,3539.86,11454.43,22786.69,22792.22,5.53,0.72,0.38,0.81,0.88,211.28,122.35,5.16,60.02,1.18,0.34,1.32,13.21,6.21,14.57,0,-1.93,0,16893.81,4154.79,3448.76,0.59,16.86,5068.93,4576.78,10163.12,3928.72,7.36,201.30,506.21,3.40,19.00,3517.46,4738.38,5309.05,1406.99,19910.64,16889.25,6634.40,10.78,221.01,6661.53,0.42,0.15,0.15,0.95,-0.25,-0.32,1.04,0.29,0.35,0.41,0.52,0.41,210.43,211.60,211.82,122.30,122.08,122.67,10.01,2.79,2.68
"2015-07-05 23:45:00",0,0,0,19411.17,24497.54,5086.38,18668.95,714.86,3539.86,11454.54,22787.00,22792.53,5.53,0.93,1.18,1.50,0.62,212.70,123.17,6.12,59.98,0.77,0.36,0.93,13.21,6.21,14.57,0,-1.93,0,16893.90,4154.86,3448.79,0.59,16.86,5068.93,4577.01,10163.22,3928.72,7.36,201.30,506.21,3.40,19.00,3517.46,4738.38,5309.09,1407.07,19910.89,16889.40,6634.49,10.78,221.01,6661.53,0.43,0.33,0.17,0.76,0.69,-0.28,0.88,0.77,0.33,0.49,0.43,0.53,212.03,213.40,212.67,122.77,123.26,123.48,9.67,5.91,2.77
"2015-07-06 00:00:00",0,0,0,19411.37,24497.75,5086.38,18669.33,714.86,3539.86,11454.64,22787.35,22792.88,5.53,0.69,1.30,1.48,0.47,213.37,123.56,5.74,59.93,0.77,0.97,1.30,13.21,6.21,14.57,0,-1.93,0,16893.98,4154.94,3448.83,0.59,16.86,5068.93,4577.26,10163.35,3928.72,7.36,201.30,506.21,3.40,19.00,3517.46,4738.38,5309.10,1407.15,19911.15,16889.58,6634.57,10.78,221.01,6661.53,0.23,0.34,0.13,1.00,0.62,-0.31,1.02,0.70,0.34,0.23,0.48,0.37,212.83,213.84,213.45,123.36,123.59,123.73,8.41,6.01,2.79
"2015-07-06 00:15:00",0,0,0,19411.55,24497.93,5086.38,18669.71,714.87,3539.86,11454.73,22787.69,22793.22,5.53,0.79,1.33,1.54,0.51,215.22,124.63,5.81,60.02,0.79,1.12,1.41,13.21,6.21,14.57,0,-1.93,0,16894.03,4155.03,3448.86,0.59,16.86,5068.93,4577.51,10163.48,3928.72,7.36,201.30,506.21,3.40,19.00,3517.46,4738.38,5309.12,1407.23,19911.41,16889.75,6634.66,10.78,221.01,6661.53,0.19,0.35,0.16,1.10,0.59,-0.33,1.12,0.68,0.37,0.17,0.52,0.43,214.55,215.86,215.30,124.20,124.74,124.98,8.13,4.71,3.00
"2015-07-06 00:30:00",0,0,0,19411.72,24498.10,5086.38,18670.05,714.87,3539.86,11454.86,22788.01,22793.54,5.53,0.69,-0.28,0.74,0.93,215.33,124.69,5.55,60.02,0.71,1.12,1.36,13.21,6.21,14.57,0,-1.93,0,16894.09,4155.12,3448.89,0.59,16.86,5068.93,4577.75,10163.59,3928.72,7.36,201.30,506.21,3.40,19.00,3517.46,4738.39,5309.15,1407.31,19911.66,16889.92,6634.75,10.78,221.01,6661.53,0.25,0.33,0.11,0.87,-0.81,-0.34,0.91,0.87,0.36,0.28,0.38,0.30,214.52,216.16,215.31,124.30,124.66,125.12,8.45,5.34,2.86
"2015-07-06 00:45:00",0,0,0,19411.91,24498.29,5086.38,18670.40,714.87,3539.86,11454.98,22788.33,22793.86,5.53,0.57,1.12,1.26,0.45,214.81,124.40,5.66,60.02,0.72,0.84,1.26,13.21,6.21,14.57,0,-1.93,0,16894.15,4155.21,3448.93,0.59,16.86,5068.93,4577.99,10163.69,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.39,5309.19,1407.39,19911.92,16890.09,6634.84,10.79,221.01,6661.54,0.28,0.26,0.03,0.92,0.53,-0.33,0.96,0.59,0.33,0.29,0.44,0.08,214.11,215.20,215.12,124.10,124.64,124.45,8.24,6.03,2.73
"2015-07-06 01:00:00",0,0,0,19412.12,24498.50,5086.38,18670.77,714.87,3539.86,11455.09,22788.67,22794.21,5.53,0.79,1.31,1.53,0.52,214.26,124.08,5.92,60.01,0.76,0.95,1.29,13.21,6.21,14.57,0,-1.93,0,16894.24,4155.30,3448.96,0.59,16.86,5068.93,4578.24,10163.81,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.39,5309.22,1407.47,19912.18,16890.26,6634.93,10.79,221.01,6661.54,0.30,0.31,0.15,0.98,0.74,-0.34,1.02,0.80,0.37,0.32,0.43,0.36,213.61,214.78,214.41,123.57,124.29,124.39,8.29,6.46,3.00
"2015-07-06 01:15:00",0,0,0,19412.33,24498.71,5086.38,18671.15,714.87,3539.86,11455.18,22789.04,22794.57,5.53,0.94,1.32,1.62,0.58,215.77,124.95,5.84,59.94,0.84,1.04,1.39,13.21,6.21,14.57,0,-1.93,0,16894.33,4155.39,3449.00,0.59,16.86,5068.93,4578.49,10163.94,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.39,5309.23,1407.56,19912.45,16890.43,6635.02,10.79,221.01,6661.54,0.38,0.50,0.14,0.98,0.59,-0.33,1.05,0.77,0.36,0.36,0.64,0.38,214.77,216.59,215.94,124.54,124.85,125.45,8.45,6.21,2.86
"2015-07-06 01:30:00",0,0,0,19412.54,24498.93,5086.38,18671.52,714.87,3539.86,11455.29,22789.39,22794.92,5.53,0.56,1.08,1.22,0.46,215.36,124.71,5.57,60.01,0.88,1.13,1.47,13.21,6.21,14.57,0,-1.93,0,16894.41,4155.49,3449.03,0.59,16.86,5068.93,4578.75,10164.06,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.25,1407.64,19912.72,16890.60,6635.11,10.79,221.01,6661.54,0.16,0.31,0.10,1.04,0.37,-0.33,1.05,0.48,0.34,0.15,0.64,0.28,214.71,215.97,215.39,124.20,124.99,124.95,7.91,5.85,2.94
"2015-07-06 01:45:00",0,0,0,19412.72,24499.10,5086.38,18671.89,714.87,3539.86,11455.39,22789.73,22795.26,5.53,0.69,1.33,1.49,0.46,215.71,124.91,5.25,59.98,0.80,1.07,1.39,13.21,6.21,14.57,0,-1.93,0,16894.46,4155.58,3449.06,0.59,16.86,5068.93,4579.00,10164.18,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.27,1407.72,19912.98,16890.77,6635.20,10.79,221.01,6661.54,0.21,0.31,0.17,1.00,0.65,-0.33,1.02,0.72,0.37,0.20,0.43,0.45,214.89,216.12,216.12,124.58,124.99,125.18,8.32,4.50,2.94
