time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-06 03:00:00",0,0,0,19414.34,24500.72,5086.38,18673.71,714.87,3539.86,11456.09,22791.86,22797.39,5.53,1.71,0.39,1.75,0.98,214.07,123.98,8.35,59.99,1.91,0.67,2.08,13.21,6.21,14.57,0,-1.93,0,16895.41,4156.02,3449.30,0.59,16.86,5068.93,4580.39,10164.60,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.52,1408.17,19914.75,16891.61,6635.72,10.79,221.01,6661.54,1.45,0.14,0.12,1.21,-0.45,-0.37,1.88,0.47,0.39,0.77,0.30,0.30,213.33,215.05,213.84,123.06,124.30,124.59,15.39,6.60,3.06
"2015-07-06 03:15:00",0,0,0,19414.83,24501.21,5086.38,18674.10,714.87,3539.86,11456.24,22792.41,22797.94,5.53,2.21,0.23,2.22,0.99,214.53,124.24,8.73,59.98,1.83,0.41,1.89,13.21,6.21,14.57,0,-1.93,0,16895.78,4156.10,3449.33,0.59,16.86,5068.93,4580.70,10164.68,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.58,1408.26,19915.23,16891.77,6635.81,10.79,221.01,6661.54,1.49,0.58,0.16,1.23,0.72,-0.36,1.93,0.92,0.39,0.75,0.64,0.43,213.50,215.59,214.50,123.39,124.44,124.90,15.63,7.43,3.12
"2015-07-06 03:30:00",0,0,0,19415.33,24501.71,5086.38,18674.51,714.87,3539.86,11456.37,22793.00,22798.54,5.53,2.17,0.38,2.60,0.79,214.89,124.45,8.80,59.99,1.97,1.06,2.28,13.21,6.21,14.57,0,-1.93,0,16896.14,4156.20,3449.37,0.59,16.86,5068.93,4581.02,10164.78,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.62,1408.35,19915.71,16891.94,6635.91,10.79,221.01,6661.54,1.48,0.27,0.42,1.46,-0.82,-0.26,2.08,0.86,0.34,0.71,0.31,1.00,214.06,215.68,214.82,123.56,124.77,124.96,15.92,6.40,4.19
"2015-07-06 03:45:00",0,0,0,19415.85,24502.23,5086.38,18674.90,714.87,3539.87,11456.50,22793.60,22799.13,5.53,1.73,0.49,1.80,0.96,214.63,124.31,7.57,60.02,2.00,1.13,2.35,13.21,6.21,14.57,0,-1.93,0,16896.53,4156.30,3449.40,0.59,16.86,5068.93,4581.33,10164.86,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.67,1408.43,19916.21,16892.11,6636.00,10.79,221.01,6661.54,1.39,0.31,0.03,1.42,-0.57,-0.36,1.99,0.65,0.36,0.70,0.48,0.08,213.99,215.31,214.59,123.31,124.91,124.70,15.56,4.64,2.52
"2015-07-06 04:00:00",0,0,0,19416.39,24502.77,5086.38,18675.31,714.87,3539.87,11456.63,22794.21,22799.75,5.53,2.13,1.17,2.43,0.88,215.04,124.55,8.77,60.02,2.11,1.06,2.42,13.21,6.21,14.57,0,-1.93,0,16896.92,4156.40,3449.44,0.59,16.86,5068.93,4581.65,10164.95,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.71,1408.52,19916.72,16892.28,6636.10,10.79,221.01,6661.54,1.65,0.35,0.13,1.07,0.47,-0.36,1.96,0.58,0.39,0.84,0.60,0.34,214.15,215.81,215.17,123.74,124.87,125.02,16.93,6.24,3.14
"2015-07-06 04:15:00",0,0,0,19416.93,24503.31,5086.38,18675.71,714.87,3539.87,11456.77,22794.83,22800.36,5.53,2.28,1.33,2.65,0.86,215.45,124.78,8.81,60.02,2.15,1.09,2.47,13.21,6.21,14.57,0,-1.93,0,16897.32,4156.51,3449.48,0.59,16.86,5068.93,4581.96,10165.03,3928.72,7.36,201.30,506.21,3.40,19.00,3517.47,4738.40,5309.76,1408.61,19917.23,16892.45,6636.19,10.79,221.01,6661.54,1.57,0.53,0.11,1.35,-0.62,-0.39,2.07,0.81,0.41,0.76,0.65,0.27,214.68,216.26,215.47,123.88,125.30,125.20,16.57,5.12,3.10
"2015-07-06 04:30:00",0,0,0,19417.45,24503.83,5086.38,18676.10,714.87,3539.87,11456.90,22795.43,22800.96,5.53,2.01,1.45,2.47,0.85,215.55,124.84,8.06,60.05,2.17,1.01,2.47,13.21,6.21,14.57,0,-1.93,0,16897.70,4156.61,3449.52,0.59,16.86,5068.94,4582.28,10165.11,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5309.81,1408.69,19917.73,16892.62,6636.29,10.79,221.01,6661.55,1.52,0.33,0.16,1.30,0.52,-0.37,1.99,0.62,0.40,0.76,0.54,0.40,214.62,216.42,215.50,123.92,125.22,125.32,15.26,4.80,3.42
"2015-07-06 04:45:00",0,0,0,19417.92,24504.30,5086.38,18676.46,714.87,3539.88,11457.07,22795.96,22801.49,5.53,1.72,1.58,2.34,0.74,215.61,124.87,7.39,60.01,2.04,1.07,2.37,13.21,6.21,14.57,0,-1.93,0,16898.07,4156.68,3449.55,0.59,16.86,5068.94,4582.59,10165.16,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5309.89,1408.78,19918.22,16892.77,6636.38,10.79,221.01,6661.55,1.48,0.10,0.14,1.36,0.58,-0.36,2.01,0.59,0.39,0.74,0.17,0.37,214.91,216.43,215.48,124.12,125.30,125.20,15.42,3.49,3.26
"2015-07-06 05:00:00",0,0,0,19418.36,24504.74,5086.38,18676.80,714.87,3539.88,11457.26,22796.44,22801.97,5.53,1.88,0.13,1.89,1.00,216.26,125.24,8.00,60.02,1.87,0.67,2.06,13.21,6.21,14.57,0,-1.93,0,16898.44,4156.72,3449.58,0.59,16.86,5068.94,4582.91,10165.18,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5310.01,1408.86,19918.71,16892.91,6636.47,10.79,221.01,6661.55,1.59,0.17,0.12,1.18,-0.72,-0.32,1.98,0.74,0.35,0.80,0.23,0.35,215.40,217.06,216.34,124.45,125.54,125.74,16.69,4.72,2.59
"2015-07-06 05:15:00",0,0,0,19418.88,24505.26,5086.38,18677.20,714.87,3539.88,11457.42,22797.03,22802.56,5.53,2.28,1.38,2.66,0.86,216.35,125.30,8.53,60.03,1.78,0.56,1.92,13.21,6.21,14.57,0,-1.93,0,16898.84,4156.81,3449.62,0.59,16.86,5068.94,4583.24,10165.24,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5310.07,1408.95,19919.23,16893.07,6636.57,10.79,221.01,6661.55,1.59,0.55,0.15,1.33,0.40,-0.35,2.07,0.68,0.37,0.77,0.81,0.39,215.45,216.82,216.77,124.72,125.46,125.71,16.57,5.87,3.14
