time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-06 10:00:00",0,0,0,19428.92,24515.30,5086.38,18685.00,714.87,3539.88,11460.10,22808.61,22814.14,5.53,2.09,1.49,2.57,0.81,214.98,124.50,8.18,59.99,2.19,1.27,2.59,13.21,6.21,14.57,0,-1.93,0,16906.19,4158.68,3450.43,0.59,16.86,5068.94,4589.45,10166.84,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.05,1410.66,19928.90,16896.32,6638.49,10.79,221.01,6661.55,1.60,0.35,0.14,1.34,0.49,-0.34,2.08,0.61,0.37,0.77,0.58,0.39,214.31,215.52,215.10,123.80,124.85,124.86,17.08,4.48,2.96
"2015-07-06 10:15:00",0,0,0,19429.44,24515.82,5086.38,18685.45,714.87,3539.88,11460.21,22809.24,22814.77,5.53,2.07,1.79,2.74,0.76,215.65,124.89,7.91,60.01,2.16,1.33,2.57,13.21,6.21,14.57,0,-1.93,0,16906.57,4158.78,3450.47,0.59,16.86,5068.94,4589.78,10166.94,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.07,1410.74,19929.41,16896.50,6638.59,10.79,221.01,6661.55,1.49,0.41,0.17,1.42,0.72,-0.35,2.05,0.83,0.39,0.72,0.49,0.44,214.95,216.05,215.94,124.38,125.06,125.23,15.28,5.63,2.81
"2015-07-06 10:30:00",0,0,0,19429.89,24516.27,5086.38,18685.78,714.87,3539.88,11460.42,22809.72,22815.25,5.53,2.12,0.53,2.18,0.97,215.25,124.66,8.17,60.01,2.05,1.22,2.43,13.21,6.21,14.57,0,-1.93,0,16906.94,4158.82,3450.50,0.59,16.86,5068.94,4590.10,10166.96,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.19,1410.83,19929.90,16896.64,6638.68,10.79,221.01,6661.55,1.34,0.37,0.15,1.50,0.52,-0.37,2.01,0.64,0.40,0.80,0.80,0.54,214.68,215.60,215.46,124.13,124.96,124.88,16.18,5.11,3.22
"2015-07-06 10:45:00",0,0,0,19430.33,24516.71,5086.38,18686.11,714.87,3539.88,11460.63,22810.19,22815.72,5.53,1.58,1.35,2.08,0.76,215.48,124.79,6.87,60.03,1.82,0.49,1.92,13.21,6.21,14.57,0,-1.93,0,16907.31,4158.87,3450.53,0.59,16.86,5068.94,4590.42,10166.97,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.32,1410.91,19930.39,16896.79,6638.77,10.79,221.01,6661.55,1.24,0.23,0.11,1.22,0.42,-0.28,1.74,0.48,0.30,0.71,0.49,0.36,214.79,215.86,215.78,124.22,125.05,125.11,14.37,3.89,2.34
"2015-07-06 11:00:00",0,0,0,19430.87,24517.25,5086.38,18686.52,714.87,3539.88,11460.76,22810.81,22816.35,5.53,1.79,1.87,2.59,0.69,215.06,124.56,7.46,60.01,1.80,0.48,1.91,13.21,6.21,14.57,0,-1.93,0,16907.71,4158.97,3450.57,0.59,16.86,5068.94,4590.75,10167.05,3928.72,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.37,1411.00,19930.91,16896.96,6638.86,10.79,221.01,6661.55,1.38,0.33,0.08,1.62,0.64,-0.39,2.13,0.72,0.40,0.65,0.46,0.21,214.39,215.52,215.29,124.03,124.79,124.85,14.96,4.47,2.96
"2015-07-06 11:15:00",0,0,0,19431.76,24518.14,5086.38,18687.15,714.87,3539.88,11460.79,22811.89,22817.43,5.53,3.54,2.47,4.31,0.82,213.76,123.80,12.32,60.01,2.34,1.36,2.77,13.21,6.21,14.57,0,-1.93,0,16908.36,4159.08,3450.71,0.59,16.86,5068.94,4591.10,10167.14,3928.91,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.39,1411.00,19931.65,16897.11,6639.10,10.79,221.01,6661.55,2.57,0.37,0.57,1.33,0.60,0.77,2.89,0.71,0.96,0.88,0.75,0.61,213.16,214.53,213.60,123.03,124.23,124.15,23.49,5.71,7.74
"2015-07-06 11:30:00",0,0,0,19432.63,24519.01,5086.38,18687.79,714.87,3539.88,11460.81,22812.96,22818.50,5.53,3.26,2.74,4.26,0.77,213.63,123.73,11.43,59.97,3.56,2.44,4.33,13.21,6.21,14.57,0,-1.93,0,16908.99,4159.18,3450.84,0.59,16.86,5068.94,4591.45,10167.25,3929.09,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.42,1411.00,19932.38,16897.28,6639.33,10.79,221.01,6661.55,2.42,0.36,0.53,1.29,-0.47,0.72,2.74,0.59,0.90,0.84,0.58,0.59,213.11,214.13,213.64,123.09,124.11,123.98,22.24,4.79,7.25
"2015-07-06 11:45:00",0,0,0,19433.50,24519.88,5086.38,18688.43,714.87,3539.88,11460.84,22814.03,22819.56,5.53,3.50,2.81,4.49,0.78,213.64,123.75,11.73,59.97,3.48,2.46,4.29,13.21,6.21,14.57,0,-1.93,0,16909.61,4159.29,3450.98,0.59,16.86,5068.94,4591.79,10167.36,3929.28,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.44,1411.00,19933.08,16897.46,6639.56,10.79,221.01,6661.55,2.42,0.52,0.56,1.40,0.67,0.74,2.80,0.85,0.92,0.87,0.61,0.60,213.28,213.96,213.70,123.25,124.26,123.73,22.77,5.01,7.41
"2015-07-06 12:00:00",0,0,0,19434.31,24520.70,5086.38,18689.04,714.87,3539.88,11460.87,22815.04,22820.58,5.53,2.69,1.62,3.15,0.86,213.59,123.71,9.92,60.02,3.47,2.45,4.27,13.21,6.21,14.57,0,-1.93,0,16910.20,4159.39,3451.10,0.59,16.86,5068.94,4592.12,10167.46,3929.46,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.47,1411.00,19933.77,16897.63,6639.78,10.79,221.01,6661.55,2.13,0.18,0.39,1.56,-0.73,0.80,2.64,0.75,0.88,0.81,0.23,0.44,213.11,214.25,213.42,123.11,124.07,123.95,19.64,3.18,6.95
"2015-07-06 12:15:00",0,0,0,19435.12,24521.50,5086.38,18689.54,714.87,3539.88,11461.00,22815.93,22821.46,5.53,2.77,1.46,3.13,0.88,214.42,124.19,10.54,60.01,3.21,2.19,3.92,13.21,6.21,14.57,0,-1.93,0,16910.75,4159.49,3451.26,0.59,16.86,5068.94,4592.44,10167.49,3929.61,7.36,201.30,506.21,3.40,19.00,3517.48,4738.40,5311.59,1411.02,19934.40,16897.81,6640.02,10.79,221.01,6661.55,2.21,0.17,0.38,1.25,-0.44,0.65,2.54,0.47,0.75,0.87,0.37,0.51,213.70,215.09,214.46,123.62,124.50,124.46,21.02,4.64,5.95
