time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-06 13:45:00",0,0,0,19437.29,24523.68,5086.38,18692.20,714.87,3539.88,11461.53,22819.10,22824.64,5.53,0.41,-0.04,0.41,0.99,212.94,123.34,4.17,60.02,0.86,1.06,1.39,13.21,6.21,14.57,0,-1.93,0,16911.84,4160.10,3451.73,0.59,16.86,5068.94,4593.96,10168.16,3930.08,7.36,201.30,506.21,3.40,19.00,3517.48,4738.42,5311.80,1411.31,19936.36,16898.93,6640.94,10.79,221.01,6661.56,0.27,0.07,0.07,0.87,-0.64,-0.27,0.91,0.65,0.28,0.30,0.10,0.26,212.39,213.32,213.11,122.92,123.49,123.62,7.24,2.86,2.42
"2015-07-06 14:00:00",0,0,0,19437.44,24523.82,5086.38,18692.41,714.87,3539.88,11461.72,22819.27,22824.81,5.53,0.64,-0.25,0.69,0.93,211.91,122.75,4.27,60.02,0.69,0.35,0.90,13.21,6.21,14.57,0,-1.93,0,16911.93,4160.13,3451.76,0.59,16.86,5068.94,4594.15,10168.18,3930.08,7.36,201.30,506.21,3.40,19.00,3517.48,4738.42,5311.92,1411.38,19936.57,16899.07,6641.02,10.79,221.01,6661.56,0.38,0.13,0.13,0.76,-0.72,-0.29,0.85,0.74,0.31,0.45,0.18,0.41,211.22,212.49,212.00,122.33,122.93,123.00,7.49,2.79,2.52
"2015-07-06 14:15:00",0,0,0,19437.63,24524.01,5086.38,18692.68,714.87,3539.88,11461.84,22819.54,22825.07,5.53,0.92,-0.21,0.95,0.97,212.46,123.07,5.56,60.02,0.58,0.07,0.68,13.21,6.21,14.57,0,-1.93,0,16912.02,4160.20,3451.79,0.59,16.86,5068.94,4594.34,10168.26,3930.08,7.36,201.30,506.21,3.40,19.00,3517.49,4738.42,5311.97,1411.45,19936.79,16899.22,6641.10,10.79,221.01,6661.56,0.28,0.49,0.15,0.73,-0.66,-0.29,0.78,0.82,0.32,0.35,0.60,0.47,211.97,212.67,212.73,122.89,123.18,123.15,7.46,6.46,2.75
"2015-07-06 14:30:00",0,0,0,19437.82,24524.21,5086.38,18693.00,714.87,3539.88,11461.92,22819.86,22825.39,5.53,0.70,0.88,1.13,0.62,211.91,122.76,4.47,60.00,0.78,0.71,1.15,13.21,6.21,14.57,0,-1.93,0,16912.08,4160.30,3451.83,0.59,16.86,5068.94,4594.54,10168.39,3930.08,7.36,201.30,506.21,3.40,19.00,3517.49,4738.42,5311.98,1411.52,19936.99,16899.39,6641.18,10.79,221.01,6661.56,0.23,0.34,0.14,0.75,0.46,-0.26,0.78,0.57,0.29,0.31,0.62,0.39,211.58,212.23,211.92,122.55,122.89,122.83,6.37,4.67,2.37
"2015-07-06 14:45:00",0,0,0,19438.00,24524.38,5086.38,18693.30,714.87,3539.88,11462.01,22820.16,22825.69,5.53,0.65,1.30,1.12,0.73,211.69,122.63,5.33,60.00,0.76,0.97,1.26,13.21,6.21,14.57,0,-1.93,0,16912.14,4160.39,3451.86,0.59,16.86,5068.94,4594.72,10168.51,3930.08,7.36,201.30,506.21,3.40,19.00,3517.49,4738.43,5311.99,1411.59,19937.19,16899.55,6641.26,10.79,221.01,6661.56,0.19,0.32,0.14,0.90,0.67,-0.27,0.92,0.74,0.30,0.21,0.43,0.46,211.03,212.06,212.06,122.56,122.66,122.73,5.64,4.12,2.39
"2015-07-06 15:00:00",0,0,0,19438.18,24524.56,5086.38,18693.59,714.87,3539.88,11462.11,22820.45,22825.98,5.53,0.66,1.07,1.25,0.52,212.90,123.33,4.50,60.01,0.71,0.79,1.18,13.21,6.21,14.57,0,-1.93,0,16912.20,4160.48,3451.89,0.59,16.86,5068.94,4594.89,10168.62,3930.08,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.02,1411.66,19937.38,16899.72,6641.33,10.79,221.01,6661.56,0.21,0.32,0.13,0.71,0.67,-0.31,0.74,0.74,0.33,0.29,0.43,0.38,212.40,213.32,212.98,123.07,123.49,123.42,6.70,4.19,2.61
"2015-07-06 15:15:00",0,0,0,19438.49,24524.88,5086.38,18693.92,714.87,3539.88,11462.23,22820.86,22826.39,5.53,0.60,0.02,0.60,1.00,212.36,123.01,4.47,60.02,0.72,0.81,1.17,13.21,6.21,14.57,0,-1.93,0,16912.26,4160.63,3451.99,0.59,16.86,5068.94,4595.08,10168.76,3930.08,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.03,1411.76,19937.59,16899.94,6641.48,10.79,221.01,6661.56,0.28,0.27,0.05,0.67,-0.34,-0.30,0.72,0.44,0.30,0.39,0.62,0.15,211.76,212.95,212.38,122.79,122.97,123.28,6.31,4.51,2.59
"2015-07-06 15:30:00",0,0,0,19438.85,24525.24,5086.38,18694.24,714.87,3539.88,11462.40,22821.29,22826.82,5.53,8.94,5.41,10.45,0.86,211.05,122.25,28.43,60.01,1.25,0.73,1.60,13.21,6.21,14.57,0,-1.93,0,16912.42,4160.73,3452.09,0.59,16.86,5068.94,4595.30,10168.82,3930.12,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.14,1411.82,19937.87,16900.15,6641.63,10.79,221.01,6661.56,3.21,2.73,3.00,2.02,1.72,1.62,3.79,3.22,3.41,0.85,0.85,0.88,210.34,211.65,211.12,121.95,122.38,122.41,30.98,26.16,27.99
"2015-07-06 15:45:00",0,0,0,19439.27,24525.65,5086.38,18694.62,714.87,3539.88,11462.55,22821.79,22827.32,5.53,0.84,1.07,1.37,0.62,211.97,122.78,4.83,59.93,2.46,1.32,2.91,13.21,6.21,14.57,0,-1.93,0,16912.60,4160.84,3452.21,0.59,16.86,5068.94,4595.54,10168.90,3930.18,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.23,1411.88,19938.18,16900.38,6641.81,10.79,221.01,6661.56,0.35,0.34,0.15,0.78,0.53,-0.23,0.85,0.63,0.27,0.41,0.55,0.55,211.02,212.69,212.20,122.61,122.71,123.02,7.12,4.87,2.49
"2015-07-06 16:00:00",0,0,0,19439.47,24525.85,5086.38,18694.93,714.88,3539.88,11462.63,22822.10,22827.63,5.53,0.64,1.27,1.42,0.45,211.09,122.27,4.25,60.02,0.65,0.33,0.87,13.21,6.21,14.57,0,-1.93,0,16912.66,4160.94,3452.25,0.59,16.86,5068.94,4595.73,10169.02,3930.18,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.25,1411.95,19938.38,16900.54,6641.89,10.79,221.01,6661.56,0.21,0.32,0.10,0.82,0.72,-0.28,0.85,0.79,0.30,0.25,0.41,0.34,210.28,211.98,211.00,121.93,122.25,122.64,6.25,4.16,2.34
"2015-07-06 16:15:00",0,0,0,19439.64,24526.03,5086.38,18695.24,714.88,3539.88,11462.72,22822.40,22827.93,5.53,0.70,0.97,1.20,0.59,210.14,121.72,5.01,59.93,0.77,0.88,1.22,13.21,6.21,14.57,0,-1.93,0,16912.72,4161.03,3452.28,0.59,16.86,5068.94,4595.91,10169.14,3930.18,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.26,1412.02,19938.57,16900.71,6641.97,10.79,221.01,6661.56,0.22,0.33,0.14,0.81,0.45,-0.29,0.84,0.56,0.32,0.27,0.60,0.45,209.48,210.82,210.10,121.55,121.78,121.83,6.62,5.66,2.75
"2015-07-06 16:30:00",0,0,0,19439.83,24526.21,5086.38,18695.55,714.88,3539.88,11462.80,22822.70,22828.24,5.53,0.93,0.84,1.25,0.74,211.31,122.40,4.88,60.02,0.72,0.91,1.20,13.21,6.21,14.57,0,-1.93,0,16912.77,4161.12,3452.32,0.59,16.86,5068.94,4596.10,10169.27,3930.18,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.27,1412.09,19938.77,16900.88,6642.04,10.79,221.01,6661.56,0.16,0.50,0.17,0.85,0.33,-0.28,0.87,0.60,0.32,0.33,0.85,0.41,210.54,211.70,211.69,122.35,122.32,122.52,7.09,4.91,2.64
