time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-06 17:15:00",0,0,0,19440.99,24527.38,5086.38,18696.66,714.88,3539.88,11463.16,22824.18,22829.71,5.53,0.55,-0.04,0.55,1.00,212.74,123.22,4.39,59.97,0.73,0.53,1.03,13.21,6.21,14.57,0,-1.93,0,16913.23,4161.52,3452.63,0.59,16.86,5068.94,4596.76,10169.60,3930.30,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.44,1412.27,19939.62,16901.56,6642.51,10.79,221.01,6661.56,0.32,0.11,0.12,0.79,-0.53,-0.30,0.85,0.54,0.33,0.37,0.21,0.37,211.92,213.32,212.98,122.91,123.23,123.51,6.85,3.61,2.70
"2015-07-06 17:30:00",0,0,0,19441.13,24527.51,5086.38,18696.91,714.88,3539.88,11463.32,22824.37,22829.90,5.53,0.76,1.20,1.42,0.54,209.63,121.42,5.34,59.94,0.56,0.04,0.65,13.21,6.21,14.57,0,-1.93,0,16913.29,4161.57,3452.66,0.59,16.86,5068.94,4596.95,10169.65,3930.30,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.53,1412.35,19939.81,16901.71,6642.59,10.79,221.01,6661.56,0.24,0.35,0.16,0.72,0.77,-0.30,0.76,0.85,0.34,0.27,0.47,0.52,209.32,209.61,209.95,121.58,121.44,121.24,6.27,6.97,2.77
"2015-07-06 17:45:00",0,0,0,19441.31,24527.69,5086.38,18697.22,714.88,3539.88,11463.40,22824.68,22830.21,5.53,0.91,0.70,1.15,0.79,210.62,121.99,5.41,60.02,0.58,0.48,0.88,13.21,6.21,14.57,0,-1.93,0,16913.34,4161.66,3452.69,0.59,16.86,5068.94,4597.14,10169.78,3930.30,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.54,1412.42,19940.01,16901.88,6642.67,10.79,221.01,6661.56,0.27,0.50,0.15,0.83,0.66,-0.24,0.88,0.82,0.28,0.31,0.60,0.52,210.13,210.93,210.78,121.85,122.14,121.98,7.13,7.45,2.77
"2015-07-06 18:00:01",0,0,0,19442.35,24528.73,5086.38,18697.93,714.88,3539.88,11463.45,22825.93,22831.46,5.53,0.80,0.77,0.79,0.93,211.15,122.29,4.16,60.02,0.73,0.93,1.22,13.21,6.21,14.57,0,-1.93,0,16913.68,4162.03,3453.02,0.59,16.86,5068.94,4597.45,10170.03,3930.46,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.55,1412.46,19940.49,16902.33,6643.06,10.79,221.01,6661.56,0.28,0.34,0.18,0.70,0.32,-0.25,0.75,0.47,0.31,0.37,0.73,0.58,210.38,211.55,211.15,122.14,122.15,122.37,6.60,4.71,2.96
"2015-07-06 18:15:00",0,0,0,19442.55,24528.94,5086.38,18698.23,714.88,3539.89,11463.53,22826.24,22831.78,5.53,0.88,1.32,1.58,0.56,211.50,122.50,5.33,60.01,4.14,2.62,4.99,13.21,6.21,14.57,0,-1.93,0,16913.77,4162.12,3453.05,0.59,16.86,5068.94,4597.63,10170.14,3930.46,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.56,1412.53,19940.70,16902.49,6643.14,10.79,221.01,6661.56,0.31,0.33,0.24,0.93,0.54,-0.15,0.98,0.63,0.29,0.32,0.52,0.85,210.97,212.30,211.24,122.25,122.73,122.53,6.40,6.61,2.98
"2015-07-06 18:30:00",0,0,0,19442.90,24529.28,5086.38,18698.56,714.88,3539.89,11463.66,22826.67,22832.21,5.53,0.85,0.94,1.26,0.67,213.55,123.68,4.45,60.00,0.83,0.85,1.26,13.21,6.21,14.57,0,-1.93,0,16913.85,4162.27,3453.16,0.59,16.86,5068.94,4597.82,10170.28,3930.46,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.58,1412.63,19940.90,16902.73,6643.29,10.79,221.01,6661.56,0.35,0.34,0.16,0.77,0.41,-0.24,0.84,0.53,0.29,0.41,0.64,0.56,212.72,214.34,213.59,123.38,123.57,124.09,6.80,3.93,2.61
"2015-07-06 18:45:00",0,0,0,19443.05,24529.43,5086.38,18698.78,714.88,3539.89,11463.83,22826.86,22832.40,5.53,0.45,0.15,0.48,0.95,212.13,122.86,4.11,59.99,1.38,0.82,1.74,13.21,6.21,14.57,0,-1.93,0,16913.92,4162.32,3453.19,0.59,16.86,5068.94,4598.01,10170.32,3930.46,7.37,201.30,506.21,3.40,19.00,3517.49,4738.44,5312.68,1412.70,19941.11,16902.87,6643.37,10.79,221.01,6661.56,0.20,0.12,0.13,0.73,-0.43,-0.28,0.75,0.45,0.31,0.26,0.26,0.42,211.60,212.70,211.82,122.55,123.09,122.78,6.37,4.52,2.57
"2015-07-06 19:00:00",0,0,0,19443.98,24530.36,5086.38,18699.40,714.88,3539.89,11463.94,22827.97,22833.50,5.53,0.42,-0.02,0.42,1.00,212.45,123.04,3.78,60.01,0.55,0.07,0.65,13.21,6.21,14.57,0,-1.93,0,16914.25,4162.61,3453.50,0.59,16.86,5068.94,4598.30,10170.49,3930.61,7.37,201.30,506.21,3.40,19.00,3517.49,4738.45,5312.75,1412.74,19941.57,16903.27,6643.74,10.80,221.01,6661.56,0.16,0.16,0.10,0.65,-0.38,-0.30,0.67,0.41,0.31,0.24,0.39,0.32,211.75,212.85,212.74,122.90,122.89,123.33,5.46,3.33,2.54
"2015-07-06 19:15:00",0,0,0,19444.14,24530.53,5086.38,18699.69,714.88,3539.89,11464.05,22828.25,22833.78,5.53,0.69,1.08,1.28,0.54,211.50,122.49,4.91,59.96,3.72,2.02,4.44,13.21,6.21,14.57,0,-1.93,0,16914.31,4162.69,3453.53,0.59,16.86,5068.94,4598.48,10170.60,3930.61,7.37,201.30,506.21,3.40,19.00,3517.50,4738.46,5312.78,1412.81,19941.77,16903.44,6643.82,10.80,221.01,6661.57,0.21,0.34,0.14,0.86,0.53,-0.31,0.88,0.63,0.34,0.24,0.54,0.42,210.96,212.19,211.35,122.33,122.36,122.78,6.66,5.40,2.68
"2015-07-06 19:30:00",0,0,0,19444.34,24530.72,5086.38,18700.01,714.88,3539.89,11464.14,22828.56,22834.10,5.53,0.59,1.27,1.40,0.42,211.65,122.58,4.71,60.02,0.70,0.86,1.19,13.21,6.21,14.57,0,-1.93,0,16914.38,4162.78,3453.56,0.59,16.86,5068.94,4598.68,10170.72,3930.61,7.37,201.30,506.21,3.40,19.00,3517.50,4738.46,5312.80,1412.88,19941.98,16903.60,6643.90,10.80,221.01,6661.57,0.35,0.33,-0.09,0.81,0.74,-0.28,0.88,0.81,0.29,0.40,0.41,-0.30,211.05,212.39,211.51,122.18,122.66,122.89,7.08,4.75,2.32
