time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-07 00:00:00",0,0,0,19454.24,24540.63,5086.39,18708.14,714.89,3539.91,11465.89,22840.92,22846.46,5.53,0.96,1.12,1.47,0.65,211.95,122.74,4.95,60.01,1.00,0.78,1.37,13.21,6.21,14.57,0,-1.93,0,16917.79,4166.39,3456.45,0.59,16.86,5068.94,4602.85,10173.48,3931.82,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.45,1413.94,19947.74,16908.79,6647.76,10.81,221.01,6661.58,0.31,0.50,0.15,0.84,0.56,-0.29,0.90,0.75,0.33,0.34,0.66,0.47,211.26,212.77,211.83,122.17,122.85,123.22,6.75,5.48,2.61
"2015-07-07 00:15:00",0,0,0,19454.45,24540.84,5086.39,18708.46,714.89,3539.91,11465.97,22841.24,22846.78,5.53,0.68,1.07,1.26,0.54,211.35,122.40,4.89,59.98,3.55,2.33,4.32,13.21,6.21,14.57,0,-1.93,0,16917.87,4166.49,3456.48,0.59,16.86,5068.94,4603.04,10173.60,3931.82,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.46,1414.01,19947.94,16908.96,6647.84,10.81,221.01,6661.58,0.24,0.30,0.14,0.75,0.63,-0.28,0.78,0.70,0.31,0.29,0.49,0.36,210.70,212.10,211.24,122.02,122.58,122.61,6.41,5.69,2.57
"2015-07-07 00:30:00",0,0,0,19455.33,24541.71,5086.39,18709.13,714.89,3539.91,11466.03,22842.34,22847.87,5.53,0.65,1.00,1.19,0.55,211.65,122.57,4.78,60.02,0.79,0.92,1.25,13.21,6.21,14.57,0,-1.93,0,16918.16,4166.79,3456.76,0.59,16.86,5068.94,4603.34,10173.83,3931.95,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.47,1414.06,19948.39,16909.36,6648.18,10.81,221.01,6661.58,0.23,0.32,0.10,0.88,0.43,-0.31,0.91,0.53,0.32,0.26,0.60,0.31,210.95,212.45,211.54,122.29,122.48,122.95,7.64,4.22,2.49
"2015-07-07 00:45:00",0,0,0,19455.49,24541.88,5086.39,18709.44,714.89,3539.91,11466.15,22842.62,22848.15,5.53,0.51,-0.18,0.55,0.94,214.21,124.06,5.14,60.01,3.50,2.49,4.39,13.21,6.21,14.57,0,-1.93,0,16918.22,4166.87,3456.79,0.59,16.86,5068.94,4603.56,10173.93,3931.95,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.51,1414.13,19948.62,16909.52,6648.26,10.81,221.01,6661.58,0.24,0.13,0.14,0.79,-0.68,-0.30,0.83,0.69,0.33,0.29,0.19,0.44,213.22,214.98,214.43,123.68,124.22,124.28,8.04,4.79,2.59
"2015-07-07 01:00:00",0,0,0,19456.10,24542.49,5086.39,18709.93,714.89,3539.92,11466.30,22843.34,22848.88,5.53,8.92,5.59,10.53,0.85,212.03,122.80,28.47,60.02,0.64,0.64,1.05,13.21,6.21,14.57,0,-1.93,0,16918.44,4167.06,3456.99,0.59,16.86,5068.94,4603.84,10174.04,3932.05,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.61,1414.19,19949.01,16909.82,6648.53,10.81,221.01,6661.58,3.11,2.75,3.07,2.03,1.88,1.69,3.71,3.33,3.50,0.84,0.83,0.88,211.17,213.11,211.82,122.54,122.78,123.09,30.30,26.80,28.32
"2015-07-07 01:15:00",0,0,0,19456.51,24542.89,5086.39,18710.34,714.89,3539.92,11466.44,22843.85,22849.38,5.53,4.40,0.71,4.46,0.99,213.88,123.88,15.15,60.01,3.35,2.01,4.00,13.21,6.21,14.57,0,-1.93,0,16918.60,4167.18,3457.11,0.59,16.86,5068.94,4604.10,10174.13,3932.10,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.68,1414.26,19949.33,16910.04,6648.71,10.81,221.01,6661.58,0.33,2.15,1.90,0.92,1.22,-1.07,0.98,2.48,2.18,0.35,0.92,0.84,213.02,214.18,214.43,123.80,123.67,124.16,7.88,20.01,17.56
"2015-07-07 01:30:00",0,0,0,19456.83,24543.22,5086.39,18710.70,714.89,3539.92,11466.56,22844.29,22849.83,5.53,0.72,1.06,1.28,0.56,214.09,124.00,5.22,60.02,1.21,0.53,1.43,13.21,6.21,14.57,0,-1.93,0,16918.69,4167.33,3457.20,0.59,16.86,5068.94,4604.33,10174.27,3932.10,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.70,1414.36,19949.57,16910.27,6648.85,10.81,221.01,6661.58,0.22,0.33,0.17,0.84,0.52,-0.30,0.87,0.61,0.35,0.25,0.53,0.49,213.35,214.99,213.92,123.46,124.26,124.29,7.28,5.62,2.75
"2015-07-07 01:45:00",0,0,0,19457.77,24544.15,5086.39,18711.39,714.89,3539.92,11466.62,22845.44,22850.97,5.53,10.40,5.18,11.62,0.89,213.98,123.94,32.05,60.01,0.85,1.03,1.38,13.21,6.21,14.57,0,-1.93,0,16919.01,4167.63,3457.51,0.59,16.86,5068.94,4604.65,10174.51,3932.24,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.71,1414.41,19950.05,16910.66,6649.22,10.81,221.01,6661.58,3.70,2.94,3.76,2.35,1.84,0.99,4.39,3.47,3.88,0.84,0.85,0.97,213.12,214.94,213.86,123.28,124.19,124.35,35.01,28.03,33.12
"2015-07-07 02:00:00",0,0,0,19460.57,24546.96,5086.39,18712.86,714.89,3539.92,11466.62,22848.60,22854.13,5.53,11.70,6.15,13.22,0.89,212.65,123.17,35.78,60.01,5.08,3.14,6.05,13.21,6.21,14.57,0,-1.93,0,16920.17,4168.39,3458.40,0.59,16.86,5068.94,4605.26,10174.96,3932.64,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.71,1414.41,19951.36,16911.54,6650.19,10.81,221.01,6661.58,5.13,2.97,3.60,2.56,1.72,1.87,5.73,3.44,4.05,0.90,0.87,0.89,211.79,213.90,212.25,122.20,123.43,123.88,47.34,28.13,31.87
"2015-07-07 02:15:00",0,0,0,19463.46,24549.85,5086.39,18714.38,714.89,3539.92,11466.62,22851.87,22857.40,5.53,11.48,5.92,12.92,0.89,213.38,123.59,35.20,60.01,11.35,5.91,12.80,13.21,6.21,14.57,0,-1.93,0,16921.44,4169.14,3459.27,0.59,16.86,5068.94,4605.93,10175.42,3933.03,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.71,1414.41,19952.80,16912.42,6651.15,10.81,221.01,6661.58,5.13,3.12,3.25,2.70,1.81,1.64,5.79,3.60,3.64,0.90,0.88,0.88,212.41,214.51,213.21,122.61,123.93,124.24,47.26,29.07,29.26
