time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-07 03:30:00",0,0,0,19472.04,24558.42,5086.39,18719.50,714.89,3539.92,11466.91,22861.77,22867.30,5.53,2.73,2.90,3.98,0.68,214.20,124.07,10.00,59.94,4.85,2.93,5.70,13.21,6.21,14.57,0,-1.93,0,16925.48,4171.35,3461.59,0.59,16.86,5068.94,4608.48,10176.85,3934.17,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.79,1414.61,19957.59,16915.12,6653.88,10.81,221.01,6661.58,1.63,0.59,0.50,1.55,0.89,0.46,2.25,1.07,0.68,0.73,0.55,0.73,213.56,215.07,213.97,123.10,124.53,124.60,17.60,7.07,5.32
"2015-07-07 03:45:00",0,0,0,19472.97,24559.36,5086.39,18720.12,714.89,3539.92,11467.02,22862.86,22868.39,5.53,9.27,5.88,10.98,0.84,214.38,124.19,29.27,60.02,7.52,4.58,8.84,13.21,6.21,14.57,0,-1.93,0,16926.00,4171.57,3461.79,0.59,16.86,5068.94,4608.85,10177.02,3934.26,7.38,201.30,506.21,3.41,19.00,3517.51,4738.50,5313.84,1414.67,19958.23,16915.44,6654.14,10.81,221.01,6661.59,3.93,2.52,2.83,2.20,2.01,1.66,4.50,3.22,3.28,0.87,0.78,0.86,213.56,215.45,214.13,123.37,124.59,124.61,37.00,24.64,26.18
"2015-07-07 04:00:00",0,0,0,19474.16,24560.54,5086.39,18720.88,714.89,3539.92,11467.13,22864.23,22869.76,5.53,2.60,0.99,2.78,0.93,215.80,124.99,11.21,59.97,4.78,2.72,5.56,13.21,6.21,14.57,0,-1.93,0,16926.61,4171.85,3462.08,0.59,16.86,5068.94,4609.28,10177.19,3934.41,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5313.91,1414.71,19958.98,16915.83,6654.50,10.81,221.01,6661.59,1.46,0.57,0.57,1.14,0.30,-0.46,1.86,0.48,0.34,0.79,1.00,1.00,215.04,216.67,215.68,123.84,125.60,125.54,15.16,9.00,9.48
"2015-07-07 04:15:00",0,0,0,19475.80,24562.19,5086.39,18721.87,714.89,3539.92,11467.24,22866.12,22871.65,5.53,2.82,2.80,3.97,0.71,214.63,124.32,10.77,60.01,4.14,1.90,4.66,13.21,6.21,14.57,0,-1.93,0,16927.36,4172.29,3462.54,0.59,16.86,5068.94,4609.78,10177.48,3934.62,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5313.95,1414.78,19959.88,16916.38,6655.05,10.81,221.01,6661.59,1.77,0.58,0.45,1.56,0.79,0.49,2.36,0.98,0.67,0.75,0.60,0.67,214.03,215.65,214.45,123.26,125.02,124.80,19.03,7.71,5.08
"2015-07-07 04:30:00",0,0,0,19476.38,24562.76,5086.39,18722.30,714.89,3539.92,11467.35,22866.79,22872.32,5.53,10.63,6.11,12.26,0.87,214.10,124.01,32.98,60.01,6.20,3.66,7.26,13.21,6.21,14.57,0,-1.93,0,16927.77,4172.40,3462.59,0.59,16.86,5068.94,4610.09,10177.58,3934.63,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5313.99,1414.86,19960.40,16916.57,6655.15,10.81,221.01,6661.59,4.41,3.05,3.17,2.70,1.90,1.51,5.17,3.59,3.51,0.85,0.85,0.90,213.40,214.79,214.12,123.20,124.41,124.42,41.89,28.52,28.53
"2015-07-07 04:45:00",0,0,0,19477.92,24564.31,5086.39,18723.30,714.89,3539.92,11467.40,22868.61,22874.14,5.53,2.11,1.51,2.59,0.81,215.59,124.87,8.27,60.01,3.28,1.82,3.81,13.21,6.21,14.57,0,-1.93,0,16928.49,4172.83,3462.99,0.59,16.86,5068.94,4610.59,10177.87,3934.84,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.00,1414.89,19961.28,16917.10,6655.62,10.81,221.01,6661.59,1.47,0.49,0.15,1.18,0.67,-0.34,1.89,0.83,0.37,0.78,0.59,0.40,214.80,216.26,215.72,124.08,125.21,125.34,15.20,6.64,2.98
"2015-07-07 05:00:00",0,0,0,19479.18,24565.57,5086.39,18724.13,714.89,3539.92,11467.47,22870.09,22875.62,5.53,9.65,5.97,11.35,0.85,213.69,123.77,30.53,60.01,5.15,3.14,6.07,13.21,6.21,14.57,0,-1.93,0,16929.11,4173.17,3463.29,0.59,16.86,5068.94,4611.03,10178.11,3934.99,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.02,1414.94,19962.04,16917.53,6656.00,10.81,221.01,6661.59,4.08,2.74,2.83,2.59,1.85,1.53,4.83,3.31,3.22,0.84,0.83,0.88,213.13,214.37,213.58,122.91,124.37,124.03,39.24,26.29,26.06
"2015-07-07 05:15:00",0,0,0,19479.89,24566.28,5086.39,18724.61,714.89,3539.92,11467.65,22870.88,22876.41,5.53,1.77,0.44,1.82,0.97,215.85,125.02,7.67,59.99,6.00,3.65,7.05,13.21,6.21,14.57,0,-1.93,0,16929.56,4173.29,3463.41,0.59,16.86,5068.94,4611.38,10178.18,3935.05,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.13,1415.01,19962.62,16917.77,6656.18,10.81,221.01,6661.59,1.44,0.18,0.15,1.29,-0.53,-0.31,1.93,0.56,0.34,0.75,0.32,0.43,215.16,216.48,215.91,124.26,125.35,125.44,15.18,5.00,2.81
"2015-07-07 05:30:00",0,0,0,19481.29,24567.68,5086.39,18725.52,714.89,3539.92,11467.74,22872.52,22878.05,5.53,1.84,0.27,1.71,1.00,215.64,124.89,7.43,59.93,1.81,0.49,1.92,13.21,6.21,14.57,0,-1.93,0,16930.26,4173.64,3463.78,0.59,16.86,5068.94,4611.86,10178.40,3935.25,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.19,1415.04,19963.47,16918.22,6656.62,10.81,221.01,6661.59,1.51,0.20,0.13,1.11,-0.49,-0.35,1.87,0.53,0.37,0.81,0.38,0.36,215.09,216.25,215.44,123.90,125.46,125.24,16.00,5.69,2.86
"2015-07-07 05:45:00",0,0,0,19481.81,24568.20,5086.39,18725.90,714.89,3539.92,11467.88,22873.11,22878.64,5.53,1.85,1.69,2.50,0.74,213.87,123.84,7.30,60.02,5.62,3.26,6.58,13.21,6.21,14.57,0,-1.93,0,16930.66,4173.73,3463.82,0.59,16.86,5068.94,4612.17,10178.48,3935.25,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.25,1415.12,19963.97,16918.39,6656.71,10.81,221.01,6661.59,1.43,0.34,0.08,1.46,0.55,-0.32,2.04,0.64,0.33,0.70,0.53,0.25,213.23,214.30,214.08,123.09,124.28,124.16,15.47,4.16,2.26
"2015-07-07 06:00:00",0,0,0,19483.30,24569.69,5086.39,18726.84,714.89,3539.92,11467.94,22874.86,22880.39,5.53,2.44,1.60,2.92,0.84,213.87,123.84,8.51,60.01,2.57,1.34,2.96,13.21,6.21,14.57,0,-1.93,0,16931.38,4174.13,3464.19,0.59,16.86,5068.94,4612.66,10178.74,3935.44,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.28,1415.16,19964.85,16918.89,6657.15,10.81,221.01,6661.59,1.84,0.43,0.17,1.29,0.61,-0.30,2.25,0.75,0.35,0.82,0.57,0.50,213.04,214.33,214.25,123.11,124.14,124.26,18.21,4.79,2.52
"2015-07-07 06:15:00",0,0,0,19484.22,24570.61,5086.39,18727.46,714.89,3539.92,11468.04,22875.93,22881.46,5.53,9.65,6.50,11.64,0.83,213.20,123.45,30.38,60.02,5.50,3.27,6.46,13.21,6.21,14.57,0,-1.93,0,16931.89,4174.35,3464.36,0.59,16.86,5068.94,4613.03,10178.90,3935.53,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.31,1415.22,19965.49,16919.20,6657.39,10.81,221.01,6661.59,3.97,2.87,2.81,2.90,2.06,1.54,4.92,3.53,3.20,0.81,0.81,0.88,212.71,213.59,213.30,122.81,123.83,123.71,38.64,26.63,25.86
"2015-07-07 06:30:00",0,0,0,19485.18,24571.57,5086.39,18728.09,714.89,3539.93,11468.15,22877.04,22882.57,5.53,1.68,0.48,1.98,0.98,213.77,123.78,8.44,59.97,4.77,2.73,5.55,13.21,6.21,14.57,0,-1.93,0,16932.42,4174.59,3464.56,0.59,16.86,5068.94,4613.42,10179.05,3935.62,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.37,1415.28,19966.14,16919.52,6657.66,10.81,221.01,6661.59,1.42,0.14,0.12,1.51,-0.64,-0.39,2.07,0.65,0.40,0.68,0.21,0.30,213.20,213.89,214.55,123.43,123.98,124.12,15.08,4.06,2.66
