time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-07 06:45:00",0,0,0,19486.52,24572.91,5086.39,18728.93,714.89,3539.93,11468.26,22878.58,22884.12,5.53,5.97,2.29,6.39,0.93,213.84,123.82,19.50,60.02,2.71,1.32,3.12,13.21,6.21,14.57,0,-1.93,0,16933.08,4174.92,3464.91,0.59,16.86,5068.94,4613.88,10179.26,3935.79,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.43,1415.33,19966.95,16919.97,6658.08,10.81,221.01,6661.59,1.75,2.06,2.16,1.57,1.43,-0.71,2.35,2.51,2.27,0.74,0.82,0.95,213.20,213.98,214.33,123.21,124.12,124.12,19.13,21.16,18.22
"2015-07-07 07:00:00",0,0,0,19487.06,24573.45,5086.39,18729.30,714.89,3539.93,11468.46,22879.16,22884.70,5.53,2.19,0.64,2.29,0.96,214.77,124.36,8.32,59.97,5.74,3.02,6.56,13.21,6.21,14.57,0,-1.93,0,16933.45,4175.01,3464.99,0.59,16.86,5068.94,4614.18,10179.32,3935.79,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.53,1415.43,19967.43,16920.16,6658.22,10.81,221.01,6661.59,1.66,0.36,0.18,1.40,-0.42,-0.34,2.17,0.55,0.38,0.76,0.65,0.46,214.20,215.14,214.96,123.71,124.75,124.61,17.01,4.80,3.16
"2015-07-07 07:15:00",0,0,0,19488.42,24574.81,5086.39,18730.19,714.89,3539.93,11468.52,22880.77,22886.30,5.53,2.06,1.67,2.65,0.78,214.39,124.13,8.41,60.00,1.85,0.66,2.02,13.21,6.21,14.57,0,-1.93,0,16934.13,4175.37,3465.32,0.59,16.86,5068.94,4614.66,10179.57,3935.97,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.55,1415.47,19968.26,16920.61,6658.61,10.81,221.01,6661.59,1.59,0.34,0.13,1.29,0.63,-0.34,2.05,0.71,0.36,0.77,0.45,0.33,213.75,214.77,214.64,123.52,124.53,124.35,16.61,5.70,2.90
"2015-07-07 07:30:00",0,0,0,19489.12,24575.50,5086.39,18730.68,714.89,3539.93,11468.63,22881.57,22887.10,5.53,9.67,6.54,11.68,0.83,213.51,123.63,30.72,60.02,5.45,3.33,6.42,13.21,6.21,14.57,0,-1.93,0,16934.57,4175.52,3465.41,0.59,16.86,5068.94,4615.00,10179.69,3936.00,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.59,1415.54,19968.82,16920.83,6658.76,10.81,221.01,6661.59,4.04,2.90,2.74,3.11,1.67,1.76,5.09,3.35,3.25,0.79,0.87,0.84,213.04,213.90,213.61,122.94,124.10,123.85,39.65,27.17,25.35
"2015-07-07 07:45:00",0,0,0,19490.27,24576.66,5086.39,18731.45,714.89,3539.93,11468.71,22882.93,22888.46,5.53,2.34,0.56,2.41,0.97,214.71,124.32,8.50,60.01,3.80,2.17,4.43,13.21,6.21,14.57,0,-1.93,0,16935.16,4175.82,3465.67,0.59,16.86,5068.94,4615.43,10179.90,3936.13,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.61,1415.59,19969.56,16921.23,6659.09,10.81,221.01,6661.59,1.66,0.33,0.36,1.33,-0.48,-0.29,2.12,0.58,0.46,0.78,0.56,0.78,214.15,214.87,215.11,123.78,124.61,124.57,17.15,4.66,3.68
"2015-07-07 08:00:00",0,0,0,19491.46,24577.85,5086.39,18732.23,714.89,3539.93,11468.82,22884.31,22889.84,5.53,9.42,5.83,11.07,0.85,213.31,123.51,29.92,59.97,3.54,2.11,4.19,13.21,6.21,14.57,0,-1.93,0,16935.79,4176.10,3465.96,0.59,16.86,5068.94,4615.86,10180.08,3936.28,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.67,1415.64,19970.32,16921.61,6659.45,10.81,221.01,6661.59,4.10,2.56,2.76,2.66,1.59,1.57,4.88,3.01,3.17,0.84,0.85,0.87,212.75,213.68,213.51,122.94,123.90,123.69,39.57,24.50,25.68
"2015-07-07 08:15:00",0,0,0,19491.93,24578.32,5086.39,18732.58,714.89,3539.93,11469.02,22884.83,22890.36,5.53,1.85,0.40,1.89,0.98,214.38,124.13,8.25,60.01,4.88,2.83,5.72,13.21,6.21,14.57,0,-1.93,0,16936.16,4176.15,3466.00,0.59,16.86,5068.94,4616.18,10180.11,3936.30,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.79,1415.72,19970.81,16921.77,6659.55,10.81,221.01,6661.59,1.46,0.22,0.17,1.22,-0.48,-0.33,1.90,0.53,0.37,0.77,0.42,0.45,213.90,214.77,214.46,123.45,124.64,124.29,15.70,6.22,2.81
"2015-07-07 08:30:00",0,0,0,19493.20,24579.59,5086.39,18733.41,714.89,3539.93,11469.10,22886.31,22891.84,5.53,1.99,1.35,2.41,0.83,214.79,124.36,7.88,60.02,1.75,0.40,1.81,13.21,6.21,14.57,0,-1.93,0,16936.79,4176.48,3466.31,0.59,16.86,5068.94,4616.63,10180.32,3936.46,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.84,1415.76,19971.60,16922.20,6659.93,10.81,221.01,6661.59,1.42,0.39,0.19,1.29,-0.49,-0.33,1.92,0.63,0.38,0.74,0.62,0.49,214.06,215.35,214.98,123.70,124.71,124.70,15.28,4.70,2.84
"2015-07-07 08:45:00",0,0,0,19493.73,24580.12,5086.39,18733.80,714.89,3539.93,11469.25,22886.91,22892.45,5.53,2.08,1.58,2.61,0.80,214.79,124.36,7.88,60.01,5.11,3.03,6.01,13.21,6.21,14.57,0,-1.93,0,16937.19,4176.58,3466.35,0.59,16.86,5068.94,4616.94,10180.39,3936.46,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.91,1415.84,19972.10,16922.37,6660.02,10.81,221.01,6661.59,1.53,0.39,0.16,1.34,0.55,-0.31,2.03,0.68,0.35,0.75,0.57,0.46,213.96,215.43,214.98,123.60,124.73,124.75,15.95,4.94,2.75
"2015-07-07 09:00:00",0,0,0,19495.02,24581.41,5086.39,18734.63,714.89,3539.93,11469.33,22888.43,22893.96,5.53,2.89,0.22,2.90,1.00,214.64,124.28,9.81,60.01,2.13,0.94,2.41,13.21,6.21,14.57,0,-1.93,0,16937.85,4176.92,3466.65,0.59,16.86,5068.94,4617.40,10180.61,3936.62,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5314.94,1415.88,19972.91,16922.80,6660.39,10.81,221.01,6661.59,2.10,0.61,0.18,0.83,-0.35,-0.26,2.25,0.71,0.31,0.93,0.87,0.58,214.01,215.11,214.78,123.57,124.66,124.61,19.90,6.52,3.00
"2015-07-07 09:15:01",0,0,0,19495.79,24582.18,5086.39,18735.13,714.89,3539.93,11469.46,22889.31,22894.84,5.53,9.36,5.89,11.06,0.85,213.67,123.72,29.67,60.02,5.24,3.01,6.12,13.21,6.21,14.57,0,-1.93,0,16938.35,4177.08,3466.76,0.59,16.86,5068.94,4617.74,10180.73,3936.67,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5315.00,1415.95,19973.51,16923.04,6660.56,10.81,221.01,6661.59,4.07,2.50,2.80,2.60,1.73,1.55,4.83,3.03,3.20,0.84,0.82,0.87,213.11,214.16,213.74,123.02,124.18,123.95,38.90,24.28,25.85
"2015-07-07 09:30:00",0,0,0,19496.71,24583.10,5086.39,18735.75,714.89,3539.93,11469.60,22890.36,22895.89,5.53,1.86,0.51,1.92,0.96,215.21,124.61,7.92,60.02,4.01,2.16,4.63,13.21,6.21,14.57,0,-1.93,0,16938.88,4177.26,3466.96,0.59,16.86,5068.94,4618.14,10180.85,3936.76,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5315.09,1416.01,19974.18,16923.33,6660.82,10.81,221.01,6661.59,1.60,0.15,0.10,1.30,-0.47,-0.32,2.06,0.49,0.33,0.78,0.31,0.31,214.55,215.68,215.39,123.86,125.03,124.93,16.51,4.54,2.70
"2015-07-07 09:45:00",0,0,0,19498.00,24584.39,5086.39,18736.53,714.89,3539.93,11469.73,22891.83,22897.36,5.53,3.20,2.84,4.28,0.75,214.72,124.33,11.41,60.01,2.63,1.15,2.97,13.21,6.21,14.57,0,-1.93,0,16939.52,4177.58,3467.29,0.59,16.86,5068.94,4618.58,10181.05,3936.90,7.38,201.30,506.21,3.41,19.00,3517.52,4738.50,5315.15,1416.08,19974.96,16923.77,6661.22,10.81,221.01,6661.60,1.86,0.59,0.48,1.84,0.73,0.50,2.62,0.93,0.70,0.76,0.70,0.77,214.09,215.03,215.05,123.72,124.54,124.73,21.14,7.50,5.57
"2015-07-07 10:00:00",0,0,0,19498.54,24584.93,5086.39,18736.94,714.89,3539.93,11469.85,22892.46,22898.00,5.53,2.36,0.28,2.37,0.99,214.98,124.47,8.49,60.00,5.22,2.79,6.02,13.21,6.21,14.57,0,-1.93,0,16939.92,4177.68,3467.33,0.59,16.86,5068.94,4618.90,10181.14,3936.90,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.20,1416.15,19975.48,16923.94,6661.31,10.81,221.01,6661.60,1.78,0.39,0.19,1.20,-0.59,-0.33,2.15,0.71,0.38,0.83,0.55,0.50,214.27,215.40,215.26,123.84,124.87,124.71,17.93,4.23,3.29
