time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-07 10:15:00",0,0,0,19499.78,24586.17,5086.39,18737.77,714.89,3539.93,11469.92,22893.92,22899.46,5.53,2.34,1.82,2.62,0.96,215.25,124.63,9.17,60.01,2.15,1.05,2.48,13.21,6.21,14.57,0,-1.93,0,16940.56,4178.01,3467.60,0.59,16.86,5068.94,4619.35,10181.37,3937.05,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.22,1416.20,19976.26,16924.36,6661.66,10.81,221.01,6661.60,1.57,0.54,0.22,1.58,0.58,-0.34,2.23,0.79,0.40,0.71,0.68,0.55,214.62,215.73,215.50,124.00,124.99,124.96,16.28,6.99,3.12
"2015-07-07 10:30:00",0,0,0,19500.41,24586.79,5086.39,18738.22,714.89,3539.93,11470.05,22894.65,22900.19,5.53,9.37,5.99,11.13,0.84,214.01,123.91,29.93,60.01,4.95,3.01,5.85,13.21,6.21,14.57,0,-1.93,0,16940.97,4178.15,3467.68,0.59,16.86,5068.94,4619.68,10181.47,3937.07,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.27,1416.28,19976.79,16924.56,6661.79,10.81,221.01,6661.60,4.04,2.64,2.69,2.64,1.72,1.64,4.82,3.15,3.14,0.84,0.84,0.85,213.41,214.44,214.22,123.26,124.33,124.18,39.39,25.49,25.19
"2015-07-07 10:45:00",0,0,0,19501.44,24587.83,5086.39,18738.93,714.89,3539.94,11470.16,22895.87,22901.40,5.53,1.60,1.32,2.07,0.77,215.10,124.55,7.47,60.01,3.50,1.97,4.08,13.21,6.21,14.57,0,-1.93,0,16941.54,4178.37,3467.92,0.59,16.86,5068.94,4620.10,10181.63,3937.20,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.34,1416.32,19977.50,16924.91,6662.09,10.81,221.01,6661.60,1.69,0.13,0.21,0.20,-0.71,-0.29,1.70,0.72,0.36,0.77,0.26,0.58,214.40,215.55,215.36,123.83,124.91,124.90,13.73,5.77,2.90
"2015-07-07 11:00:00",0,0,0,19502.40,24588.79,5086.39,18739.56,714.89,3539.94,11470.31,22896.97,22902.50,5.53,9.49,5.57,11.01,0.86,213.96,123.89,29.64,60.01,3.08,1.61,3.59,13.21,6.21,14.57,0,-1.93,0,16942.08,4178.58,3468.13,0.59,16.86,5068.94,4620.50,10181.76,3937.31,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.42,1416.38,19978.18,16925.22,6662.38,10.81,221.01,6661.60,4.14,2.55,2.81,2.38,1.67,1.52,4.77,3.05,3.19,0.87,0.84,0.88,213.45,214.39,214.02,123.31,124.26,124.09,39.66,24.15,25.87
"2015-07-07 11:15:00",0,0,0,19503.02,24589.41,5086.39,18740.03,714.89,3539.94,11470.43,22897.69,22903.23,5.53,2.12,1.46,2.69,0.78,213.76,123.77,8.23,60.01,4.34,2.43,5.06,13.21,6.21,14.57,0,-1.93,0,16942.50,4178.70,3468.21,0.59,16.86,5068.94,4620.83,10181.86,3937.34,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.47,1416.45,19978.72,16925.42,6662.51,10.81,221.01,6661.60,1.60,0.36,0.16,1.22,0.57,-0.33,2.01,0.67,0.37,0.80,0.53,0.44,213.22,214.33,213.83,123.01,124.20,124.16,16.56,5.57,3.04
"2015-07-07 11:30:00",0,0,0,19504.24,24590.63,5086.39,18740.84,714.89,3539.94,11470.50,22899.13,22904.66,5.53,2.07,1.18,2.38,0.87,212.82,123.23,8.20,60.01,2.02,1.01,2.32,13.21,6.21,14.57,0,-1.93,0,16943.13,4179.02,3468.49,0.59,16.86,5068.94,4621.27,10182.09,3937.48,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.49,1416.50,19979.48,16925.82,6662.86,10.81,221.01,6661.60,1.59,0.35,0.13,1.14,0.35,-0.31,1.96,0.50,0.34,0.81,0.71,0.37,212.38,213.38,212.72,122.60,123.70,123.39,16.63,5.08,2.88
"2015-07-07 11:45:00",0,0,0,19504.76,24591.15,5086.39,18741.26,714.89,3539.94,11470.61,22899.74,22905.28,5.53,2.24,1.70,2.81,0.80,213.23,123.47,7.92,59.93,4.87,2.96,5.74,13.21,6.21,14.57,0,-1.93,0,16943.51,4179.12,3468.52,0.59,16.86,5068.94,4621.58,10182.19,3937.48,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.53,1416.59,19979.98,16926.00,6662.95,10.81,221.01,6661.60,1.51,0.56,0.17,1.27,0.77,-0.34,1.97,0.95,0.38,0.77,0.59,0.45,212.66,213.79,213.23,122.79,123.87,123.75,15.60,5.22,2.94
"2015-07-07 12:00:00",0,0,0,19505.89,24592.28,5086.39,18742.01,714.89,3539.94,11470.71,22901.06,22906.60,5.53,1.88,-0.31,1.90,0.99,213.21,123.46,7.79,60.01,2.11,1.22,2.48,13.21,6.21,14.57,0,-1.93,0,16944.09,4179.41,3468.78,0.59,16.86,5068.94,4622.00,10182.39,3937.62,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.57,1416.64,19980.69,16926.38,6663.28,10.81,221.01,6661.60,1.60,0.16,0.13,0.49,-0.50,-0.30,1.67,0.52,0.33,0.96,0.30,0.39,212.37,213.97,213.28,122.76,123.82,123.81,16.23,4.16,2.98
"2015-07-07 12:15:00",0,0,0,19506.31,24592.70,5086.39,18742.31,714.89,3539.94,11470.92,22901.50,22907.04,5.53,1.94,-0.45,2.00,0.97,213.43,123.60,8.64,60.01,4.43,2.50,5.17,13.21,6.21,14.57,0,-1.93,0,16944.44,4179.45,3468.82,0.59,16.86,5068.94,4622.29,10182.40,3937.62,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.70,1416.72,19981.15,16926.53,6663.37,10.81,221.01,6661.60,1.48,0.17,0.21,1.48,-0.74,-0.29,2.09,0.76,0.35,0.71,0.23,0.58,212.83,214.07,213.41,122.88,124.05,123.87,15.56,5.29,3.12
"2015-07-07 12:30:00",0,0,0,19507.51,24593.90,5086.39,18743.06,714.89,3539.94,11471.05,22902.89,22908.42,5.53,1.83,1.44,2.33,0.79,213.33,123.53,7.21,60.00,1.71,0.36,1.78,13.21,6.21,14.57,0,-1.93,0,16945.01,4179.75,3469.14,0.59,16.86,5068.94,4622.70,10182.61,3937.75,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.75,1416.80,19981.86,16926.94,6663.76,10.81,221.01,6661.60,1.34,0.34,0.16,1.40,0.41,-0.37,1.94,0.53,0.40,0.69,0.63,0.39,212.73,213.64,213.61,122.84,123.94,123.83,14.22,4.23,3.18
