time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-07 13:30:00",0,0,0,19510.12,24596.51,5086.39,18745.17,714.89,3539.94,11471.46,22906.08,22911.61,5.53,0.53,-0.14,0.55,0.96,212.68,123.17,4.47,60.02,2.23,1.78,2.94,13.21,6.21,14.57,0,-1.93,0,16946.30,4180.49,3469.72,0.59,16.86,5068.94,4623.94,10183.20,3938.03,7.38,201.30,506.21,3.41,19.00,3517.53,4738.50,5315.91,1417.05,19983.72,16928.04,6664.59,10.81,221.01,6661.60,0.21,0.12,0.14,0.94,-0.35,-0.28,0.96,0.37,0.32,0.22,0.31,0.45,212.10,213.23,212.62,122.84,123.39,123.23,7.89,4.12,2.66
"2015-07-07 13:45:00",0,0,0,19510.63,24597.02,5086.39,18745.64,714.89,3539.94,11471.61,22906.71,22912.24,5.53,7.95,5.46,9.65,0.82,211.27,122.37,25.91,59.95,1.61,1.08,2.03,13.21,6.21,14.57,0,-1.93,0,16946.49,4180.64,3469.89,0.59,16.86,5068.94,4624.22,10183.31,3938.12,7.38,201.30,506.21,3.41,19.00,3517.53,4738.51,5316.00,1417.11,19984.08,16928.30,6664.82,10.82,221.01,6661.60,2.95,2.51,2.79,1.60,1.66,1.45,3.36,3.01,3.14,0.88,0.83,0.89,210.76,211.89,211.13,122.11,122.55,122.42,29.10,24.24,26.28
"2015-07-07 14:00:00",0,0,0,19511.04,24597.43,5086.39,18746.10,714.89,3539.94,11471.70,22907.29,22912.83,5.53,0.70,1.26,1.44,0.49,212.39,123.01,4.77,60.02,3.00,1.96,3.71,13.21,6.21,14.57,0,-1.93,0,16946.63,4180.79,3470.01,0.59,16.86,5068.94,4624.46,10183.46,3938.18,7.38,201.30,506.21,3.41,19.00,3517.53,4738.51,5316.02,1417.16,19984.38,16928.54,6665.00,10.82,221.01,6661.60,0.26,0.32,0.12,0.74,0.83,-0.31,0.79,0.89,0.33,0.33,0.36,0.36,211.82,212.88,212.46,122.83,123.20,123.00,6.81,5.12,2.37
"2015-07-07 14:15:00",0,0,0,19511.76,24598.15,5086.39,18746.68,714.89,3539.94,11471.77,22908.19,22913.72,5.53,8.57,4.92,9.88,0.87,210.83,122.11,27.36,59.99,0.72,0.89,1.23,13.21,6.21,14.57,0,-1.93,0,16946.88,4181.04,3470.23,0.59,16.86,5068.94,4624.74,10183.66,3938.29,7.38,201.30,506.21,3.41,19.00,3517.53,4738.51,5316.05,1417.22,19984.77,16928.88,6665.28,10.82,221.01,6661.60,3.09,2.70,2.78,1.71,1.72,1.50,3.53,3.20,3.15,0.88,0.84,0.88,210.35,211.38,210.77,121.94,122.25,122.15,30.02,26.00,26.07
"2015-07-07 14:30:00",0,0,0,19512.05,24598.44,5086.39,18747.04,714.89,3539.94,11471.86,22908.61,22914.14,5.53,1.41,0.04,1.41,1.00,211.93,122.75,5.74,60.01,3.21,2.31,4.05,13.21,6.21,14.57,0,-1.93,0,16946.99,4181.16,3470.29,0.59,16.86,5068.94,4624.94,10183.78,3938.31,7.38,201.30,506.21,3.41,19.00,3517.53,4738.51,5316.07,1417.28,19985.02,16929.08,6665.39,10.82,221.01,6661.60,0.59,0.58,0.29,0.86,-0.41,-0.22,1.04,0.71,0.36,0.57,0.66,0.85,211.35,212.41,212.01,122.37,123.02,122.86,8.51,5.77,2.94
"2015-07-07 14:45:00",0,0,0,19512.89,24599.28,5086.39,18747.68,714.89,3539.94,11471.93,22909.65,22915.18,5.53,0.54,-0.03,0.54,1.00,213.02,123.38,4.77,60.00,0.86,0.80,1.26,13.21,6.21,14.57,0,-1.93,0,16947.30,4181.43,3470.55,0.59,16.86,5068.94,4625.24,10183.98,3938.45,7.38,201.30,506.21,3.41,19.00,3517.53,4738.51,5316.10,1417.32,19985.46,16929.45,6665.71,10.82,221.01,6661.61,0.32,0.10,0.12,0.83,-0.58,-0.27,0.89,0.59,0.30,0.36,0.17,0.40,212.18,213.72,213.17,123.16,123.23,123.76,6.51,5.31,2.49
"2015-07-07 15:00:00",0,0,0,19513.01,24599.40,5086.39,18747.89,714.89,3539.94,11472.12,22909.81,22915.34,5.53,0.37,1.23,1.28,0.29,212.59,123.13,3.68,60.01,3.29,2.17,4.05,13.21,6.21,14.57,0,-1.93,0,16947.36,4181.46,3470.58,0.59,16.86,5068.94,4625.43,10184.01,3938.45,7.38,201.30,506.21,3.41,19.00,3517.53,4738.51,5316.22,1417.39,19985.67,16929.59,6665.79,10.82,221.01,6661.61,0.16,0.10,0.11,0.81,0.71,-0.29,0.82,0.71,0.31,0.20,0.14,0.36,212.03,213.08,212.67,122.98,123.15,123.27,5.90,2.79,2.34
"2015-07-07 15:15:00",0,0,0,19513.95,24600.34,5086.39,18748.57,714.89,3539.94,11472.21,22910.96,22916.49,5.53,0.63,1.06,1.23,0.51,212.01,122.80,4.76,59.96,0.61,0.16,0.78,13.21,6.21,14.57,0,-1.93,0,16947.65,4181.78,3470.91,0.59,16.86,5068.94,4625.73,10184.24,3938.61,7.38,201.30,506.21,3.41,19.00,3517.53,4738.52,5316.24,1417.46,19986.11,16930.00,6666.19,10.82,221.01,6661.61,0.22,0.29,0.12,0.82,0.54,-0.30,0.85,0.61,0.32,0.25,0.48,0.38,211.46,212.53,212.03,122.64,122.80,122.95,6.59,5.06,2.64
"2015-07-07 15:30:00",0,0,0,19514.13,24600.52,5086.39,18748.89,714.89,3539.94,11472.30,22911.26,22916.79,5.53,0.66,0.89,1.11,0.59,212.54,123.10,5.16,60.01,3.65,2.44,4.53,13.21,6.21,14.57,0,-1.93,0,16947.71,4181.86,3470.94,0.59,16.86,5068.94,4625.92,10184.36,3938.61,7.38,201.30,506.21,3.41,19.00,3517.53,4738.52,5316.25,1417.53,19986.31,16930.17,6666.28,10.82,221.01,6661.61,0.20,0.31,0.12,0.75,0.76,-0.29,0.78,0.82,0.31,0.29,0.60,0.36,211.84,213.00,212.78,123.03,122.99,123.29,6.30,6.67,2.52
"2015-07-07 15:45:00",0,0,0,19515.02,24601.41,5086.39,18749.57,714.89,3539.94,11472.34,22912.38,22917.91,5.53,1.05,1.09,1.51,0.69,212.11,122.86,5.35,60.01,0.72,0.95,1.23,13.21,6.21,14.57,0,-1.93,0,16948.02,4182.18,3471.22,0.59,16.86,5068.94,4626.22,10184.60,3938.75,7.38,201.30,506.21,3.41,19.00,3517.53,4738.52,5316.26,1417.57,19986.76,16930.58,6666.62,10.82,221.01,6661.61,0.36,0.51,0.17,0.79,0.58,-0.28,0.87,0.78,0.33,0.42,0.66,0.52,211.39,212.50,212.45,122.77,122.82,122.98,7.06,6.32,2.68
"2015-07-07 16:00:00",0,0,0,19515.26,24601.65,5086.39,18749.88,714.89,3539.94,11472.43,22912.72,22918.26,5.53,9.69,5.58,11.18,0.87,210.38,121.86,30.34,60.02,3.62,2.53,4.49,13.21,6.21,14.57,0,-1.93,0,16948.11,4182.28,3471.26,0.59,16.86,5068.94,4626.41,10184.72,3938.76,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.28,1417.64,19986.97,16930.75,6666.71,10.82,221.01,6661.61,3.39,3.10,3.20,2.18,1.70,1.71,4.03,3.53,3.62,0.84,0.88,0.88,209.59,210.84,210.72,121.83,121.68,122.06,32.52,29.00,29.50
"2015-07-07 16:15:00",0,0,0,19516.06,24602.45,5086.39,18750.47,714.89,3539.94,11472.55,22913.68,22919.21,5.53,0.47,0.03,0.47,1.00,211.09,122.27,3.95,60.01,1.97,1.47,2.54,13.21,6.21,14.57,0,-1.93,0,16948.42,4182.51,3471.52,0.59,16.86,5068.94,4626.70,10184.88,3938.90,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.35,1417.68,19987.41,16931.10,6667.03,10.82,221.01,6661.61,0.30,0.09,0.09,0.81,-0.50,-0.29,0.86,0.50,0.30,0.34,0.17,0.28,210.56,211.59,211.11,122.07,122.30,122.42,6.70,2.77,2.39
