time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-07 16:45:00",0,0,0,19517.09,24603.48,5086.39,18751.41,714.89,3539.94,11472.77,22915.00,22920.53,5.53,0.68,1.25,1.43,0.48,212.48,123.07,4.91,60.01,3.48,2.14,4.19,13.21,6.21,14.57,0,-1.93,0,16948.79,4182.85,3471.84,0.59,16.86,5068.94,4627.20,10185.15,3939.06,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.46,1417.80,19988.07,16931.64,6667.47,10.82,221.01,6661.61,0.22,0.31,0.15,0.76,0.79,-0.30,0.79,0.85,0.33,0.28,0.36,0.45,211.52,213.22,212.71,123.00,122.86,123.36,6.47,5.56,2.70
"2015-07-07 17:00:00",0,0,0,19517.93,24604.32,5086.39,18752.07,714.89,3539.94,11472.82,22916.05,22921.58,5.53,0.48,0.99,1.10,0.44,213.35,123.57,4.09,60.02,0.69,0.84,1.15,13.21,6.21,14.57,0,-1.93,0,16949.07,4183.14,3472.10,0.59,16.86,5068.94,4627.49,10185.38,3939.20,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.46,1417.84,19988.50,16932.02,6667.80,10.82,221.01,6661.61,0.13,0.26,0.09,0.92,0.36,-0.28,0.93,0.44,0.30,0.14,0.59,0.31,212.46,213.93,213.65,123.46,123.41,123.85,5.80,3.96,2.52
"2015-07-07 17:15:00",0,0,0,19518.10,24604.49,5086.39,18752.40,714.89,3539.94,11472.90,22916.36,22921.89,5.53,0.87,1.00,1.33,0.66,212.54,123.11,4.78,60.01,3.32,2.46,4.21,13.21,6.21,14.57,0,-1.93,0,16949.13,4183.23,3472.13,0.59,16.86,5068.94,4627.69,10185.51,3939.20,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.47,1417.91,19988.71,16932.19,6667.88,10.82,221.01,6661.61,0.22,0.49,0.16,0.77,0.52,-0.29,0.80,0.72,0.33,0.27,0.69,0.49,211.73,213.17,212.71,123.08,122.94,123.29,6.55,5.19,2.61
"2015-07-07 17:30:00",0,0,0,19519.11,24605.50,5086.39,18753.12,714.89,3539.94,11472.99,22917.57,22923.10,5.53,0.78,1.25,1.47,0.53,212.04,122.82,4.57,59.96,0.74,0.97,1.26,13.21,6.21,14.57,0,-1.93,0,16949.45,4183.58,3472.47,0.59,16.86,5068.94,4628.00,10185.76,3939.35,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.48,1417.98,19989.18,16932.63,6668.29,10.82,221.01,6661.61,0.34,0.32,0.13,0.82,0.71,-0.28,0.89,0.78,0.31,0.38,0.41,0.41,211.31,212.72,212.08,122.74,122.91,122.81,7.10,4.04,2.57
"2015-07-07 17:45:00",0,0,0,19519.26,24605.65,5086.39,18753.33,714.89,3539.94,11473.18,22917.75,22923.28,5.53,0.62,-0.05,1.13,0.46,212.65,123.17,4.64,59.93,4.01,2.42,4.78,13.21,6.21,14.57,0,-1.93,0,16949.54,4183.61,3472.50,0.59,16.86,5068.94,4628.20,10185.78,3939.35,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.60,1418.06,19989.39,16932.78,6668.37,10.82,221.01,6661.61,0.35,0.15,0.11,0.77,-0.55,-0.28,0.85,0.57,0.30,0.42,0.26,0.38,212.07,213.10,212.80,123.05,123.18,123.29,7.33,6.42,2.37
"2015-07-07 18:00:00",0,0,0,19519.79,24606.18,5086.39,18753.81,714.89,3539.94,11473.30,22918.43,22923.96,5.53,0.35,-0.26,0.43,0.80,212.39,123.02,3.94,60.01,0.58,0.10,0.68,13.21,6.21,14.57,0,-1.93,0,16949.74,4183.77,3472.67,0.59,16.86,5068.94,4628.45,10185.91,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.67,1418.11,19989.74,16933.05,6668.59,10.82,221.01,6661.61,0.15,0.16,0.04,0.75,-0.74,-0.27,0.76,0.76,0.27,0.19,0.21,0.16,211.67,213.02,212.47,122.90,122.97,123.19,6.01,3.54,2.26
"2015-07-07 18:15:00",0,0,0,19519.96,24606.35,5086.39,18754.12,714.90,3539.95,11473.40,22918.73,22924.26,5.53,0.68,1.22,1.39,0.49,212.03,122.82,5.17,60.01,2.11,1.50,2.78,13.21,6.21,14.57,0,-1.93,0,16949.79,4183.86,3472.70,0.59,16.86,5068.94,4628.64,10186.03,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.70,1418.18,19989.94,16933.22,6668.67,10.82,221.01,6661.61,0.21,0.34,0.14,0.83,0.71,-0.33,0.86,0.79,0.36,0.24,0.43,0.39,211.47,212.55,212.08,122.75,122.73,122.96,6.57,6.14,2.81
"2015-07-07 18:30:00",0,0,0,19520.14,24606.53,5086.39,18754.45,714.90,3539.95,11473.49,22919.04,22924.57,5.53,0.82,-0.22,0.85,0.97,212.36,123.00,5.20,59.99,0.71,0.87,1.21,13.21,6.21,14.57,0,-1.93,0,16949.85,4183.95,3472.73,0.59,16.86,5068.94,4628.84,10186.17,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.72,1418.25,19990.14,16933.40,6668.76,10.82,221.01,6661.61,0.20,0.48,0.12,0.80,0.60,-0.31,0.82,0.76,0.33,0.24,0.62,0.37,211.67,212.89,212.97,123.16,122.76,123.34,6.44,6.14,2.70
"2015-07-07 18:45:00",0,0,0,19520.32,24606.71,5086.39,18754.78,714.90,3539.95,11473.58,22919.35,22924.89,5.53,0.63,1.25,1.40,0.45,211.46,122.48,4.86,60.01,0.74,0.97,1.26,13.21,6.21,14.57,0,-1.93,0,16949.90,4184.05,3472.77,0.59,16.86,5068.94,4629.03,10186.31,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.73,1418.33,19990.34,16933.58,6668.84,10.82,221.01,6661.61,0.20,0.31,0.14,0.76,0.60,-0.29,0.79,0.68,0.32,0.25,0.45,0.43,211.00,211.71,211.85,122.41,122.40,122.73,6.37,7.82,2.81
"2015-07-07 19:00:00",0,0,0,19520.47,24606.87,5086.39,18755.01,714.90,3539.95,11473.77,22919.54,22925.08,5.53,0.51,0.04,0.51,1.00,209.88,121.57,4.65,59.93,0.72,0.98,1.26,13.21,6.21,14.57,0,-1.93,0,16949.99,4184.08,3472.80,0.59,16.86,5068.94,4629.22,10186.34,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.85,1418.40,19990.55,16933.74,6668.92,10.82,221.01,6661.61,0.32,0.09,0.11,0.75,-0.42,-0.29,0.81,0.43,0.31,0.39,0.21,0.35,209.44,210.50,209.70,121.43,121.78,121.49,6.89,4.50,2.57
"2015-07-07 19:15:00",0,0,0,19520.62,24607.01,5086.39,18755.22,714.90,3539.95,11473.98,22919.72,22925.25,5.53,0.46,-0.27,0.53,0.86,209.02,121.07,4.21,60.01,0.57,0.02,0.69,13.21,6.21,14.57,0,-1.93,0,16950.07,4184.11,3472.82,0.59,16.86,5068.94,4629.42,10186.36,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5316.98,1418.48,19990.76,16933.89,6669.00,10.82,221.01,6661.61,0.29,0.09,0.08,0.81,-0.77,-0.30,0.86,0.78,0.31,0.34,0.11,0.24,208.58,209.28,209.20,121.24,121.06,120.91,6.98,3.29,2.34
"2015-07-07 19:30:00",0,0,0,19520.79,24607.18,5086.39,18755.54,714.90,3539.95,11474.10,22920.01,22925.54,5.53,0.60,0.19,0.63,0.95,212.05,122.81,5.53,59.97,0.57,0.03,0.68,13.21,6.21,14.57,0,-1.93,0,16950.13,4184.19,3472.86,0.59,16.86,5068.94,4629.63,10186.46,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5317.02,1418.55,19990.99,16934.06,6669.08,10.82,221.01,6661.61,0.17,0.30,0.13,0.94,-0.46,-0.29,0.96,0.55,0.32,0.18,0.55,0.40,211.36,212.40,212.40,123.04,122.55,122.85,6.96,6.80,2.81
"2015-07-07 19:45:00",0,0,0,19520.97,24607.36,5086.39,18755.90,714.90,3539.95,11474.19,22920.33,22925.87,5.53,0.72,1.13,1.34,0.54,214.14,124.02,4.89,60.00,0.71,0.94,1.24,13.21,6.21,14.57,0,-1.93,0,16950.19,4184.28,3472.89,0.59,16.86,5068.94,4629.85,10186.60,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5317.04,1418.63,19991.22,16934.24,6669.17,10.82,221.01,6661.61,0.25,0.32,0.14,0.88,0.46,-0.32,0.92,0.56,0.34,0.27,0.58,0.39,213.21,214.66,214.63,124.29,123.73,124.09,7.30,6.94,2.79
"2015-07-07 20:00:00",0,0,0,19521.15,24607.54,5086.39,18756.26,714.90,3539.95,11474.29,22920.67,22926.20,5.53,1.47,0.10,1.48,1.00,211.99,122.77,6.51,60.01,0.71,1.06,1.32,13.21,6.21,14.57,0,-1.93,0,16950.24,4184.37,3472.92,0.59,16.86,5068.94,4630.08,10186.74,3939.45,7.38,201.30,506.21,3.41,19.00,3517.54,4738.52,5317.05,1418.71,19991.45,16934.42,6669.26,10.82,221.01,6661.61,0.23,1.07,0.18,0.93,-0.49,-0.34,0.96,1.17,0.39,0.24,0.91,0.47,211.17,212.57,212.21,123.08,122.37,122.88,7.07,9.29,3.16
