time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-07 23:30:00",0,0,0,19524.65,24611.04,5086.39,18760.32,714.91,3539.95,11476.30,22925.22,22930.75,5.53,1.01,1.20,1.57,0.65,215.35,124.72,5.53,60.02,0.65,0.48,0.91,13.21,6.21,14.57,0,-1.93,0,16951.53,4185.76,3473.75,0.59,16.86,5068.94,4632.90,10187.98,3939.45,7.39,201.30,506.22,3.41,19.00,3517.54,4738.55,5317.86,1419.89,19994.64,16936.97,6670.76,10.83,221.01,6661.62,0.35,0.54,0.12,1.01,0.50,-0.31,1.07,0.74,0.34,0.33,0.73,0.37,214.47,215.82,215.76,124.57,124.60,125.00,8.44,5.49,2.66
"2015-07-07 23:45:00",0,0,0,19524.88,24611.27,5086.39,18760.70,714.91,3539.95,11476.41,22925.58,22931.11,5.53,0.76,1.45,0.74,0.99,214.88,124.45,6.11,59.98,1.33,0.94,1.74,13.21,6.21,14.57,0,-1.93,0,16951.61,4185.87,3473.79,0.59,16.86,5068.94,4633.16,10188.09,3939.45,7.39,201.30,506.22,3.41,19.00,3517.54,4738.55,5317.88,1419.98,19994.91,16937.14,6670.85,10.83,221.01,6661.62,0.31,0.34,0.12,1.06,0.74,-0.35,1.10,0.81,0.37,0.28,0.41,0.32,214.24,215.47,215.32,124.33,124.65,124.58,8.92,5.85,3.00
"2015-07-08 00:00:00",0,0,0,19525.07,24611.46,5086.39,18761.08,714.91,3539.95,11476.52,22925.92,22931.45,5.53,0.66,1.08,1.27,0.52,214.58,124.27,5.53,59.94,0.86,1.09,1.43,13.21,6.21,14.57,0,-1.93,0,16951.68,4185.96,3473.82,0.59,16.86,5068.94,4633.42,10188.20,3939.45,7.39,201.30,506.22,3.41,19.00,3517.54,4738.55,5317.90,1420.07,19995.19,16937.31,6670.95,10.83,221.01,6661.62,0.24,0.32,0.11,1.07,0.38,-0.37,1.10,0.49,0.38,0.22,0.64,0.28,213.75,214.72,215.26,124.39,124.03,124.39,8.74,4.82,3.02
"2015-07-08 00:15:00",0,0,0,19525.22,24611.61,5086.39,18761.39,714.91,3539.95,11476.68,22926.15,22931.69,5.53,0.48,0.27,0.55,0.88,214.79,124.39,5.54,60.01,0.76,1.07,1.36,13.21,6.21,14.57,0,-1.93,0,16951.73,4186.02,3473.86,0.59,16.86,5068.94,4633.69,10188.26,3939.45,7.39,201.30,506.22,3.41,19.00,3517.54,4738.55,5317.98,1420.16,19995.46,16937.46,6671.04,10.83,221.01,6661.62,0.23,0.16,0.10,1.08,-0.47,-0.34,1.11,0.50,0.36,0.21,0.32,0.28,214.10,215.43,214.83,124.03,124.54,124.60,8.73,5.00,2.88
"2015-07-08 00:30:00",0,0,0,19525.34,24611.73,5086.39,18761.67,714.91,3539.95,11476.90,22926.29,22931.83,5.53,0.55,-0.05,0.55,1.00,214.33,124.13,5.03,60.00,0.58,0.49,0.83,13.21,6.21,14.57,0,-1.93,0,16951.79,4186.06,3473.89,0.59,16.86,5068.94,4633.95,10188.27,3939.45,7.39,201.30,506.22,3.41,19.00,3517.54,4738.55,5318.11,1420.24,19995.72,16937.61,6671.13,10.83,221.01,6661.62,0.23,0.18,0.12,1.08,-0.38,-0.33,1.10,0.42,0.35,0.25,0.22,0.38,213.32,215.05,214.62,123.96,124.13,124.28,8.90,3.38,2.81
"2015-07-08 00:45:00",0,0,0,19525.49,24611.88,5086.39,18761.98,714.91,3539.95,11477.07,22926.51,22932.05,5.53,0.82,1.30,1.52,0.57,215.25,124.66,5.68,59.94,0.47,0.22,0.56,13.21,6.21,14.57,0,-1.93,0,16951.85,4186.11,3473.92,0.59,16.86,5068.94,4634.21,10188.31,3939.45,7.39,201.30,506.22,3.41,19.00,3517.54,4738.55,5318.19,1420.33,19995.99,16937.75,6671.22,10.83,221.01,6661.62,0.34,0.34,0.15,1.10,0.52,-0.32,1.15,0.62,0.35,0.29,0.55,0.41,214.22,216.10,215.40,124.40,124.62,124.93,8.68,4.68,2.66
"2015-07-08 01:00:00",0,0,0,19525.71,24612.11,5086.39,18762.32,714.91,3539.96,11477.20,22926.85,22932.38,5.53,0.99,0.93,1.36,0.73,215.34,124.70,5.78,60.01,0.66,0.66,1.00,13.21,6.21,14.57,0,-1.93,0,16951.94,4186.21,3473.95,0.59,16.86,5068.94,4634.47,10188.40,3939.45,7.40,201.30,506.22,3.41,19.00,3517.55,4738.55,5318.24,1420.41,19996.27,16937.92,6671.31,10.83,221.01,6661.62,0.29,0.60,0.09,1.03,0.25,-0.35,1.07,0.65,0.36,0.27,0.93,0.26,214.40,215.94,215.68,124.43,124.65,125.03,8.07,6.31,2.96
"2015-07-08 01:15:00",0,0,0,19525.93,24612.32,5086.39,18762.68,714.91,3539.96,11477.32,22927.19,22932.73,5.53,0.77,0.81,1.12,0.69,215.74,124.94,5.13,60.01,0.90,0.88,1.35,13.21,6.21,14.57,0,-1.93,0,16952.03,4186.31,3473.99,0.59,16.86,5068.94,4634.74,10188.49,3939.45,7.40,201.30,506.22,3.41,19.00,3517.55,4738.55,5318.28,1420.49,19996.55,16938.09,6671.40,10.83,221.01,6661.62,0.18,0.44,0.15,0.95,0.21,-0.34,0.96,0.49,0.38,0.18,0.91,0.40,214.86,216.25,216.10,124.83,124.96,125.03,8.14,4.44,2.79
"2015-07-08 01:30:00",0,0,0,19526.12,24612.52,5086.39,18763.02,714.91,3539.96,11477.46,22927.50,22933.04,5.53,0.57,-0.12,0.58,0.98,215.35,124.72,4.94,60.01,0.85,0.91,1.33,13.21,6.21,14.57,0,-1.93,0,16952.10,4186.40,3474.02,0.59,16.86,5068.94,4634.99,10188.58,3939.45,7.40,201.30,506.22,3.41,19.00,3517.55,4738.55,5318.33,1420.58,19996.82,16938.25,6671.50,10.83,221.01,6661.62,0.03,0.28,0.34,0.92,-0.41,-0.28,0.92,0.49,0.44,1.00,0.35,0.74,214.53,216.04,215.49,124.53,124.73,124.89,7.36,3.95,3.51
"2015-07-08 01:45:00",0,0,0,19526.38,24612.77,5086.39,18763.35,714.91,3539.96,11477.66,22927.84,22933.37,5.53,0.50,0.09,0.51,0.98,215.47,124.79,5.04,60.02,0.75,0.78,1.24,13.21,6.21,14.57,0,-1.93,0,16952.15,4186.51,3474.11,0.59,16.86,5068.94,4635.24,10188.65,3939.45,7.40,201.30,506.22,3.41,19.00,3517.55,4738.56,5318.41,1420.69,19997.09,16938.45,6671.65,10.84,221.01,6661.62,0.26,0.10,0.14,1.07,-0.65,-0.32,1.10,0.66,0.35,0.23,0.16,0.39,214.56,216.26,215.60,124.42,124.73,125.22,8.73,3.40,2.98
