time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-08 03:00:00",0,0,0,19533.27,24619.66,5086.39,18767.49,714.91,3539.96,11478.16,22935.76,22941.29,5.53,11.08,5.92,12.56,0.88,213.61,123.71,33.88,59.93,10.25,5.36,11.59,13.21,6.21,14.57,0,-1.93,0,16955.38,4188.22,3476.06,0.59,16.86,5068.94,4637.46,10189.76,3940.27,7.40,201.30,506.22,3.41,19.00,3517.55,4738.58,5318.62,1420.97,20001.19,16940.68,6673.95,10.84,221.01,6661.62,5.01,2.67,3.43,2.58,1.70,1.53,5.63,3.17,3.75,0.88,0.84,0.91,212.90,214.43,213.49,122.64,124.22,124.27,45.94,25.49,30.22
"2015-07-08 03:15:00",0,0,0,19534.97,24621.37,5086.39,18768.43,714.91,3539.96,11478.28,22937.67,22943.20,5.53,2.27,0.29,2.29,0.99,215.93,125.05,8.75,59.99,6.77,3.15,7.53,13.21,6.21,14.57,0,-1.93,0,16956.28,4188.58,3476.50,0.59,16.86,5068.94,4637.98,10189.98,3940.48,7.40,201.30,506.22,3.41,19.00,3517.55,4738.58,5318.68,1421.03,20002.22,16941.16,6674.47,10.84,221.01,6661.62,1.51,0.15,0.63,1.29,-0.41,-0.56,1.99,0.44,0.85,0.76,0.35,0.75,215.07,216.62,215.89,124.25,125.34,125.44,16.05,3.82,6.89
"2015-07-08 03:30:00",0,0,0,19536.56,24622.96,5086.39,18769.43,714.91,3539.96,11478.37,22939.52,22945.05,5.53,1.76,0.21,1.79,0.99,215.64,124.88,8.08,60.01,5.58,2.47,6.20,13.21,6.21,14.57,0,-1.93,0,16957.02,4188.97,3476.97,0.59,16.86,5068.95,4638.49,10190.24,3940.70,7.40,201.30,506.22,3.41,19.00,3517.55,4738.58,5318.73,1421.06,20003.13,16941.66,6675.02,10.84,221.01,6661.63,1.47,0.17,0.12,1.25,-0.67,-0.37,1.93,0.70,0.39,0.76,0.25,0.30,214.67,216.53,215.57,124.01,125.13,125.43,15.56,3.74,2.88
"2015-07-08 03:45:00",0,0,0,19537.43,24623.82,5086.40,18770.02,714.91,3539.97,11478.49,22940.52,22946.05,5.53,9.53,6.11,11.32,0.84,214.63,124.30,30.48,60.01,6.34,3.70,7.40,13.21,6.21,14.57,0,-1.93,0,16957.50,4189.18,3477.13,0.59,16.86,5068.95,4638.87,10190.38,3940.77,7.40,201.30,506.22,3.41,19.00,3517.55,4738.58,5318.78,1421.13,20003.75,16941.95,6675.25,10.84,221.01,6661.63,3.97,2.74,2.82,2.75,1.72,1.64,4.83,3.23,3.26,0.82,0.85,0.87,213.92,215.40,214.56,123.46,124.78,124.66,38.87,26.63,25.93
"2015-07-08 04:00:00",0,0,0,19538.72,24625.12,5086.40,18770.88,714.91,3539.97,11478.57,22942.05,22947.59,5.53,2.11,1.32,2.49,0.85,215.85,125.00,8.01,60.02,4.51,2.60,5.26,13.21,6.21,14.57,0,-1.93,0,16958.15,4189.52,3477.44,0.59,16.86,5068.95,4639.34,10190.61,3940.94,7.40,201.30,506.22,3.41,19.00,3517.55,4738.58,5318.81,1421.18,20004.55,16942.39,6675.63,10.84,221.01,6661.63,1.61,0.35,0.14,1.23,0.45,-0.36,2.03,0.57,0.38,0.80,0.62,0.37,214.86,216.85,215.83,124.02,125.42,125.56,16.85,4.17,3.00
"2015-07-08 04:15:00",0,0,0,19539.27,24625.67,5086.40,18771.30,714.91,3539.97,11478.71,22942.68,22948.21,5.53,10.28,6.02,11.91,0.86,214.76,124.37,31.95,60.01,4.16,2.48,4.91,13.21,6.21,14.57,0,-1.93,0,16958.56,4189.63,3477.48,0.59,16.86,5068.95,4639.67,10190.69,3940.94,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5318.87,1421.27,20005.08,16942.57,6675.73,10.84,221.01,6661.63,4.35,3.10,2.98,2.57,1.64,1.54,5.05,3.50,3.35,0.86,0.88,0.89,213.98,215.39,214.85,123.54,124.78,124.77,41.51,28.60,27.11
"2015-07-08 04:30:00",0,0,0,19540.69,24627.09,5086.40,18772.17,714.91,3539.97,11478.82,22944.31,22949.85,5.53,1.65,1.40,2.17,0.76,215.91,125.04,6.85,60.01,3.41,1.75,3.91,13.21,6.21,14.57,0,-1.93,0,16959.22,4190.01,3477.86,0.59,16.86,5068.95,4640.15,10190.93,3941.09,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5318.93,1421.31,20005.90,16943.07,6676.17,10.84,221.01,6661.63,1.41,0.16,0.08,1.08,0.61,-0.29,1.77,0.63,0.30,0.79,0.25,0.28,215.09,216.52,216.13,124.21,125.45,125.46,14.90,3.24,2.42
"2015-07-08 04:45:00",0,0,0,19541.61,24628.00,5086.40,18772.80,714.91,3539.97,11478.97,22945.37,22950.91,5.53,9.39,5.95,11.11,0.84,214.65,124.31,29.69,59.95,4.42,2.30,5.08,13.21,6.21,14.57,0,-1.93,0,16959.74,4190.20,3478.06,0.59,16.86,5068.95,4640.56,10191.05,3941.19,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.01,1421.38,20006.57,16943.37,6676.44,10.84,221.01,6661.63,4.20,2.42,2.77,2.51,1.83,1.61,4.89,3.03,3.20,0.86,0.80,0.86,214.01,215.21,214.72,123.56,124.68,124.68,40.12,23.19,25.77
"2015-07-08 05:00:00",0,0,0,19542.46,24628.86,5086.40,18773.42,714.91,3539.97,11479.10,22946.37,22951.91,5.53,2.06,1.46,2.52,0.81,215.52,124.81,7.90,60.01,4.70,2.65,5.46,13.21,6.21,14.57,0,-1.93,0,16960.24,4190.39,3478.22,0.59,16.86,5068.95,4640.96,10191.19,3941.27,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.08,1421.44,20007.21,16943.65,6676.68,10.84,221.01,6661.63,1.38,0.56,0.13,1.21,0.63,-0.38,1.83,0.84,0.40,0.75,0.66,0.32,214.83,216.08,215.65,124.16,125.01,125.25,14.74,5.89,3.06
"2015-07-08 05:15:00",0,0,0,19543.23,24629.63,5086.40,18773.99,714.91,3539.97,11479.21,22947.29,22952.82,5.53,9.49,5.98,11.22,0.85,215.46,124.77,30.24,60.02,2.43,1.29,2.84,13.21,6.21,14.57,0,-1.93,0,16960.70,4190.58,3478.35,0.59,16.86,5068.95,4641.33,10191.33,3941.33,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.11,1421.52,20007.80,16943.92,6676.88,10.84,221.01,6661.63,4.08,2.62,2.74,2.79,1.81,1.64,4.94,3.18,3.19,0.83,0.82,0.86,214.62,215.97,215.59,124.05,124.92,125.20,39.32,25.25,25.45
