time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-08 06:15:00",0,0,0,19546.45,24632.85,5086.40,18776.27,714.91,3539.97,11479.82,22950.99,22956.52,5.53,2.03,1.66,2.63,0.77,216.04,125.10,8.30,60.02,3.30,1.66,3.77,13.21,6.21,14.57,0,-1.93,0,16962.67,4191.25,3478.93,0.59,16.86,5068.95,4642.90,10191.76,3941.62,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.44,1421.81,20010.33,16944.97,6677.74,10.84,221.01,6661.64,1.50,0.38,0.17,1.40,-0.60,-0.36,2.05,0.71,0.40,0.72,0.56,0.43,215.55,216.45,216.27,124.48,125.51,125.40,16.45,5.66,3.16
"2015-07-08 06:30:00",0,0,0,19546.96,24633.36,5086.40,18776.68,714.91,3539.97,11479.96,22951.58,22957.12,5.53,1.98,1.59,2.54,0.78,216.11,125.14,8.33,60.02,1.81,0.54,1.92,13.21,6.21,14.57,0,-1.93,0,16963.04,4191.35,3478.97,0.59,16.86,5068.95,4643.22,10191.84,3941.62,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.49,1421.90,20010.83,16945.14,6677.83,10.84,221.01,6661.64,1.48,0.37,0.13,1.45,0.46,-0.32,2.07,0.59,0.34,0.72,0.62,0.39,215.48,216.43,216.43,124.54,125.32,125.58,16.00,5.90,3.08
"2015-07-08 06:45:00",0,0,0,19547.48,24633.88,5086.40,18777.08,714.91,3539.97,11480.10,22952.18,22957.71,5.53,2.25,1.40,2.65,0.85,216.43,125.33,8.20,60.02,2.05,1.07,2.37,13.21,6.21,14.57,0,-1.93,0,16963.40,4191.46,3479.01,0.59,16.86,5068.95,4643.55,10191.92,3941.62,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.54,1421.99,20011.32,16945.31,6677.93,10.84,221.01,6661.64,1.51,0.57,0.17,1.16,0.57,-0.33,1.90,0.81,0.37,0.79,0.71,0.45,215.78,216.81,216.71,124.80,125.48,125.70,15.89,5.62,3.08
"2015-07-08 07:00:00",0,0,0,19548.14,24634.54,5086.40,18777.54,714.91,3539.97,11480.27,22952.92,22958.45,5.53,2.11,1.45,2.57,0.82,216.11,125.14,8.27,60.00,2.08,1.08,2.40,13.21,6.21,14.57,0,-1.93,0,16963.79,4191.64,3479.11,0.59,16.86,5068.95,4643.89,10192.03,3941.62,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.58,1422.11,20011.83,16945.55,6678.10,10.84,221.01,6661.64,1.57,0.39,0.15,1.37,0.43,-0.35,2.08,0.58,0.38,0.75,0.68,0.41,215.35,216.65,216.32,124.22,125.42,125.77,16.48,5.27,3.06
"2015-07-08 07:15:00",0,0,0,19548.63,24635.02,5086.40,18777.89,714.91,3539.98,11480.48,22953.43,22958.96,5.53,1.90,0.81,2.13,1.00,216.27,125.23,8.62,60.01,2.64,1.11,2.94,13.21,6.21,14.57,0,-1.93,0,16964.19,4191.69,3479.14,0.59,16.86,5068.95,4644.22,10192.05,3941.62,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.71,1422.20,20012.36,16945.70,6678.19,10.84,221.01,6661.64,1.48,0.24,0.18,1.69,-0.55,-0.33,2.25,0.60,0.38,0.66,0.39,0.47,215.43,216.62,216.43,124.45,125.51,125.54,15.47,5.07,3.58
"2015-07-08 07:30:00",0,0,0,19549.13,24635.53,5086.40,18778.23,714.91,3539.98,11480.68,22953.97,22959.51,5.53,2.26,0.45,2.28,0.98,216.98,125.64,8.87,60.02,1.90,0.54,2.02,13.21,6.21,14.57,0,-1.93,0,16964.62,4191.74,3479.17,0.59,16.86,5068.95,4644.55,10192.07,3941.62,7.40,201.30,506.22,3.41,19.00,3517.56,4738.58,5319.82,1422.28,20012.90,16945.85,6678.29,10.84,221.01,6661.64,1.95,0.17,0.14,1.36,-0.56,-0.35,2.37,0.58,0.37,0.82,0.30,0.36,216.46,217.27,217.16,124.88,125.99,126.03,18.92,4.10,3.14
"2015-07-08 07:45:00",0,0,0,19549.66,24636.05,5086.40,18778.62,714.91,3539.98,11480.83,22954.57,22960.10,5.53,1.98,1.60,2.54,0.78,217.04,125.68,8.08,60.01,2.06,0.54,2.19,13.21,6.21,14.57,0,-1.93,0,16965.02,4191.83,3479.21,0.59,16.86,5068.95,4644.88,10192.13,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5319.88,1422.37,20013.42,16946.00,6678.38,10.84,221.01,6661.64,1.32,0.49,0.17,1.60,0.30,-0.30,2.07,0.57,0.34,0.64,0.85,0.49,216.52,217.24,217.36,125.04,126.02,125.97,14.68,6.54,3.02
"2015-07-08 08:00:00",0,0,0,19550.19,24636.58,5086.40,18779.03,714.91,3539.98,11480.97,22955.18,22960.71,5.53,2.19,1.76,2.81,0.78,214.78,124.37,8.30,59.96,2.08,1.03,2.39,13.21,6.21,14.57,0,-1.93,0,16965.40,4191.93,3479.25,0.59,16.86,5068.95,4645.20,10192.21,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5319.94,1422.45,20013.93,16946.18,6678.47,10.84,221.01,6661.64,1.65,0.39,0.16,1.40,0.71,-0.35,2.16,0.81,0.39,0.76,0.48,0.41,214.18,215.12,215.05,123.66,124.68,124.78,17.39,4.50,3.02
"2015-07-08 08:15:00",0,0,0,19550.72,24637.12,5086.40,18779.45,714.91,3539.98,11481.11,22955.80,22961.33,5.53,1.98,1.74,2.63,0.75,214.93,124.45,8.58,60.02,2.12,1.08,2.46,13.21,6.21,14.57,0,-1.93,0,16965.80,4192.04,3479.29,0.59,16.86,5068.95,4645.54,10192.29,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5319.99,1422.54,20014.45,16946.35,6678.57,10.84,221.01,6661.64,1.51,0.35,0.12,1.43,0.69,-0.38,2.08,0.78,0.40,0.73,0.45,0.30,214.24,215.35,215.17,123.87,124.68,124.80,16.41,5.60,2.94
"2015-07-08 08:30:00",0,0,0,19551.23,24637.63,5086.40,18779.83,714.91,3539.98,11481.29,22956.36,22961.89,5.53,1.83,0.35,1.89,0.94,215.12,124.56,7.73,60.01,2.17,1.11,2.50,13.21,6.21,14.57,0,-1.93,0,16966.19,4192.12,3479.32,0.59,16.86,5068.95,4645.87,10192.34,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5320.08,1422.63,20014.97,16946.51,6678.67,10.84,221.01,6661.64,1.57,0.16,0.10,1.21,-0.50,-0.36,1.98,0.52,0.37,0.79,0.30,0.26,214.48,215.49,215.35,123.90,124.85,124.92,16.85,4.17,2.86
