time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-08 09:45:00",0,0,0,19553.82,24640.22,5086.40,18781.77,714.91,3539.98,11482.13,22959.27,22964.80,5.53,2.00,0.57,2.08,0.96,215.53,124.80,8.64,60.01,2.04,0.99,2.35,13.21,6.21,14.57,0,-1.93,0,16968.06,4192.60,3479.56,0.59,16.86,5068.95,4647.50,10192.66,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5320.46,1423.10,20017.46,16947.39,6679.20,10.84,221.01,6661.64,1.60,0.22,0.18,1.30,-0.37,-0.35,2.06,0.43,0.40,0.78,0.52,0.45,215.02,215.77,215.79,124.18,125.11,125.10,17.12,6.00,2.81
"2015-07-08 10:00:00",0,0,0,19554.29,24640.69,5086.40,18782.12,714.91,3539.98,11482.35,22959.76,22965.29,5.53,2.06,0.53,2.13,0.97,215.71,124.91,8.32,60.01,2.51,0.95,2.76,13.21,6.21,14.57,0,-1.93,0,16968.46,4192.64,3479.59,0.59,16.86,5068.95,4647.83,10192.67,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5320.59,1423.18,20017.98,16947.53,6679.30,10.84,221.01,6661.64,1.64,0.25,0.17,1.49,-0.62,-0.34,2.21,0.67,0.38,0.74,0.38,0.44,215.18,215.95,216.00,124.28,125.25,125.19,17.52,4.47,2.98
"2015-07-08 10:15:00",0,0,0,19554.77,24641.16,5086.40,18782.47,714.91,3539.98,11482.55,22960.27,22965.80,5.53,1.87,1.58,2.45,0.76,215.27,124.65,7.68,60.01,1.90,0.51,2.00,13.21,6.21,14.57,0,-1.93,0,16968.85,4192.69,3479.62,0.59,16.86,5068.95,4648.16,10192.69,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5320.70,1423.27,20018.49,16947.68,6679.39,10.84,221.01,6661.65,1.63,0.20,0.12,1.27,-0.40,-0.33,2.07,0.44,0.35,0.74,0.34,0.26,214.50,215.72,215.60,123.93,124.91,125.12,16.68,3.56,2.79
"2015-07-08 10:30:00",0,0,0,19555.27,24641.67,5086.40,18782.86,714.91,3539.99,11482.70,22960.85,22966.38,5.53,1.96,1.08,1.78,0.95,215.53,124.80,7.14,60.02,1.88,0.59,2.02,13.21,6.21,14.57,0,-1.93,0,16969.22,4192.79,3479.66,0.59,16.86,5068.95,4648.49,10192.76,3941.62,7.40,201.30,506.22,3.41,19.00,3517.57,4738.58,5320.77,1423.36,20018.99,16947.85,6679.49,10.84,221.01,6661.65,1.33,0.45,0.18,1.09,0.33,-0.34,1.72,0.56,0.39,0.77,0.80,0.47,214.89,215.75,215.77,124.18,124.96,125.16,15.16,5.68,3.10
"2015-07-08 10:45:00",0,0,0,19555.77,24642.17,5086.40,18783.26,714.91,3539.99,11482.84,22961.43,22966.96,5.53,1.95,1.50,2.46,0.79,215.08,124.54,8.16,60.02,2.02,1.02,2.34,13.21,6.21,14.57,0,-1.93,0,16969.58,4192.89,3479.69,0.59,16.86,5068.95,4648.81,10192.84,3941.62,7.40,201.30,506.22,3.41,19.00,3517.58,4738.58,5320.82,1423.44,20019.48,16948.02,6679.58,10.84,221.01,6661.65,1.46,0.36,0.13,1.45,0.38,-0.33,2.06,0.52,0.35,0.71,0.70,0.36,214.42,215.35,215.45,124.04,124.61,124.96,15.60,5.78,3.10
"2015-07-08 11:00:00",0,0,0,19556.28,24642.67,5086.40,18783.66,714.91,3539.99,11482.99,22962.02,22967.55,5.53,2.03,0.33,2.06,0.99,215.14,124.58,8.00,60.02,2.01,1.03,2.33,13.21,6.21,14.57,0,-1.93,0,16969.95,4193.00,3479.73,0.59,16.86,5068.95,4649.13,10192.92,3941.62,7.40,201.30,506.22,3.41,19.00,3517.58,4738.58,5320.88,1423.53,20019.97,16948.20,6679.67,10.84,221.01,6661.65,1.35,0.52,0.17,1.34,-0.66,-0.35,1.90,0.84,0.39,0.71,0.62,0.43,214.45,215.50,215.48,124.03,124.71,125.00,15.27,5.63,3.10
"2015-07-08 11:15:00",0,0,0,19557.12,24643.52,5086.40,18784.23,714.91,3539.99,11483.08,22962.99,22968.52,5.53,3.36,1.39,3.64,0.92,214.55,124.24,12.20,59.97,2.23,1.15,2.58,13.21,6.21,14.57,0,-1.93,0,16970.58,4193.07,3479.86,0.59,16.86,5068.95,4649.48,10192.94,3941.81,7.40,201.30,506.22,3.41,19.00,3517.58,4738.58,5320.98,1423.53,20020.70,16948.34,6679.91,10.84,221.01,6661.65,2.61,0.20,0.55,1.22,-0.60,0.78,2.88,0.63,0.95,0.91,0.32,0.58,214.15,214.81,214.69,123.68,124.59,124.44,23.93,5.08,7.58
"2015-07-08 11:30:00",0,0,0,19557.94,24644.34,5086.40,18784.78,714.91,3539.99,11483.21,22963.91,22969.44,5.53,3.18,1.86,3.68,0.91,214.16,124.01,11.93,60.02,3.34,1.84,3.83,13.21,6.21,14.57,0,-1.93,0,16971.22,4193.12,3479.99,0.59,16.86,5068.95,4649.83,10192.95,3942.00,7.40,201.30,506.22,3.41,19.00,3517.58,4738.58,5321.11,1423.53,20021.43,16948.48,6680.14,10.84,221.01,6661.65,2.50,0.17,0.50,1.57,-0.51,0.79,2.96,0.53,0.94,0.85,0.32,0.54,213.87,214.37,214.19,123.49,124.42,124.09,23.16,3.87,7.53
"2015-07-08 11:45:00",0,0,0,19558.80,24645.20,5086.40,18785.36,714.91,3539.99,11483.31,22964.91,22970.44,5.53,3.49,2.66,4.39,0.79,214.10,123.98,11.88,59.93,3.29,1.68,3.71,13.21,6.21,14.57,0,-1.93,0,16971.87,4193.20,3480.13,0.59,16.86,5068.95,4650.18,10192.99,3942.20,7.40,201.30,506.22,3.41,19.00,3517.58,4738.58,5321.20,1423.53,20022.16,16948.65,6680.38,10.84,221.01,6661.65,2.49,0.41,0.59,1.24,0.63,0.79,2.78,0.75,0.98,0.90,0.55,0.59,213.68,214.52,214.12,123.39,124.39,124.16,22.81,5.02,7.80
"2015-07-08 12:00:00",0,0,0,19559.63,24646.03,5086.40,18785.97,714.91,3539.99,11483.35,22965.92,22971.45,5.53,3.35,1.15,3.54,0.95,213.93,123.88,11.70,60.01,3.44,2.03,4.03,13.21,6.21,14.57,0,-1.93,0,16972.46,4193.31,3480.26,0.59,16.86,5068.95,4650.51,10193.07,3942.38,7.40,201.30,506.22,3.41,19.00,3517.58,4738.58,5321.25,1423.53,20022.85,16948.82,6680.60,10.84,221.01,6661.65,2.48,0.37,0.50,1.01,-0.60,0.73,2.68,0.70,0.89,0.93,0.53,0.56,213.57,214.30,213.91,123.31,124.35,123.99,23.21,4.71,7.19
