time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-08 16:15:00",0,0,0,19564.96,24651.35,5086.40,18791.67,714.92,3540.00,11485.63,22972.78,22978.31,5.53,0.80,0.76,1.10,0.73,211.94,122.75,4.40,60.02,0.84,0.74,1.22,13.21,6.21,14.57,0,-1.93,0,16975.53,4194.70,3481.13,0.59,16.86,5068.95,4654.51,10194.30,3942.86,7.41,201.30,506.22,3.41,19.00,3517.58,4738.60,5322.37,1424.66,20028.22,16951.65,6682.48,10.85,221.02,6661.66,0.30,0.43,0.07,0.62,0.40,-0.27,0.69,0.59,0.27,0.44,0.73,0.26,211.09,212.22,212.51,122.80,122.43,123.02,5.77,5.13,2.29
"2015-07-08 16:30:00",0,0,0,19565.13,24651.53,5086.40,18791.93,714.92,3540.00,11485.76,22973.04,22978.58,5.53,0.46,0.94,0.96,0.25,212.75,123.22,4.22,60.02,0.77,0.65,1.17,13.21,6.21,14.57,0,-1.93,0,16975.58,4194.79,3481.16,0.59,16.86,5068.95,4654.69,10194.38,3942.86,7.41,201.30,506.22,3.41,19.00,3517.58,4738.61,5322.43,1424.73,20028.41,16951.81,6682.56,10.85,221.02,6661.66,0.24,0.19,0.03,0.67,0.54,-0.27,0.72,0.57,0.27,0.34,0.34,0.09,211.90,212.95,213.11,123.08,123.01,123.41,5.32,3.40,2.26
"2015-07-08 16:45:00",0,0,0,19565.24,24651.64,5086.40,18792.14,714.92,3540.00,11485.95,22973.20,22978.73,5.53,0.22,-0.01,0.22,1.00,210.78,122.08,3.98,60.02,0.66,0.41,1.01,13.21,6.21,14.57,0,-1.93,0,16975.63,4194.82,3481.19,0.59,16.86,5068.95,4654.87,10194.40,3942.86,7.41,201.30,506.22,3.41,19.00,3517.58,4738.61,5322.54,1424.80,20028.61,16951.95,6682.64,10.85,221.02,6661.66,-0.01,0.16,0.07,0.66,-0.41,-0.26,0.66,0.44,0.27,-0.01,0.36,0.26,210.25,211.13,210.96,121.96,122.25,122.04,5.62,4.10,2.24
"2015-07-08 17:00:00",0,0,0,19565.37,24651.77,5086.40,18792.35,714.92,3540.00,11486.14,22973.36,22978.89,5.53,0.73,-0.15,0.75,0.98,210.72,122.04,4.39,60.01,0.46,0.06,0.61,13.21,6.21,14.57,0,-1.93,0,16975.70,4194.86,3481.22,0.59,16.86,5068.95,4655.06,10194.42,3942.86,7.41,201.30,506.22,3.41,19.01,3517.58,4738.61,5322.66,1424.87,20028.81,16952.10,6682.72,10.85,221.02,6661.66,0.40,0.18,0.15,0.65,-0.54,-0.26,0.76,0.57,0.30,0.52,0.32,0.50,210.00,211.15,211.01,121.91,121.99,122.23,7.23,3.22,2.73
"2015-07-08 17:15:00",0,0,0,19565.58,24651.98,5086.40,18792.64,714.92,3540.00,11486.25,22973.66,22979.19,5.53,0.85,1.06,1.35,0.62,210.65,122.01,4.59,60.01,0.54,0.13,0.68,13.21,6.21,14.57,0,-1.93,0,16975.78,4194.95,3481.25,0.59,16.86,5068.95,4655.25,10194.52,3942.87,7.41,201.30,506.22,3.41,19.01,3517.59,4738.61,5322.69,1424.94,20029.03,16952.26,6682.80,10.85,221.02,6661.66,0.34,0.36,0.14,0.82,0.51,-0.27,0.89,0.62,0.31,0.38,0.58,0.46,209.94,211.20,210.82,121.89,121.92,122.22,6.34,5.01,2.42
"2015-07-08 17:30:00",0,0,0,19565.79,24652.19,5086.40,18792.93,714.92,3540.01,11486.35,22973.96,22979.50,5.53,1.17,0.82,1.56,0.69,212.28,122.94,5.06,60.01,0.85,0.77,1.24,13.21,6.21,14.57,0,-1.93,0,16975.86,4195.04,3481.28,0.59,16.86,5068.95,4655.44,10194.62,3942.87,7.41,201.30,506.22,3.41,19.01,3517.59,4738.61,5322.73,1425.01,20029.23,16952.43,6682.88,10.85,221.02,6661.66,0.38,0.60,0.18,0.82,0.25,-0.25,0.90,0.65,0.31,0.42,0.93,0.59,211.44,212.56,212.95,123.19,122.65,123.06,7.51,7.53,2.54
"2015-07-08 17:45:00",0,0,0,19566.12,24652.52,5086.40,18793.24,714.92,3540.01,11486.49,22974.37,22979.91,5.53,0.73,1.04,1.27,0.58,210.99,122.20,4.82,60.01,0.87,0.72,1.24,13.21,6.21,14.57,0,-1.93,0,16975.92,4195.21,3481.38,0.59,16.86,5068.95,4655.63,10194.75,3942.87,7.41,201.30,506.22,3.41,19.01,3517.59,4738.62,5322.75,1425.11,20029.43,16952.66,6683.03,10.85,221.02,6661.66,0.24,0.36,0.14,0.77,0.54,-0.28,0.80,0.65,0.31,0.29,0.55,0.45,210.29,211.35,211.18,122.19,122.03,122.29,6.52,7.22,2.57
"2015-07-08 18:00:00",0,0,0,19566.24,24652.64,5086.40,18793.47,714.92,3540.02,11486.64,22974.57,22980.10,5.54,0.33,-0.03,0.33,1.00,211.59,122.55,4.00,60.02,1.25,0.75,1.62,13.21,6.21,14.57,0,-1.93,0,16975.97,4195.25,3481.41,0.59,16.86,5068.95,4655.81,10194.80,3942.87,7.41,201.30,506.22,3.41,19.01,3517.59,4738.63,5322.84,1425.18,20029.63,16952.80,6683.10,10.85,221.03,6661.66,0.14,-0.02,0.22,0.72,-0.54,-0.21,0.73,0.54,0.30,0.18,-0.04,0.72,210.89,212.05,211.84,122.57,122.40,122.67,6.35,2.98,2.68
"2015-07-08 18:15:00",0,0,0,19566.36,24652.76,5086.40,18793.68,714.92,3540.02,11486.86,22974.72,22980.26,5.54,0.41,-0.21,0.46,0.89,211.97,122.77,4.69,59.99,0.47,0.14,0.72,13.21,6.21,14.57,0,-1.93,0,16976.03,4195.29,3481.44,0.59,16.86,5068.95,4655.99,10194.81,3942.87,7.41,201.30,506.22,3.41,19.01,3517.59,4738.63,5322.96,1425.27,20029.82,16952.95,6683.20,10.85,221.03,6661.66,0.22,0.10,0.10,0.77,-0.70,-0.28,0.80,0.70,0.29,0.27,0.14,0.33,211.08,212.42,212.41,122.73,122.52,123.06,6.43,5.08,2.57
"2015-07-08 18:30:00",0,0,0,19566.55,24652.95,5086.40,18793.95,714.92,3540.02,11486.99,22974.98,22980.52,5.54,0.75,1.24,1.35,0.57,211.31,122.38,5.37,60.00,0.47,-0.03,0.59,13.21,6.21,14.57,0,-1.93,0,16976.11,4195.36,3481.48,0.59,16.86,5068.95,4656.18,10194.88,3942.89,7.41,201.30,506.22,3.41,19.01,3517.59,4738.63,5323.03,1425.33,20030.03,16953.11,6683.29,10.85,221.03,6661.66,0.32,0.32,0.10,0.78,0.76,-0.29,0.84,0.82,0.31,0.38,0.39,0.34,210.78,211.85,211.31,122.27,122.33,122.55,6.63,6.07,2.66
