time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-08 19:45:00",0,0,0,19567.74,24654.14,5086.40,18795.58,714.93,3540.02,11487.72,22976.66,22982.19,5.54,0.92,1.16,1.48,0.62,211.59,122.54,6.22,60.01,0.68,0.17,0.89,13.21,6.21,14.57,0,-1.93,0,16976.58,4195.75,3481.81,0.59,16.86,5068.95,4657.34,10195.25,3942.99,7.42,201.30,506.22,3.41,19.01,3517.59,4738.64,5323.34,1425.73,20031.33,16953.91,6683.91,10.86,221.03,6661.67,0.19,0.34,0.40,1.00,0.55,-0.39,1.02,0.65,0.56,0.18,0.52,0.71,211.29,211.88,211.59,122.53,122.61,122.48,7.76,6.04,4.86
"2015-07-08 20:00:00",0,0,0,19567.96,24654.36,5086.40,18795.88,714.93,3540.02,11487.85,22976.97,22982.51,5.54,0.71,0.00,0.71,1.00,211.52,122.50,4.43,60.02,1.07,0.37,1.30,13.21,6.21,14.57,0,-1.93,0,16976.64,4195.85,3481.87,0.59,16.86,5068.95,4657.53,10195.35,3942.99,7.42,201.30,506.22,3.41,19.01,3517.59,4738.64,5323.38,1425.82,20031.55,16954.08,6684.02,10.86,221.03,6661.67,0.29,0.29,0.14,0.65,-0.36,-0.30,0.71,0.46,0.33,0.40,0.63,0.41,211.02,211.80,211.76,122.53,122.51,122.47,6.82,3.79,2.68
"2015-07-08 20:15:00",0,0,0,19568.17,24654.57,5086.40,18796.16,714.93,3540.02,11487.96,22977.27,22982.80,5.54,0.93,-0.21,0.96,0.98,212.06,122.81,5.53,60.01,0.85,0.66,1.22,13.21,6.21,14.57,0,-1.93,0,16976.73,4195.94,3481.91,0.59,16.86,5068.95,4657.72,10195.45,3942.99,7.42,201.30,506.22,3.41,19.01,3517.59,4738.64,5323.42,1425.89,20031.75,16954.25,6684.10,10.86,221.03,6661.67,0.35,0.46,0.12,0.79,-0.65,-0.35,0.87,0.80,0.37,0.41,0.57,0.33,211.04,212.64,212.51,122.70,122.46,123.28,7.08,6.52,2.98
"2015-07-08 20:30:00",0,0,0,19568.50,24654.90,5086.40,18796.47,714.93,3540.02,11488.08,22977.68,22983.21,5.54,0.98,-0.08,0.98,1.00,210.85,122.11,5.37,60.01,0.89,0.69,1.22,13.21,6.21,14.57,0,-1.93,0,16976.81,4196.10,3482.00,0.59,16.86,5068.95,4657.91,10195.57,3942.99,7.42,201.30,506.22,3.41,19.01,3517.59,4738.64,5323.45,1425.99,20031.96,16954.47,6684.24,10.86,221.03,6661.67,0.38,0.54,0.16,0.79,0.52,-0.30,0.88,0.75,0.34,0.43,0.72,0.47,210.17,211.65,210.74,121.64,122.14,122.56,7.20,6.15,2.77
"2015-07-08 20:45:00",0,0,0,19568.65,24655.05,5086.40,18796.70,714.93,3540.03,11488.24,22977.89,22983.43,5.54,0.44,-0.02,0.44,1.00,209.86,121.54,4.68,60.01,1.30,0.77,1.63,13.21,6.21,14.57,0,-1.93,0,16976.88,4196.15,3482.03,0.59,16.86,5068.95,4658.08,10195.63,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.65,5323.53,1426.06,20032.15,16954.62,6684.32,10.86,221.03,6661.67,0.21,0.14,0.09,0.72,-0.45,-0.30,0.75,0.47,0.31,0.28,0.30,0.28,209.11,210.75,209.72,121.20,121.49,121.93,5.96,5.62,2.47
"2015-07-08 21:00:00",0,0,0,19568.77,24655.17,5086.40,18796.91,714.93,3540.03,11488.43,22978.05,22983.59,5.54,0.60,0.09,0.61,0.99,211.71,122.61,4.12,60.02,0.54,0.16,0.78,13.21,6.21,14.57,0,-1.93,0,16976.94,4196.18,3482.06,0.59,16.86,5068.95,4658.26,10195.65,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5323.64,1426.13,20032.35,16954.76,6684.39,10.86,221.03,6661.67,0.28,0.18,0.14,0.85,-0.52,-0.24,0.90,0.55,0.28,0.31,0.33,0.50,210.95,212.55,211.62,122.18,122.70,122.94,7.44,2.70,2.21
"2015-07-08 21:15:00",0,0,0,19568.93,24655.33,5086.40,18797.16,714.93,3540.03,11488.57,22978.28,22983.81,5.54,0.68,0.81,1.06,0.64,211.61,122.54,4.60,60.01,0.47,0.11,0.66,13.21,6.21,14.57,0,-1.93,0,16976.99,4196.25,3482.09,0.59,16.86,5068.95,4658.44,10195.72,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5323.71,1426.20,20032.54,16954.91,6684.47,10.86,221.03,6661.67,0.20,0.33,0.14,0.74,0.36,-0.30,0.77,0.49,0.33,0.26,0.68,0.43,210.91,212.17,211.74,122.42,122.19,123.01,6.02,5.05,2.75
"2015-07-08 21:30:00",0,0,0,19569.11,24655.52,5086.40,18797.46,714.93,3540.03,11488.66,22978.57,22984.11,5.54,1.15,0.98,1.51,0.76,211.81,122.66,5.35,59.94,0.65,0.54,0.96,13.21,6.21,14.57,0,-1.93,0,16977.05,4196.35,3482.12,0.59,16.86,5068.95,4658.63,10195.84,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5323.73,1426.27,20032.73,16955.08,6684.56,10.86,221.03,6661.67,0.32,0.34,0.40,0.78,0.48,-0.35,0.84,0.59,0.53,0.43,0.56,0.80,211.00,212.42,212.02,122.54,122.37,123.06,6.88,4.82,4.33
"2015-07-08 21:45:00",0,0,0,19569.47,24655.87,5086.40,18797.68,714.93,3540.03,11488.85,22978.95,22984.48,5.54,0.63,-0.17,1.27,0.62,211.38,122.41,5.22,59.97,0.84,0.78,1.24,13.21,6.21,14.57,0,-1.93,0,16977.13,4196.51,3482.22,0.59,16.86,5068.95,4658.81,10195.87,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5323.84,1426.35,20032.94,16955.32,6684.68,10.86,221.03,6661.67,0.30,0.13,0.20,0.81,-0.66,-0.32,0.86,0.67,0.38,0.34,0.19,0.54,210.64,212.00,211.49,122.28,122.19,122.74,6.48,3.90,3.08
"2015-07-08 22:00:00",0,0,0,19569.66,24656.07,5086.40,18797.88,714.93,3540.03,11489.06,22979.16,22984.70,5.54,0.56,-0.11,0.57,0.98,209.29,121.20,4.61,60.01,1.33,0.06,1.41,13.21,6.21,14.57,0,-1.93,0,16977.22,4196.55,3482.30,0.59,16.86,5068.95,4659.00,10195.88,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5323.97,1426.43,20033.15,16955.47,6684.79,10.86,221.03,6661.67,0.30,0.13,0.12,0.75,-0.56,-0.29,0.81,0.58,0.31,0.38,0.23,0.40,208.69,210.29,208.89,121.05,121.06,121.51,6.70,4.63,2.49
