time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-08 23:00:00",0,0,0,19570.38,24656.79,5086.40,18799.10,714.93,3540.03,11489.48,22980.32,22985.86,5.54,0.69,0.13,0.70,0.98,211.22,122.33,4.41,60.01,0.72,0.86,1.19,13.21,6.21,14.57,0,-1.93,0,16977.46,4196.90,3482.43,0.59,16.86,5068.95,4659.74,10196.36,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.09,1426.73,20033.93,16956.17,6685.12,10.86,221.03,6661.67,0.29,0.34,0.06,0.93,-0.49,-0.31,0.98,0.59,0.32,0.30,0.57,0.19,210.68,211.90,211.07,121.98,122.39,122.61,6.01,4.51,2.73
"2015-07-08 23:15:00",0,0,0,19570.71,24657.12,5086.40,18799.42,714.93,3540.03,11489.60,22980.73,22986.27,5.54,0.84,0.82,1.18,0.72,211.68,122.60,4.43,59.97,0.74,0.77,1.15,13.21,6.21,14.57,0,-1.93,0,16977.54,4197.05,3482.53,0.59,16.86,5068.95,4659.93,10196.50,3943.00,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.11,1426.83,20034.13,16956.39,6685.27,10.86,221.03,6661.67,0.36,0.35,0.14,0.74,0.38,-0.30,0.82,0.52,0.33,0.44,0.68,0.42,211.14,212.56,211.35,122.13,122.87,122.79,6.59,4.04,2.66
"2015-07-08 23:30:00",0,0,0,19571.43,24657.83,5086.40,18799.98,714.93,3540.03,11489.67,22981.62,22987.16,5.54,1.00,-0.37,1.06,0.94,211.45,122.46,5.05,60.01,1.32,0.81,1.66,13.21,6.21,14.57,0,-1.93,0,16977.80,4197.30,3482.73,0.59,16.86,5068.95,4660.19,10196.70,3943.10,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.13,1426.89,20034.52,16956.73,6685.54,10.86,221.03,6661.67,0.34,0.52,0.17,0.73,0.46,-0.32,0.80,0.69,0.36,0.43,0.55,0.44,211.02,211.99,211.34,122.08,122.47,122.81,6.57,5.67,2.92
"2015-07-08 23:45:00",0,0,0,19571.65,24658.05,5086.40,18800.29,714.93,3540.03,11489.77,22981.94,22987.47,5.54,0.84,1.14,0.85,1.00,212.56,123.10,5.38,59.99,2.90,1.95,3.57,13.21,6.21,14.57,0,-1.93,0,16977.88,4197.40,3482.77,0.59,16.86,5068.95,4660.38,10196.81,3943.10,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.14,1426.96,20034.72,16956.90,6685.63,10.86,221.03,6661.67,0.23,0.49,0.12,0.77,0.69,-0.32,0.80,0.84,0.34,0.29,0.58,0.34,212.12,213.13,212.57,122.94,123.06,123.39,6.61,5.95,2.64
"2015-07-09 00:00:00",0,0,0,19571.83,24658.23,5086.40,18800.60,714.93,3540.03,11489.86,22982.23,22987.77,5.54,0.70,1.22,1.41,0.50,214.66,124.32,4.82,60.01,0.83,0.86,1.24,13.21,6.21,14.57,0,-1.93,0,16977.94,4197.50,3482.80,0.59,16.86,5068.95,4660.57,10196.93,3943.10,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.16,1427.04,20034.92,16957.07,6685.71,10.86,221.03,6661.67,0.25,0.31,0.14,0.75,0.75,-0.29,0.80,0.81,0.32,0.32,0.38,0.45,214.15,215.25,214.60,124.03,124.29,124.65,6.81,5.11,2.54
"2015-07-09 00:15:00",0,0,0,19572.11,24658.51,5086.40,18800.84,714.93,3540.03,11490.05,22982.54,22988.07,5.54,1.54,-0.10,1.54,1.00,214.80,124.41,6.30,59.97,0.73,0.82,1.17,13.21,6.21,14.57,0,-1.93,0,16978.13,4197.54,3482.83,0.59,16.86,5068.95,4660.79,10196.95,3943.10,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.28,1427.11,20035.23,16957.21,6685.79,10.86,221.03,6661.67,1.29,0.15,0.10,0.93,-0.41,-0.30,1.59,0.44,0.32,0.81,0.20,0.31,214.38,215.47,214.54,123.48,124.84,124.90,12.87,3.49,2.54
"2015-07-09 00:30:00",0,0,0,19572.53,24658.93,5086.40,18801.10,714.93,3540.03,11490.28,22982.96,22988.50,5.54,1.61,0.49,1.63,1.00,213.71,123.79,7.01,59.99,1.22,0.12,1.29,13.21,6.21,14.57,0,-1.93,0,16978.47,4197.59,3482.87,0.59,16.86,5068.95,4661.05,10196.95,3943.10,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.41,1427.20,20035.66,16957.36,6685.88,10.86,221.03,6661.67,1.36,0.14,0.10,1.22,-0.38,-0.35,1.83,0.40,0.36,0.75,0.35,0.29,213.42,214.77,213.21,122.86,124.43,124.23,14.35,4.66,2.88
"2015-07-09 00:45:00",0,0,0,19573.49,24659.90,5086.40,18801.75,714.93,3540.03,11490.38,22984.09,22989.63,5.54,2.22,1.26,2.56,0.87,215.32,124.72,8.37,59.98,2.28,0.60,2.42,13.21,6.21,14.57,0,-1.93,0,16979.00,4197.83,3483.06,0.59,16.86,5068.95,4661.44,10197.12,3943.19,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.45,1427.26,20036.32,16957.69,6686.15,10.86,221.03,6661.67,1.53,0.56,0.13,1.19,0.43,-0.36,1.94,0.70,0.38,0.79,0.79,0.35,214.56,216.12,215.28,123.90,125.09,125.16,16.18,5.79,3.14
"2015-07-09 01:00:00",0,0,0,19574.03,24660.44,5086.40,18802.17,714.93,3540.03,11490.51,22984.71,22990.25,5.54,1.88,0.59,1.90,0.97,215.66,124.93,7.43,60.01,3.35,1.92,3.91,13.21,6.21,14.57,0,-1.93,0,16979.39,4197.94,3483.10,0.59,16.86,5068.95,4661.76,10197.22,3943.19,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.49,1427.35,20036.83,16957.86,6686.25,10.86,221.03,6661.67,1.40,0.35,0.13,1.30,-0.42,-0.29,1.91,0.54,0.32,0.73,0.65,0.42,215.00,216.56,215.47,123.89,125.37,125.54,15.39,5.09,2.90
"2015-07-09 01:15:00",0,0,0,19574.57,24660.97,5086.40,18802.59,714.93,3540.03,11490.64,22985.33,22990.87,5.54,1.91,1.33,2.32,0.82,215.94,125.09,8.01,60.01,2.16,1.13,2.49,13.21,6.21,14.57,0,-1.93,0,16979.79,4198.05,3483.14,0.59,16.86,5068.95,4662.08,10197.31,3943.19,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5324.54,1427.44,20037.34,16958.04,6686.34,10.86,221.03,6661.67,1.43,0.37,0.12,1.32,0.38,-0.37,1.94,0.53,0.38,0.74,0.70,0.30,215.38,216.81,215.65,124.18,125.44,125.66,15.44,5.62,2.98
