time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-09 05:45:00",0,0,0,19586.14,24672.55,5086.40,18810.39,714.93,3540.03,11493.42,22998.24,23003.78,5.54,2.18,0.11,2.18,1.00,214.59,124.27,7.98,60.01,2.20,1.06,2.51,13.21,6.21,14.57,0,-1.93,0,16987.54,4200.24,3484.77,0.59,16.86,5068.95,4668.04,10198.82,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5325.72,1429.03,20047.16,16961.62,6689.04,10.86,221.03,6661.68,1.65,0.41,0.12,1.05,-0.57,-0.37,1.95,0.70,0.39,0.84,0.58,0.32,213.86,214.51,215.39,123.98,124.17,124.65,16.90,4.12,2.92
"2015-07-09 06:00:00",0,0,0,19586.60,24673.00,5086.40,18810.72,714.93,3540.03,11493.63,22998.72,23004.25,5.54,1.74,0.31,1.77,0.98,215.38,124.72,8.07,60.01,2.07,0.95,2.35,13.21,6.21,14.57,0,-1.93,0,16987.91,4200.29,3484.80,0.59,16.86,5068.95,4668.35,10198.84,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5325.84,1429.12,20047.64,16961.77,6689.13,10.86,221.03,6661.68,1.47,0.15,0.12,1.29,-0.62,-0.37,1.96,0.64,0.39,0.75,0.23,0.31,214.81,215.61,215.71,124.11,125.13,124.93,15.68,5.35,3.18
"2015-07-09 06:15:00",0,0,0,19587.04,24673.45,5086.40,18811.05,714.93,3540.03,11493.83,22999.19,23004.73,5.54,2.01,0.26,2.03,0.99,215.85,125.00,7.81,60.02,1.78,0.46,1.88,13.21,6.21,14.57,0,-1.93,0,16988.28,4200.33,3484.84,0.59,16.86,5068.95,4668.67,10198.86,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5325.96,1429.20,20048.13,16961.91,6689.23,10.86,221.03,6661.68,1.61,0.19,0.17,1.32,-0.42,-0.34,2.08,0.46,0.38,0.77,0.41,0.46,215.29,216.03,216.14,124.38,125.26,125.30,16.30,4.48,2.96
"2015-07-09 06:30:00",0,0,0,19587.56,24673.96,5086.40,18811.44,714.93,3540.03,11493.99,22999.77,23005.31,5.54,2.00,1.80,2.69,0.74,215.83,124.98,8.28,60.01,1.79,0.51,1.91,13.21,6.21,14.57,0,-1.93,0,16988.66,4200.42,3484.87,0.59,16.86,5068.95,4668.99,10198.92,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5326.03,1429.29,20048.63,16962.08,6689.32,10.86,221.03,6661.68,1.52,0.35,0.13,1.67,0.52,-0.39,2.26,0.63,0.41,0.67,0.56,0.32,215.39,215.98,216.14,124.46,125.24,125.25,15.44,5.91,3.49
"2015-07-09 06:45:00",0,0,0,19588.10,24674.50,5086.40,18811.85,714.93,3540.03,11494.13,23000.39,23005.93,5.54,2.26,0.97,2.46,0.92,216.00,125.08,8.34,60.02,2.10,0.98,2.38,13.21,6.21,14.57,0,-1.93,0,16989.07,4200.53,3484.91,0.59,16.86,5068.95,4669.32,10199.00,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5326.08,1429.38,20049.15,16962.25,6689.42,10.86,221.03,6661.68,1.70,0.38,0.18,0.81,0.53,-0.38,1.89,0.65,0.42,0.90,0.59,0.43,215.44,216.26,216.31,124.52,125.31,125.41,17.20,4.74,3.10
"2015-07-09 07:00:00",0,0,0,19588.67,24675.07,5086.40,18812.27,714.93,3540.03,11494.27,23001.05,23006.58,5.54,5.57,1.31,5.72,0.97,215.58,124.83,17.92,59.98,2.17,1.06,2.48,13.21,6.21,14.57,0,-1.93,0,16989.47,4200.65,3484.96,0.59,16.86,5068.95,4669.65,10199.10,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5326.13,1429.48,20049.68,16962.44,6689.53,10.86,221.03,6661.68,1.63,2.03,1.91,1.35,1.15,-1.19,2.12,2.33,2.25,0.77,0.87,0.85,214.90,215.57,216.26,124.45,124.82,125.22,16.97,18.73,18.06
"2015-07-09 07:15:00",0,0,0,19589.27,24675.67,5086.40,18812.67,714.93,3540.03,11494.47,23001.69,23007.22,5.54,1.79,0.20,1.80,0.99,215.89,125.02,8.12,60.01,2.70,1.18,3.01,13.21,6.21,14.57,0,-1.93,0,16989.85,4200.78,3485.05,0.59,16.86,5068.95,4669.98,10199.17,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5326.21,1429.59,20050.18,16962.65,6689.68,10.86,221.03,6661.68,1.50,0.18,0.13,1.28,-0.67,-0.35,1.97,0.69,0.37,0.76,0.26,0.36,215.41,216.22,216.10,124.37,125.38,125.32,15.92,5.43,2.96
"2015-07-09 07:30:00",0,0,0,19589.72,24676.13,5086.40,18813.00,714.93,3540.03,11494.68,23002.17,23007.71,5.54,1.76,0.61,1.86,0.94,216.01,125.08,6.87,60.01,1.92,0.71,2.10,13.21,6.21,14.57,0,-1.93,0,16990.22,4200.83,3485.08,0.59,16.86,5068.95,4670.30,10199.18,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5326.33,1429.68,20050.67,16962.79,6689.78,10.86,221.03,6661.68,1.40,0.22,0.14,1.35,-0.40,-0.34,1.95,0.46,0.37,0.72,0.48,0.37,215.55,216.34,216.13,124.38,125.37,125.48,14.64,2.81,3.16
"2015-07-09 07:45:00",0,0,0,19590.19,24676.59,5086.40,18813.35,714.93,3540.04,11494.87,23002.67,23008.21,5.54,2.07,0.37,2.10,0.98,216.07,125.11,8.05,60.02,1.84,0.49,1.93,13.21,6.21,14.57,0,-1.93,0,16990.59,4200.89,3485.11,0.59,16.86,5068.95,4670.61,10199.21,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5326.44,1429.77,20051.16,16962.94,6689.87,10.86,221.03,6661.68,1.49,0.37,0.20,1.13,-0.44,-0.32,1.87,0.57,0.38,0.80,0.65,0.53,215.56,216.33,216.31,124.56,125.36,125.41,15.97,4.87,3.29
"2015-07-09 08:00:00",0,0,0,19590.73,24677.13,5086.40,18813.77,714.93,3540.04,11495.01,23003.30,23008.83,5.54,2.17,1.67,2.73,0.79,216.25,125.22,8.10,60.01,1.89,0.69,2.07,13.21,6.21,14.57,0,-1.93,0,16990.99,4200.99,3485.15,0.59,16.86,5068.95,4670.95,10199.30,3943.53,7.42,201.30,506.22,3.41,19.02,3517.60,4738.66,5326.48,1429.86,20051.68,16963.12,6689.97,10.86,221.03,6661.68,1.62,0.39,0.16,1.36,0.66,-0.36,2.12,0.77,0.39,0.77,0.50,0.40,215.67,216.66,216.42,124.42,125.55,125.68,16.72,4.51,3.06
