time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-09 09:15:00",0,0,0,19593.22,24679.63,5086.40,18815.66,714.93,3540.04,11495.87,23006.06,23011.60,5.54,2.01,1.35,2.42,0.83,216.41,125.31,8.08,60.01,1.79,0.41,1.85,13.21,6.21,14.57,0,-1.93,0,16992.90,4201.40,3485.33,0.59,16.86,5068.95,4672.57,10199.56,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5326.90,1430.30,20054.20,16963.93,6690.45,10.86,221.03,6661.68,1.48,0.36,0.13,1.31,0.60,-0.34,1.97,0.70,0.36,0.75,0.52,0.36,215.92,216.77,216.64,124.70,125.58,125.71,15.89,4.64,2.92
"2015-07-09 09:30:00",0,0,0,19593.77,24680.17,5086.40,18816.09,714.93,3540.04,11496.01,23006.69,23012.23,5.54,2.16,0.37,2.19,0.99,216.44,125.32,8.34,60.01,2.05,1.09,2.38,13.21,6.21,14.57,0,-1.93,0,16993.30,4201.50,3485.36,0.59,16.86,5068.95,4672.91,10199.65,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5326.95,1430.39,20054.72,16964.11,6690.55,10.86,221.03,6661.68,1.66,0.35,0.15,1.10,-0.37,-0.37,1.99,0.51,0.40,0.83,0.69,0.37,215.89,216.73,216.69,124.69,125.56,125.72,17.31,4.54,3.18
"2015-07-09 09:45:00",0,0,0,19594.31,24680.71,5086.40,18816.51,714.93,3540.04,11496.15,23007.32,23012.86,5.54,2.08,1.34,2.47,0.84,215.91,125.02,8.26,60.01,2.18,1.18,2.53,13.21,6.21,14.57,0,-1.93,0,16993.71,4201.61,3485.40,0.59,16.86,5068.95,4673.24,10199.74,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.00,1430.48,20055.25,16964.28,6690.65,10.86,221.03,6661.68,1.60,0.36,0.11,1.35,0.35,-0.36,2.09,0.50,0.37,0.77,0.72,0.30,215.46,216.05,216.22,124.49,125.21,125.36,17.10,4.68,2.98
"2015-07-09 10:00:00",0,0,0,19594.82,24681.22,5086.40,18816.89,714.93,3540.04,11496.32,23007.88,23013.42,5.54,1.66,0.37,1.70,0.98,216.30,125.25,7.96,60.02,2.20,1.09,2.52,13.21,6.21,14.57,0,-1.93,0,16994.10,4201.69,3485.44,0.59,16.86,5068.95,4673.58,10199.78,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.09,1430.57,20055.76,16964.44,6690.74,10.86,221.03,6661.68,1.41,0.17,0.09,1.59,-0.83,-0.39,2.12,0.85,0.40,0.66,0.19,0.23,215.92,216.46,216.52,124.64,125.58,125.51,15.51,5.67,2.70
"2015-07-09 10:15:00",0,0,0,19595.38,24681.78,5086.40,18817.26,714.93,3540.04,11496.55,23008.46,23014.00,5.54,1.74,1.47,2.28,0.76,216.32,125.26,7.32,60.02,2.11,0.75,2.30,13.21,6.21,14.57,0,-1.93,0,16994.47,4201.78,3485.53,0.59,16.86,5068.95,4673.90,10199.83,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.20,1430.69,20056.26,16964.63,6690.89,10.86,221.03,6661.68,1.53,0.16,0.13,1.25,-0.38,-0.34,1.97,0.41,0.36,0.76,0.27,0.30,215.90,216.50,216.58,124.61,125.60,125.57,15.80,3.29,2.86
"2015-07-09 10:30:00",0,0,0,19595.86,24682.26,5086.40,18817.62,714.93,3540.04,11496.74,23008.99,23014.52,5.54,2.31,1.15,2.58,0.90,216.44,125.33,8.61,60.02,2.08,0.56,2.19,13.21,6.21,14.57,0,-1.93,0,16994.85,4201.85,3485.56,0.59,16.86,5068.95,4674.22,10199.87,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.30,1430.77,20056.76,16964.79,6690.99,10.86,221.03,6661.68,1.56,0.59,0.16,1.13,0.37,-0.35,1.92,0.70,0.39,0.81,0.85,0.42,215.90,216.62,216.80,124.75,125.54,125.69,16.22,6.14,3.47
"2015-07-09 10:45:00",0,0,0,19596.37,24682.78,5086.40,18818.03,714.93,3540.04,11496.88,23009.59,23015.13,5.54,1.98,0.16,1.99,1.00,216.20,125.19,8.19,59.96,1.96,0.74,2.16,13.21,6.21,14.57,0,-1.93,0,16995.22,4201.96,3485.60,0.59,16.86,5068.95,4674.55,10199.96,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.35,1430.86,20057.25,16964.97,6691.09,10.86,221.03,6661.68,1.48,0.37,0.13,1.31,-0.76,-0.39,1.98,0.85,0.41,0.75,0.44,0.31,215.72,216.42,216.47,124.59,125.39,125.59,15.96,5.57,3.02
"2015-07-09 11:00:00",0,0,0,19596.91,24683.32,5086.40,18818.46,714.93,3540.04,11497.01,23010.22,23015.76,5.54,2.11,1.39,2.52,0.83,216.18,125.18,8.33,60.02,2.07,1.13,2.41,13.21,6.21,14.57,0,-1.93,0,16995.62,4202.06,3485.63,0.59,16.86,5068.95,4674.88,10200.05,3943.53,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.39,1430.95,20057.77,16965.14,6691.18,10.86,221.03,6661.68,1.60,0.37,0.13,1.31,0.42,-0.34,2.07,0.56,0.36,0.78,0.66,0.35,215.65,216.45,216.44,124.46,125.42,125.65,16.82,4.92,3.26
"2015-07-09 11:15:00",0,0,0,19597.78,24684.18,5086.40,18819.05,714.93,3540.04,11497.07,23011.25,23016.79,5.54,3.08,1.69,3.51,0.88,215.59,124.84,11.86,60.02,2.34,1.28,2.72,13.21,6.21,14.57,0,-1.93,0,16996.27,4202.16,3485.76,0.59,16.86,5068.95,4675.23,10200.11,3943.71,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.45,1430.95,20058.51,16965.30,6691.41,10.86,221.03,6661.68,2.50,0.24,0.41,1.45,-0.65,0.74,2.89,0.69,0.85,0.86,0.39,0.50,215.19,215.98,215.61,124.18,125.22,125.11,23.28,5.54,6.77
"2015-07-09 11:30:00",0,0,0,19598.55,24684.95,5086.40,18819.61,714.93,3540.04,11497.18,23012.14,23017.68,5.54,2.79,1.82,3.33,0.84,215.74,124.93,11.72,60.02,3.42,2.09,4.06,13.21,6.21,14.57,0,-1.93,0,16996.88,4202.21,3485.86,0.59,16.86,5068.95,4675.58,10200.14,3943.89,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.57,1430.95,20059.22,16965.46,6691.61,10.86,221.03,6661.68,2.50,0.01,0.28,1.55,-0.42,0.69,2.94,0.42,0.75,0.85,0.02,0.38,215.37,216.06,215.79,124.34,125.29,125.14,23.64,5.51,6.01
