time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-09 12:30:00",0,0,0,19601.19,24687.60,5086.40,18821.86,714.93,3540.04,11497.42,23015.53,23021.07,5.54,1.68,2.45,3.01,0.57,215.86,125.01,8.09,60.01,2.84,2.08,3.57,13.21,6.21,14.57,0,-1.93,0,16998.82,4202.58,3486.19,0.59,16.86,5068.95,4676.88,10200.45,3944.54,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.80,1430.95,20061.57,16966.13,6692.34,10.86,221.03,6661.68,1.07,0.30,0.31,1.04,0.72,0.70,1.49,0.77,0.76,0.72,0.38,0.41,215.46,216.08,216.06,124.93,125.21,124.89,12.25,4.60,6.04
"2015-07-09 12:45:00",0,0,0,19601.71,24688.12,5086.40,18822.35,714.93,3540.04,11497.54,23016.18,23021.72,5.54,1.50,1.17,1.90,0.79,215.43,124.76,8.31,60.01,2.11,2.17,3.10,13.21,6.21,14.57,0,-1.93,0,16999.10,4202.68,3486.34,0.59,16.86,5068.95,4677.15,10200.50,3944.70,7.42,201.30,506.22,3.41,19.02,3517.61,4738.66,5327.90,1430.97,20061.96,16966.32,6692.59,10.86,221.03,6661.68,1.09,0.12,0.29,1.07,-0.59,0.69,1.53,0.60,0.75,0.71,0.19,0.39,215.17,215.66,215.48,124.57,124.97,124.75,12.60,6.04,6.29
"2015-07-09 13:00:00",0,0,0,19601.86,24688.26,5086.40,18822.62,714.93,3540.04,11497.74,23016.37,23021.91,5.54,0.55,-2.14,2.21,0.25,215.34,124.71,5.96,60.01,1.63,1.25,2.09,13.21,6.21,14.57,0,-1.93,0,16999.18,4202.71,3486.37,0.59,16.86,5068.95,4677.40,10200.52,3944.70,7.42,201.30,506.22,3.41,19.02,3517.61,4738.67,5328.02,1431.05,20062.23,16966.46,6692.68,10.86,221.03,6661.68,0.46,0.11,-0.01,-1.19,-0.63,-0.32,1.28,0.64,0.32,0.36,0.17,-0.05,214.90,215.37,215.76,124.56,124.82,124.75,10.24,5.11,2.54
"2015-07-09 13:15:00",0,0,0,19602.02,24688.42,5086.40,18822.95,714.94,3540.04,11497.88,23016.65,23022.19,5.54,0.65,1.22,1.39,0.47,214.79,124.39,4.86,60.02,0.55,0.29,0.77,13.21,6.21,14.57,0,-1.93,0,16999.23,4202.79,3486.40,0.59,16.86,5068.95,4677.65,10200.60,3944.70,7.42,201.30,506.22,3.41,19.02,3517.61,4738.67,5328.07,1431.14,20062.49,16966.62,6692.77,10.86,221.03,6661.69,0.11,0.29,0.24,0.89,-0.49,-0.24,0.90,0.57,0.34,0.12,0.51,0.71,214.29,215.01,214.99,124.13,124.48,124.53,7.60,5.09,3.31
"2015-07-09 13:30:00",0,0,0,19602.21,24688.61,5086.40,18823.27,714.94,3540.04,11498.02,23016.96,23022.50,5.54,0.64,1.33,0.78,1.00,214.03,123.96,5.62,60.01,0.69,0.76,1.16,13.21,6.21,14.57,0,-1.93,0,16999.29,4202.88,3486.43,0.59,16.86,5068.95,4677.88,10200.69,3944.70,7.43,201.30,506.22,3.41,19.02,3517.61,4738.68,5328.12,1431.22,20062.74,16966.79,6692.86,10.87,221.03,6661.69,0.16,0.32,0.16,1.06,0.58,-0.31,1.07,0.67,0.35,0.15,0.48,0.45,213.79,214.17,214.16,123.69,124.29,123.92,7.47,4.20,2.79
"2015-07-09 13:45:00",0,0,0,19602.39,24688.79,5086.40,18823.62,714.94,3540.04,11498.12,23017.28,23022.82,5.54,0.85,0.05,0.85,1.00,213.93,123.90,5.37,59.94,0.73,0.80,1.26,13.21,6.21,14.57,0,-1.93,0,16999.35,4202.98,3486.47,0.59,16.86,5068.95,4678.11,10200.81,3944.70,7.43,201.30,506.22,3.41,19.02,3517.61,4738.68,5328.14,1431.30,20062.97,16966.96,6692.95,10.87,221.03,6661.69,0.22,0.52,0.11,0.84,-0.50,-0.29,0.87,0.72,0.32,0.25,0.72,0.36,213.46,214.18,214.13,123.66,123.95,124.10,6.79,6.58,2.75
"2015-07-09 14:00:00",0,0,0,19602.57,24688.97,5086.40,18823.88,714.94,3540.04,11498.27,23017.52,23023.06,5.54,0.66,0.04,0.66,1.00,214.27,124.10,4.47,60.01,0.76,0.98,1.28,13.21,6.21,14.57,0,-1.93,0,16999.43,4203.04,3486.50,0.59,16.86,5068.95,4678.31,10200.87,3944.70,7.43,201.30,506.22,3.41,19.02,3517.61,4738.68,5328.22,1431.37,20063.19,16967.12,6693.03,10.87,221.03,6661.69,0.35,0.17,0.14,0.76,-0.44,-0.28,0.84,0.47,0.31,0.42,0.37,0.43,213.91,214.39,214.51,123.78,124.24,124.28,7.10,3.87,2.44
"2015-07-09 14:15:00",0,0,0,19602.72,24689.13,5086.40,18824.09,714.94,3540.04,11498.48,23017.70,23023.23,5.54,0.93,0.04,0.93,1.00,213.00,123.37,5.07,59.93,0.68,0.33,0.88,13.21,6.21,14.57,0,-1.93,0,16999.51,4203.08,3486.53,0.59,16.86,5068.95,4678.50,10200.88,3944.70,7.43,201.30,506.22,3.41,19.02,3517.61,4738.68,5328.35,1431.44,20063.40,16967.27,6693.11,10.87,221.03,6661.69,0.33,0.35,0.14,0.80,-0.58,-0.31,0.86,0.67,0.34,0.46,0.66,0.48,212.67,213.18,213.16,123.19,123.46,123.46,7.01,5.45,2.75
"2015-07-09 14:30:00",0,0,0,19602.88,24689.29,5086.40,18824.32,714.94,3540.04,11498.65,23017.90,23023.44,5.54,0.75,0.86,1.14,0.66,213.21,123.49,4.90,60.01,0.63,0.02,0.70,13.21,6.21,14.57,0,-1.93,0,16999.59,4203.13,3486.56,0.59,16.86,5068.95,4678.70,10200.92,3944.70,7.43,201.30,506.22,3.41,19.02,3517.61,4738.69,5328.44,1431.52,20063.61,16967.41,6693.19,10.87,221.03,6661.69,0.24,0.35,0.16,0.79,0.35,-0.28,0.83,0.50,0.32,0.29,0.71,0.49,212.77,213.38,213.48,123.30,123.50,123.68,6.65,5.39,2.66
"2015-07-09 14:45:00",0,0,0,19603.06,24689.47,5086.40,18824.62,714.94,3540.05,11498.75,23018.19,23023.73,5.54,0.66,0.78,1.02,0.65,212.98,123.36,4.21,60.01,0.64,0.33,0.87,13.21,6.21,14.57,0,-1.93,0,16999.65,4203.23,3486.60,0.59,16.86,5068.95,4678.88,10201.03,3944.70,7.43,201.30,506.22,3.41,19.02,3517.61,4738.69,5328.47,1431.59,20063.81,16967.58,6693.27,10.87,221.03,6661.69,0.21,0.33,0.12,0.72,0.36,-0.30,0.75,0.48,0.32,0.28,0.68,0.38,212.34,213.20,213.39,123.35,123.07,123.66,6.09,3.93,2.61
