time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-09 16:00:00",0,0,0,19604.04,24690.45,5086.41,18825.93,714.94,3540.05,11499.53,23019.53,23025.07,5.54,0.63,-0.14,0.65,0.98,212.53,123.10,4.55,60.01,0.59,0.00,0.66,13.21,6.21,14.57,0,-1.93,0,17000.00,4203.63,3486.82,0.59,16.86,5068.95,4679.82,10201.39,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.70,5328.81,1432.01,20064.83,16968.43,6693.77,10.87,221.04,6661.69,0.21,0.29,0.14,0.64,-0.48,-0.30,0.67,0.56,0.33,0.31,0.52,0.41,211.96,212.64,212.99,123.23,123.04,123.02,6.88,4.12,2.66
"2015-07-09 16:15:00",0,0,0,19604.22,24690.63,5086.41,18826.20,714.94,3540.05,11499.65,23019.82,23025.35,5.54,0.65,0.88,1.09,0.60,212.61,123.14,4.24,60.02,0.74,0.71,1.15,13.21,6.21,14.57,0,-1.93,0,17000.05,4203.72,3486.85,0.59,16.86,5068.95,4680.00,10201.49,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.71,5328.85,1432.08,20065.03,16968.59,6693.85,10.87,221.04,6661.69,0.22,0.36,0.07,0.85,0.37,-0.34,0.88,0.52,0.35,0.25,0.70,0.21,211.77,212.88,213.17,123.16,122.90,123.35,5.80,4.70,2.24
"2015-07-09 16:30:00",0,0,0,19604.40,24690.81,5086.41,18826.48,714.94,3540.05,11499.76,23020.10,23025.64,5.54,0.76,0.84,1.13,0.67,212.68,123.18,4.14,60.01,0.73,0.62,1.15,13.21,6.21,14.57,0,-1.93,0,17000.11,4203.81,3486.88,0.59,16.86,5068.95,4680.18,10201.58,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.72,5328.89,1432.15,20065.22,16968.76,6693.93,10.87,221.04,6661.69,0.15,0.34,0.24,0.67,0.46,-0.12,0.68,0.57,0.27,0.23,0.60,0.89,212.14,212.82,213.20,123.39,122.97,123.26,5.37,6.00,3.29
"2015-07-09 16:45:00",0,0,0,19604.57,24690.98,5086.41,18826.73,714.94,3540.05,11499.92,23020.33,23025.87,5.54,0.54,0.11,0.55,0.98,212.33,122.98,4.48,59.94,0.74,0.62,1.15,13.21,6.21,14.57,0,-1.93,0,17000.18,4203.88,3486.92,0.59,16.86,5068.95,4680.37,10201.64,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.72,5328.97,1432.23,20065.43,16968.92,6694.01,10.87,221.04,6661.69,0.30,0.13,0.11,0.85,-0.43,-0.30,0.90,0.45,0.32,0.34,0.28,0.33,211.59,212.40,213.00,123.21,122.64,123.08,6.37,4.51,2.57
"2015-07-09 17:00:00",0,0,0,19604.72,24691.13,5086.41,18826.94,714.94,3540.05,11500.11,23020.50,23026.04,5.54,0.55,0.12,0.56,0.98,211.48,122.49,4.22,60.00,0.65,0.31,0.85,13.21,6.21,14.57,0,-1.93,0,17000.26,4203.92,3486.95,0.59,16.86,5068.95,4680.57,10201.66,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.72,5329.09,1432.30,20065.64,16969.06,6694.09,10.87,221.04,6661.69,0.33,0.12,0.11,0.79,-0.39,-0.29,0.86,0.41,0.30,0.38,0.29,0.35,210.89,211.72,211.84,122.58,122.54,122.35,6.88,3.12,2.66
"2015-07-09 17:15:00",0,0,0,19604.88,24691.29,5086.41,18827.16,714.94,3540.05,11500.28,23020.70,23026.24,5.54,0.86,0.94,1.27,0.67,210.71,122.04,4.89,60.01,0.59,0.03,0.67,13.21,6.21,14.57,0,-1.93,0,17000.35,4203.97,3486.98,0.59,16.86,5068.95,4680.75,10201.70,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.72,5329.19,1432.38,20065.85,16969.21,6694.17,10.87,221.04,6661.69,0.20,0.51,0.15,0.73,0.52,-0.31,0.75,0.73,0.34,0.26,0.70,0.44,210.19,210.97,210.96,122.10,121.90,122.11,6.67,5.29,2.70
"2015-07-09 17:30:00",0,0,0,19605.07,24691.48,5086.41,18827.45,714.94,3540.05,11500.39,23020.99,23026.53,5.54,0.50,0.88,1.02,0.49,211.99,122.78,4.58,60.01,0.69,0.34,0.90,13.21,6.21,14.57,0,-1.93,0,17000.40,4204.07,3487.01,0.59,16.86,5068.95,4680.94,10201.80,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.72,5329.22,1432.45,20066.04,16969.38,6694.25,10.87,221.04,6661.69,0.20,0.24,0.14,0.64,-0.70,-0.24,0.67,0.74,0.28,0.30,0.33,0.51,211.22,212.41,212.20,122.64,122.64,122.98,6.74,6.04,2.98
"2015-07-09 17:45:00",0,0,0,19605.37,24691.78,5086.41,18827.76,714.94,3540.05,11500.53,23021.39,23026.93,5.54,0.68,0.83,1.07,0.64,212.31,122.96,4.61,59.97,0.72,0.68,1.13,13.21,6.21,14.57,0,-1.93,0,17000.45,4204.22,3487.11,0.59,16.86,5068.95,4681.12,10201.93,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.73,5329.25,1432.55,20066.24,16969.60,6694.40,10.87,221.04,6661.69,0.22,0.30,0.16,0.78,0.33,-0.29,0.81,0.45,0.33,0.27,0.68,0.49,211.71,212.44,212.77,123.03,122.82,123.03,6.89,4.13,2.81
"2015-07-09 18:00:00",0,0,0,19605.54,24691.95,5086.41,18828.04,714.94,3540.05,11500.65,23021.66,23027.20,5.54,0.50,-0.09,0.51,0.98,211.96,122.76,4.37,60.02,1.21,0.72,1.59,13.21,6.21,14.57,0,-1.93,0,17000.51,4204.30,3487.14,0.59,16.86,5068.95,4681.31,10202.02,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.73,5329.29,1432.63,20066.44,16969.77,6694.48,10.87,221.04,6661.69,0.23,0.13,0.13,0.79,-0.55,-0.33,0.82,0.57,0.36,0.28,0.24,0.37,211.25,211.99,212.64,122.89,122.74,122.65,6.96,3.53,2.64
"2015-07-09 18:15:00",0,0,0,19605.68,24692.09,5086.41,18828.26,714.94,3540.06,11500.84,23021.85,23027.38,5.54,0.65,-0.01,0.65,1.00,210.56,121.95,4.49,59.93,0.66,0.54,1.03,13.21,6.21,14.57,0,-1.93,0,17000.58,4204.34,3487.17,0.59,16.86,5068.95,4681.50,10202.05,3944.71,7.43,201.30,506.22,3.41,19.02,3517.62,4738.74,5329.40,1432.70,20066.65,16969.90,6694.56,10.87,221.04,6661.69,0.36,0.17,0.13,0.83,-0.52,-0.33,0.91,0.54,0.35,0.39,0.30,0.36,210.14,210.78,210.78,121.98,121.96,121.90,7.28,3.76,2.44
