time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-09 19:15:00",0,0,0,19606.41,24692.81,5086.41,18829.53,714.95,3540.06,11501.36,23022.99,23028.53,5.54,0.71,0.20,0.73,0.96,213.04,123.39,5.97,60.01,0.72,0.91,1.24,13.21,6.21,14.57,0,-1.93,0,17000.87,4204.65,3487.30,0.59,16.86,5068.95,4682.43,10202.38,3944.72,7.43,201.30,506.22,3.41,19.02,3517.62,4738.74,5329.59,1433.02,20067.64,16970.53,6694.92,10.87,221.04,6661.70,0.21,0.31,0.15,0.99,0.74,-0.37,1.01,0.80,0.40,0.21,0.59,0.45,212.28,213.28,213.54,123.58,123.11,123.48,8.20,6.50,3.20
"2015-07-09 19:30:00",0,0,0,19606.57,24692.97,5086.41,18829.84,714.95,3540.06,11501.50,23023.24,23028.78,5.54,0.45,-0.10,0.46,1.00,210.31,121.81,5.64,60.01,0.72,0.94,1.24,13.21,6.21,14.57,0,-1.93,0,17000.92,4204.72,3487.33,0.59,16.86,5068.95,4682.67,10202.46,3944.72,7.43,201.30,506.22,3.41,19.02,3517.62,4738.74,5329.65,1433.11,20067.88,16970.69,6695.01,10.87,221.04,6661.70,0.21,0.12,0.12,0.95,-0.72,-0.33,0.98,0.73,0.35,0.22,0.16,0.34,210.00,210.86,210.18,121.78,121.95,121.78,7.99,5.43,2.90
"2015-07-09 19:45:00",0,0,0,19606.71,24693.11,5086.41,18830.09,714.95,3540.06,11501.71,23023.39,23028.93,5.54,0.52,0.11,0.53,0.98,211.08,122.26,5.43,60.01,0.61,0.56,0.90,13.21,6.21,14.57,0,-1.93,0,17000.99,4204.76,3487.36,0.59,16.86,5068.95,4682.91,10202.46,3944.72,7.43,201.30,506.22,3.41,19.02,3517.62,4738.74,5329.78,1433.19,20068.13,16970.83,6695.10,10.87,221.04,6661.70,0.30,0.12,0.10,0.98,-0.56,-0.32,1.02,0.57,0.33,0.30,0.21,0.29,210.39,211.71,211.14,122.28,122.36,122.15,7.95,5.71,2.64
"2015-07-09 20:00:00",0,0,0,19606.89,24693.29,5086.41,18830.32,714.95,3540.06,11501.91,23023.61,23029.14,5.54,1.04,0.88,1.36,0.77,212.37,123.01,5.08,60.07,0.58,0.11,0.63,13.21,6.21,14.57,0,-1.93,0,17001.08,4204.80,3487.41,0.59,16.86,5068.95,4683.11,10202.49,3944.72,7.43,201.30,506.22,3.41,19.02,3517.62,4738.74,5329.88,1433.28,20068.36,16970.97,6695.20,10.87,221.04,6661.70,0.41,0.40,0.24,0.82,0.38,-0.33,0.91,0.55,0.41,0.44,0.72,0.59,211.50,212.85,212.75,123.01,122.83,123.18,7.44,4.51,3.29
"2015-07-09 20:15:00",0,0,0,19607.11,24693.51,5086.41,18830.60,714.95,3540.06,11502.01,23023.91,23029.45,5.54,0.77,0.57,0.96,0.80,212.05,122.82,4.97,60.01,0.78,0.23,0.94,13.21,6.21,14.57,0,-1.93,0,17001.16,4204.90,3487.45,0.59,16.86,5068.95,4683.29,10202.59,3944.72,7.43,201.30,506.22,3.41,19.02,3517.63,4738.74,5329.91,1433.35,20068.55,16971.14,6695.29,10.87,221.04,6661.70,0.47,0.52,0.18,0.54,0.64,-0.23,0.71,0.82,0.29,0.31,0.90,0.15,211.12,212.67,212.35,122.96,122.49,123.03,5.81,6.72,2.37
"2015-07-09 20:30:00",0,0,0,19607.43,24693.83,5086.41,18830.90,714.95,3540.06,11502.14,23024.31,23029.85,5.54,0.69,-0.14,1.11,0.69,211.07,122.26,5.21,59.94,0.86,0.69,1.19,13.21,6.21,14.57,0,-1.93,0,17001.22,4205.06,3487.55,0.59,16.86,5068.95,4683.47,10202.72,3944.72,7.43,201.30,506.22,3.41,19.02,3517.63,4738.75,5329.94,1433.46,20068.75,16971.37,6695.44,10.87,221.04,6661.70,0.20,0.34,0.15,0.82,-0.65,-0.31,0.84,0.73,0.34,0.24,0.47,0.43,210.54,211.48,211.18,122.23,122.40,122.15,5.94,5.05,2.61
"2015-07-09 20:45:00",0,0,0,19607.61,24694.01,5086.41,18831.20,714.95,3540.06,11502.23,23024.60,23030.13,5.54,0.60,1.23,1.37,0.44,211.36,122.43,4.53,59.94,1.24,0.73,1.59,13.21,6.21,14.57,0,-1.93,0,17001.28,4205.15,3487.58,0.59,16.86,5068.95,4683.65,10202.83,3944.72,7.43,201.30,506.22,3.41,19.02,3517.63,4738.75,5329.96,1433.53,20068.94,16971.53,6695.52,10.87,221.04,6661.70,0.19,0.30,0.11,0.75,0.77,-0.30,0.78,0.83,0.31,0.25,0.36,0.34,210.75,211.96,211.36,122.39,122.24,122.65,6.29,4.72,2.57
"2015-07-09 21:00:00",0,0,0,19607.74,24694.15,5086.41,18831.42,714.95,3540.06,11502.41,23024.77,23030.31,5.54,0.33,-0.23,0.40,0.82,212.29,122.96,3.77,60.01,0.71,0.82,1.14,13.21,6.21,14.57,0,-1.93,0,17001.33,4205.20,3487.62,0.59,16.86,5068.95,4683.83,10202.87,3944.72,7.43,201.30,506.22,3.41,19.02,3517.63,4738.75,5330.05,1433.60,20069.13,16971.67,6695.60,10.87,221.04,6661.70,0.15,0.09,0.09,0.79,-0.70,-0.31,0.80,0.71,0.32,0.19,0.13,0.26,211.52,212.75,212.58,122.78,122.94,123.16,5.64,3.18,2.49
"2015-07-09 21:15:00",0,0,0,19607.89,24694.30,5086.41,18831.61,714.95,3540.07,11502.59,23024.95,23030.48,5.54,0.65,0.03,0.65,1.00,211.42,122.46,4.82,60.00,0.55,0.07,0.66,13.21,6.21,14.57,0,-1.93,0,17001.41,4205.24,3487.65,0.59,16.86,5068.95,4684.01,10202.89,3944.72,7.43,201.30,506.22,3.41,19.02,3517.63,4738.75,5330.18,1433.67,20069.33,16971.82,6695.67,10.87,221.04,6661.70,0.40,0.15,0.10,0.83,-0.54,-0.26,0.93,0.56,0.28,0.43,0.27,0.37,210.84,211.98,211.44,122.28,122.43,122.66,7.57,4.60,2.29
"2015-07-09 21:30:00",0,0,0,19608.07,24694.48,5086.41,18831.86,714.95,3540.07,11502.73,23025.18,23030.72,5.54,0.99,0.80,1.27,0.78,210.50,121.92,5.11,59.94,0.59,0.02,0.69,13.21,6.21,14.57,0,-1.93,0,17001.50,4205.30,3487.68,0.59,16.86,5068.95,4684.19,10202.95,3944.72,7.43,201.30,506.22,3.41,19.02,3517.63,4738.75,5330.25,1433.74,20069.53,16971.97,6695.75,10.87,221.04,6661.70,0.32,0.50,0.15,0.73,0.58,-0.27,0.80,0.76,0.31,0.40,0.84,0.50,210.23,211.12,210.14,121.77,121.93,122.07,6.56,6.24,2.52
