time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-10 02:00:00",0,0,0,19615.06,24701.47,5086.41,18837.42,714.95,3540.08,11505.29,23033.32,23038.85,5.54,1.05,1.42,1.76,0.59,216.14,125.20,5.73,60.08,0.51,0.22,0.76,13.21,6.21,14.57,0,-1.93,0,17005.53,4207.21,3488.73,0.59,16.86,5068.96,4688.16,10204.34,3944.92,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.42,1435.07,20075.52,16975.31,6697.70,10.88,221.04,6661.72,0.40,0.52,0.15,1.07,0.44,-0.30,1.14,0.68,0.33,0.34,0.61,0.35,215.26,216.80,216.34,124.75,125.22,125.62,9.12,5.43,2.66
"2015-07-10 02:15:00",0,0,0,19615.40,24701.81,5086.41,18837.79,714.95,3540.08,11505.43,23033.75,23039.29,5.54,1.43,1.07,1.87,0.75,215.49,124.82,6.87,60.02,0.81,0.77,1.22,13.21,6.21,14.57,0,-1.93,0,17005.63,4207.31,3488.88,0.59,16.86,5068.96,4688.42,10204.45,3944.92,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.44,1435.20,20075.79,16975.48,6697.90,10.88,221.04,6661.72,0.35,0.52,0.56,1.07,0.49,-0.48,1.12,0.71,0.74,0.31,0.73,0.76,214.78,216.07,215.62,124.53,124.94,125.01,9.00,5.68,5.94
"2015-07-10 02:30:00",0,0,0,19616.09,24702.50,5086.41,18838.30,714.95,3540.08,11505.57,23034.54,23040.08,5.54,9.87,5.98,11.54,0.86,213.86,123.88,31.08,60.01,1.42,0.86,1.73,13.21,6.21,14.57,0,-1.93,0,17005.99,4207.45,3489.05,0.59,16.86,5068.96,4688.76,10204.59,3944.96,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.47,1435.31,20076.31,16975.70,6698.13,10.88,221.04,6661.72,4.19,2.75,2.92,2.63,1.72,1.63,4.95,3.24,3.35,0.85,0.85,0.87,213.14,214.70,213.73,123.12,124.35,124.17,40.25,26.26,26.72
"2015-07-10 02:45:00",0,0,0,19618.57,24704.98,5086.41,18839.82,714.95,3540.08,11505.57,23037.45,23042.98,5.54,9.89,6.01,11.57,0.85,214.54,124.27,31.05,60.01,3.90,2.20,4.54,13.21,6.21,14.57,0,-1.93,0,17007.04,4208.16,3489.78,0.59,16.86,5068.96,4689.44,10205.02,3945.35,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.47,1435.31,20077.55,16976.53,6698.96,10.88,221.04,6661.72,4.18,2.77,2.93,2.71,1.71,1.59,4.98,3.25,3.34,0.84,0.85,0.88,213.88,215.27,214.48,123.44,124.67,124.72,40.23,26.13,26.79
"2015-07-10 03:00:00",0,0,0,19619.85,24706.26,5086.41,18840.64,714.95,3540.08,11505.68,23038.93,23044.47,5.54,1.96,0.20,1.97,0.99,215.58,124.87,7.92,59.96,9.91,6.03,11.61,13.21,6.21,14.57,0,-1.93,0,17007.69,4208.48,3490.10,0.59,16.86,5068.96,4689.90,10205.23,3945.51,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.52,1435.37,20078.35,16976.95,6699.35,10.88,221.04,6661.72,1.51,0.22,0.23,1.28,-0.45,-0.42,1.98,0.50,0.48,0.78,0.34,0.47,214.92,216.43,215.37,124.13,125.18,125.29,15.98,3.96,3.81
"2015-07-10 03:15:00",0,0,0,19621.42,24707.83,5086.41,18841.66,714.95,3540.08,11505.77,23040.78,23046.31,5.54,1.86,0.12,2.39,0.73,215.31,124.71,7.83,59.96,4.08,2.08,4.65,13.21,6.21,14.57,0,-1.93,0,17008.42,4208.86,3490.54,0.59,16.86,5068.96,4690.42,10205.49,3945.75,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.57,1435.40,20079.25,16977.45,6699.89,10.88,221.04,6661.72,1.51,0.19,0.16,1.11,-0.63,-0.36,1.87,0.65,0.39,0.81,0.29,0.41,214.65,216.19,215.20,123.96,125.17,125.08,16.26,5.50,3.08
"2015-07-10 03:30:00",0,0,0,19621.91,24708.32,5086.41,18842.03,714.95,3540.08,11505.96,23041.32,23046.85,5.54,9.47,5.98,11.20,0.85,214.55,124.28,30.03,60.01,6.25,3.76,7.36,13.21,6.21,14.57,0,-1.93,0,17008.80,4208.93,3490.59,0.59,16.86,5068.96,4690.74,10205.52,3945.76,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.67,1435.49,20079.76,16977.61,6700.00,10.88,221.04,6661.72,3.97,2.72,2.79,2.63,1.70,1.65,4.76,3.20,3.24,0.83,0.85,0.86,213.89,215.32,214.44,123.52,124.65,124.66,37.89,26.53,25.66
"2015-07-10 03:45:00",0,0,0,19623.36,24709.77,5086.41,18842.99,714.95,3540.08,11506.02,23043.02,23048.56,5.54,2.22,1.58,2.72,0.81,216.68,125.50,8.33,60.02,3.03,1.42,3.42,13.21,6.21,14.57,0,-1.93,0,17009.49,4209.32,3490.95,0.59,16.86,5068.96,4691.23,10205.79,3945.96,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.70,1435.53,20080.60,16978.11,6700.44,10.88,221.04,6661.72,1.45,0.58,0.18,1.29,0.67,-0.38,1.94,0.89,0.42,0.75,0.66,0.42,215.99,217.41,216.64,124.75,125.72,126.02,16.07,5.68,3.24
"2015-07-10 04:00:00",0,0,0,19624.29,24710.70,5086.41,18843.59,714.95,3540.08,11506.15,23044.09,23049.63,5.54,9.62,6.01,11.34,0.85,215.35,124.73,30.48,60.02,4.77,2.96,5.66,13.21,6.21,14.57,0,-1.93,0,17009.99,4209.57,3491.15,0.59,16.86,5068.96,4691.62,10205.97,3946.01,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.73,1435.61,20081.23,16978.44,6700.69,10.88,221.04,6661.72,4.09,2.68,2.84,2.82,1.84,1.43,4.96,3.25,3.18,0.85,0.83,0.86,214.70,216.17,215.18,123.78,125.20,125.20,40.11,25.95,25.38
"2015-07-10 04:15:00",0,0,0,19625.47,24711.88,5086.41,18844.40,714.95,3540.08,11506.23,23045.49,23051.03,5.54,2.11,1.55,2.52,0.83,215.74,124.95,8.31,60.01,4.76,2.59,5.47,13.21,6.21,14.57,0,-1.93,0,17010.60,4209.87,3491.41,0.59,16.86,5068.96,4692.07,10206.19,3946.15,7.44,201.30,506.22,3.42,19.03,3517.64,4738.80,5331.76,1435.67,20081.99,16978.83,6701.03,10.88,221.04,6661.72,1.60,0.37,0.14,1.35,0.53,-0.34,2.09,0.65,0.36,0.76,0.58,0.39,215.15,216.26,215.87,124.09,125.32,125.47,16.52,4.39,3.06
