time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-10 05:15:00",0,0,0,19628.74,24715.15,5086.41,18846.71,714.95,3540.09,11506.78,23049.29,23054.82,5.54,2.19,0.54,2.39,0.80,216.25,125.24,8.03,60.02,2.18,1.03,2.49,13.21,6.21,14.57,0,-1.93,0,17012.55,4210.58,3492.02,0.59,16.86,5068.96,4693.59,10206.68,3946.45,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.04,1435.94,20084.47,16979.93,6701.92,10.88,221.04,6661.72,1.60,0.41,0.18,1.28,-0.38,-0.36,2.05,0.56,0.40,0.78,0.74,0.45,215.67,216.66,216.42,124.65,125.47,125.61,16.43,4.47,3.20
"2015-07-10 05:30:00",0,0,0,19629.29,24715.70,5086.41,18847.13,714.95,3540.09,11506.92,23049.91,23055.45,5.54,2.23,1.14,2.51,0.89,215.98,125.08,8.76,60.02,4.41,2.70,5.24,13.21,6.21,14.57,0,-1.93,0,17012.95,4210.69,3492.06,0.59,16.86,5068.96,4693.91,10206.76,3946.45,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.09,1436.03,20084.99,16980.11,6702.02,10.88,221.04,6661.72,1.68,0.39,0.16,1.07,0.44,-0.37,1.99,0.59,0.40,0.84,0.66,0.40,215.37,216.56,216.01,124.39,125.36,125.49,17.08,5.91,3.27
"2015-07-10 05:45:00",0,0,0,19630.44,24716.85,5086.41,18847.89,714.95,3540.09,11507.05,23051.25,23056.79,5.54,1.92,0.45,1.98,0.97,215.57,124.84,7.87,59.97,3.02,1.62,3.50,13.21,6.21,14.57,0,-1.93,0,17013.56,4210.97,3492.32,0.59,16.86,5068.96,4694.36,10206.94,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.16,1436.09,20085.76,16980.49,6702.35,10.88,221.04,6661.72,1.58,0.20,0.15,1.30,-0.47,-0.38,2.04,0.51,0.41,0.77,0.39,0.36,215.04,216.09,215.59,124.08,125.31,125.14,16.51,3.89,3.22
"2015-07-10 06:00:00",0,0,0,19630.90,24717.31,5086.41,18848.23,714.95,3540.09,11507.25,23051.75,23057.29,5.54,1.78,0.38,1.82,0.98,216.13,125.17,7.98,60.01,3.73,1.96,4.31,13.21,6.21,14.57,0,-1.93,0,17013.95,4211.02,3492.35,0.59,16.86,5068.96,4694.69,10206.96,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.28,1436.17,20086.26,16980.63,6702.44,10.88,221.04,6661.73,1.47,0.17,0.15,1.24,-0.49,-0.37,1.92,0.52,0.40,0.76,0.32,0.36,215.61,216.65,216.15,124.42,125.64,125.44,15.58,5.18,3.18
"2015-07-10 06:15:00",0,0,0,19631.37,24717.78,5086.41,18848.58,714.95,3540.09,11507.45,23052.25,23057.78,5.54,1.93,1.98,2.27,0.99,216.69,125.49,9.30,60.01,1.85,0.55,1.97,13.21,6.21,14.57,0,-1.93,0,17014.32,4211.07,3492.38,0.59,16.86,5068.96,4695.01,10206.99,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.39,1436.26,20086.76,16980.78,6702.54,10.88,221.04,6661.73,1.39,0.40,0.14,1.68,0.75,-0.45,2.18,0.85,0.47,0.64,0.48,0.29,216.07,217.17,216.86,124.79,125.82,125.86,14.68,5.54,3.10
"2015-07-10 06:30:00",0,0,0,19631.99,24718.40,5086.41,18849.01,714.95,3540.09,11507.62,23052.95,23058.48,5.54,2.05,-0.11,2.05,1.00,216.40,125.32,8.53,60.08,1.89,0.62,2.04,13.21,6.21,14.57,0,-1.93,0,17014.69,4211.23,3492.48,0.59,16.86,5068.96,4695.33,10207.09,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.44,1436.38,20087.25,16981.01,6702.70,10.88,221.04,6661.73,1.59,0.34,0.12,1.01,-0.78,-0.34,1.88,0.85,0.36,0.84,0.40,0.34,215.90,216.74,216.57,124.61,125.80,125.54,16.64,5.93,3.00
"2015-07-10 06:45:00",0,0,0,19632.52,24718.93,5086.41,18849.40,714.95,3540.09,11507.76,23053.54,23059.08,5.54,2.30,1.39,2.69,0.85,215.39,124.73,8.45,60.01,2.53,1.06,2.83,13.21,6.21,14.57,0,-1.93,0,17015.06,4211.35,3492.52,0.59,16.86,5068.96,4695.64,10207.17,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.49,1436.47,20087.73,16981.19,6702.79,10.88,221.04,6661.73,1.48,0.65,0.17,1.19,0.55,-0.35,1.90,0.85,0.39,0.78,0.76,0.44,214.79,215.86,215.52,124.07,125.05,125.07,15.92,6.06,3.37
"2015-07-10 07:00:00",0,0,0,19633.04,24719.45,5086.41,18849.79,714.95,3540.09,11507.92,23054.14,23059.68,5.54,2.00,0.23,2.02,0.99,215.68,124.90,8.74,60.02,2.07,0.99,2.37,13.21,6.21,14.57,0,-1.93,0,17015.45,4211.45,3492.55,0.59,16.86,5068.96,4695.97,10207.24,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.56,1436.56,20088.24,16981.36,6702.89,10.88,221.04,6661.73,1.65,0.21,0.14,1.43,-0.84,-0.37,2.19,0.86,0.39,0.76,0.24,0.36,215.11,216.12,215.82,124.09,125.31,125.30,16.76,6.16,3.31
"2015-07-10 07:15:00",0,0,0,19633.52,24719.93,5086.41,18850.13,714.95,3540.09,11508.13,23054.65,23060.18,5.54,1.90,0.31,1.93,0.99,215.69,124.90,8.37,60.02,2.10,0.89,2.36,13.21,6.21,14.57,0,-1.93,0,17015.85,4211.50,3492.58,0.59,16.86,5068.96,4696.29,10207.25,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.69,1436.64,20088.77,16981.51,6702.98,10.88,221.04,6661.73,1.55,0.22,0.14,1.33,-0.64,-0.38,2.04,0.68,0.41,0.76,0.32,0.34,215.05,216.28,215.73,124.10,125.25,125.35,16.48,5.61,3.02
"2015-07-10 07:30:00",0,0,0,19633.99,24720.40,5086.41,18850.48,714.95,3540.10,11508.32,23055.16,23060.69,5.54,1.75,0.52,1.83,0.96,215.88,125.00,7.78,60.01,1.91,0.49,2.00,13.21,6.21,14.57,0,-1.93,0,17016.24,4211.54,3492.62,0.59,16.86,5068.96,4696.61,10207.28,3946.59,7.44,201.30,506.22,3.42,19.03,3517.65,4738.80,5332.79,1436.73,20089.28,16981.65,6703.07,10.88,221.04,6661.73,1.47,0.16,0.12,1.27,-0.39,-0.36,1.95,0.42,0.38,0.76,0.37,0.32,215.40,216.34,215.89,124.33,125.35,125.33,15.75,4.47,3.12
