time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-10 08:45:00",0,0,0,19636.50,24722.91,5086.41,18852.39,714.95,3540.10,11509.14,23057.98,23063.52,5.54,1.99,0.40,2.03,0.98,215.70,124.90,8.39,60.02,1.91,0.61,2.06,13.21,6.21,14.57,0,-1.93,0,17018.14,4211.97,3492.79,0.59,16.86,5068.96,4698.22,10207.59,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.18,1437.16,20091.78,16982.49,6703.55,10.88,221.04,6661.73,1.65,0.20,0.14,1.20,-0.47,-0.34,2.04,0.51,0.37,0.81,0.39,0.38,215.11,216.12,215.86,124.22,125.21,125.26,16.72,5.35,3.10
"2015-07-10 09:00:00",0,0,0,19637.14,24723.55,5086.41,18852.81,714.95,3540.10,11509.34,23058.68,23064.21,5.54,2.16,1.49,2.62,0.82,215.12,124.57,8.10,60.01,1.92,0.64,2.09,13.21,6.21,14.57,0,-1.93,0,17018.54,4212.12,3492.90,0.59,16.86,5068.96,4698.55,10207.68,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.25,1437.28,20092.29,16982.72,6703.72,10.88,221.04,6661.73,1.45,0.55,0.12,1.30,0.42,-0.36,1.94,0.69,0.38,0.76,0.68,0.35,214.60,215.55,215.21,123.96,124.82,124.92,15.69,5.56,3.06
"2015-07-10 09:15:00",0,0,0,19637.66,24724.07,5086.41,18853.22,714.95,3540.10,11509.47,23059.28,23064.81,5.54,2.01,1.47,2.49,0.81,215.40,124.73,7.70,59.97,2.61,0.97,2.86,13.21,6.21,14.57,0,-1.93,0,17018.91,4212.22,3492.94,0.59,16.86,5068.96,4698.87,10207.77,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.30,1437.37,20092.78,16982.89,6703.81,10.88,221.04,6661.73,1.54,0.40,0.17,1.08,0.46,-0.34,1.88,0.61,0.38,0.82,0.66,0.44,214.79,215.84,215.61,124.16,124.95,125.11,16.35,6.18,3.14
"2015-07-10 09:30:00",0,0,0,19638.17,24724.58,5086.41,18853.61,714.95,3540.10,11509.62,23059.86,23065.40,5.54,2.13,0.52,2.19,0.97,215.50,124.79,8.53,60.02,2.05,1.05,2.37,13.21,6.21,14.57,0,-1.93,0,17019.28,4212.33,3492.97,0.59,16.86,5068.96,4699.19,10207.84,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.36,1437.46,20093.27,16983.07,6703.91,10.88,221.04,6661.73,1.70,0.41,0.02,1.40,-0.49,-0.40,2.20,0.64,0.40,0.77,0.64,0.05,215.00,215.91,215.60,124.11,125.12,125.13,17.62,5.35,2.61
"2015-07-10 09:45:01",0,0,0,19638.66,24725.07,5086.41,18853.98,714.95,3540.10,11509.79,23060.41,23065.95,5.54,1.56,0.23,1.58,0.99,216.03,125.10,6.77,60.02,2.04,0.98,2.34,13.21,6.21,14.57,0,-1.93,0,17019.65,4212.41,3493.01,0.59,16.86,5068.96,4699.50,10207.89,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.44,1437.55,20093.76,16983.23,6704.00,10.88,221.04,6661.73,1.29,0.18,0.09,1.34,-0.72,-0.39,1.86,0.74,0.40,0.69,0.24,0.24,215.39,216.39,216.32,124.46,125.33,125.49,13.87,3.63,2.81
"2015-07-10 10:00:00",0,0,0,19639.14,24725.55,5086.41,18854.33,714.95,3540.10,11510.00,23060.92,23066.46,5.54,2.00,0.54,2.07,0.97,215.88,125.01,7.89,59.98,1.94,0.72,2.15,13.21,6.21,14.57,0,-1.93,0,17020.05,4212.46,3493.04,0.59,16.86,5068.96,4699.83,10207.91,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.57,1437.63,20094.28,16983.38,6704.10,10.88,221.04,6661.73,1.66,0.21,0.13,1.26,-0.37,-0.35,2.08,0.43,0.38,0.80,0.48,0.35,215.34,216.35,215.95,124.27,125.42,125.33,17.37,3.47,2.81
"2015-07-10 10:15:00",0,0,0,19639.63,24726.04,5086.41,18854.68,714.95,3540.10,11510.21,23061.44,23066.98,5.54,2.08,1.44,2.53,0.82,215.35,124.70,8.06,59.93,1.94,0.55,2.07,13.21,6.21,14.57,0,-1.93,0,17020.45,4212.52,3493.08,0.59,16.86,5068.96,4700.16,10207.93,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.69,1437.72,20094.80,16983.54,6704.19,10.88,221.04,6661.74,1.66,0.42,0.17,1.10,-0.52,-0.31,1.99,0.66,0.35,0.84,0.63,0.49,214.98,215.61,215.40,124.10,125.12,124.85,17.23,6.67,3.31
"2015-07-10 10:30:00",0,0,0,19640.16,24726.57,5086.41,18855.08,714.95,3540.10,11510.35,23062.05,23067.59,5.54,2.22,1.31,2.57,0.86,215.75,124.93,7.84,60.01,1.99,0.63,2.14,13.21,6.21,14.57,0,-1.93,0,17020.83,4212.62,3493.11,0.59,16.86,5068.96,4700.49,10208.01,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.74,1437.81,20095.31,16983.71,6704.28,10.88,221.04,6661.74,1.47,0.57,0.18,1.15,0.52,-0.36,1.86,0.77,0.41,0.79,0.74,0.44,215.04,216.16,216.06,124.38,125.04,125.38,15.16,5.32,3.04
"2015-07-10 10:45:00",0,0,0,19640.68,24727.09,5086.41,18855.49,714.95,3540.10,11510.49,23062.66,23068.20,5.54,2.19,0.32,2.21,0.99,215.48,124.77,8.36,60.01,2.11,1.05,2.44,13.21,6.21,14.57,0,-1.93,0,17021.21,4212.74,3493.15,0.59,16.86,5068.96,4700.81,10208.10,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.79,1437.89,20095.80,16983.89,6704.38,10.88,221.04,6661.74,1.48,0.56,0.15,1.25,-0.54,-0.39,1.94,0.77,0.42,0.76,0.72,0.35,214.93,215.73,215.77,124.25,124.97,125.11,15.84,5.93,3.31
"2015-07-10 11:00:00",0,0,0,19641.19,24727.60,5086.41,18855.90,714.95,3540.10,11510.63,23063.24,23068.78,5.54,1.78,0.36,1.81,0.98,215.12,124.57,7.85,59.94,2.07,1.12,2.42,13.21,6.21,14.57,0,-1.93,0,17021.57,4212.84,3493.19,0.59,16.86,5068.96,4701.13,10208.18,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5333.85,1437.98,20096.29,16984.07,6704.48,10.88,221.04,6661.74,1.44,0.20,0.14,1.25,-0.53,-0.36,1.91,0.57,0.39,0.75,0.35,0.35,214.53,215.66,215.17,123.79,124.90,125.01,15.49,4.92,3.14
