time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-10 12:00:00",0,0,0,19643.27,24729.68,5086.41,18857.41,714.95,3540.11,11511.34,23065.53,23071.06,5.54,1.85,1.37,2.30,0.80,214.93,124.47,7.20,60.01,2.14,1.10,2.47,13.21,6.21,14.57,0,-1.93,0,17023.11,4213.19,3493.38,0.59,16.86,5068.96,4702.41,10208.41,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.18,1438.36,20098.29,16984.75,6704.91,10.88,221.04,6661.74,1.37,0.36,0.11,1.25,0.48,-0.35,1.85,0.60,0.37,0.74,0.61,0.30,214.31,215.40,215.09,123.92,124.66,124.83,14.69,4.17,2.75
"2015-07-10 12:15:00",0,0,0,19643.75,24730.16,5086.41,18857.79,714.95,3540.11,11511.48,23066.08,23071.62,5.54,1.99,1.51,2.50,0.80,215.13,124.59,8.16,59.93,2.44,1.10,2.75,13.21,6.21,14.57,0,-1.93,0,17023.45,4213.29,3493.41,0.59,16.86,5068.96,4702.70,10208.50,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.23,1438.45,20098.74,16984.93,6705.01,10.88,221.04,6661.74,1.31,0.54,0.12,1.23,0.67,-0.37,1.80,0.86,0.39,0.76,0.58,0.33,214.38,215.65,215.36,124.15,124.63,124.98,14.46,6.94,3.08
"2015-07-10 12:30:00",0,0,0,19643.93,24730.34,5086.41,18858.08,714.95,3540.11,11511.67,23066.30,23071.84,5.54,0.51,-0.06,0.51,0.99,215.67,124.90,5.24,60.01,1.94,0.99,2.24,13.21,6.21,14.57,0,-1.93,0,17023.55,4213.35,3493.44,0.59,16.86,5068.96,4702.96,10208.53,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.34,1438.53,20099.04,16985.08,6705.10,10.88,221.04,6661.74,0.22,0.15,0.14,0.99,-0.73,-0.32,1.02,0.75,0.34,0.21,0.20,0.40,215.13,215.86,216.02,124.78,124.98,124.93,8.30,4.64,2.77
"2015-07-10 12:45:00",0,0,0,19644.06,24730.47,5086.41,18858.35,714.95,3540.11,11511.88,23066.46,23072.00,5.54,0.69,-0.17,0.71,0.97,215.50,124.81,6.31,59.93,0.53,0.28,0.65,13.21,6.21,14.57,0,-1.93,0,17023.62,4213.38,3493.47,0.59,16.86,5068.96,4703.22,10208.54,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.47,1438.61,20099.30,16985.22,6705.18,10.88,221.04,6661.74,0.38,0.16,0.15,1.04,-0.87,-0.34,1.11,0.88,0.37,0.34,0.18,0.41,214.94,215.75,215.81,124.78,124.93,124.71,8.87,7.07,2.98
"2015-07-10 13:00:00",0,0,0,19644.25,24730.66,5086.41,18858.67,714.95,3540.11,11512.05,23066.73,23072.27,5.54,0.98,0.20,1.00,0.98,214.74,124.36,5.82,60.02,0.54,0.22,0.64,13.21,6.21,14.57,0,-1.93,0,17023.70,4213.46,3493.51,0.59,16.86,5068.96,4703.48,10208.60,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.55,1438.70,20099.57,16985.38,6705.28,10.88,221.04,6661.74,0.17,0.58,0.23,0.93,-0.40,-0.32,0.95,0.70,0.40,0.18,0.82,0.58,214.28,214.89,215.05,124.13,124.54,124.42,7.58,5.85,4.01
"2015-07-10 13:15:00",0,0,0,19644.46,24730.88,5086.41,18859.01,714.95,3540.11,11512.17,23067.06,23072.60,5.54,0.73,1.31,1.50,0.48,213.87,123.87,5.61,60.02,0.79,0.69,1.15,13.21,6.21,14.57,0,-1.93,0,17023.79,4213.55,3493.54,0.59,16.86,5068.96,4703.73,10208.69,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.59,1438.78,20099.84,16985.55,6705.36,10.88,221.04,6661.74,0.41,0.35,0.11,0.86,0.69,-0.34,0.95,0.77,0.36,0.25,0.50,0.36,213.45,214.06,214.12,123.58,124.03,123.99,7.70,6.23,2.90
"2015-07-10 13:30:00",0,0,0,19644.65,24731.06,5086.41,18859.36,714.95,3540.11,11512.27,23067.39,23072.93,5.54,0.69,-0.21,0.72,0.96,214.59,124.28,5.47,59.95,0.85,0.89,1.35,13.21,6.21,14.57,0,-1.93,0,17023.85,4213.64,3493.58,0.59,16.86,5068.96,4703.96,10208.81,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.61,1438.86,20100.08,16985.72,6705.45,10.88,221.04,6661.74,0.21,0.33,0.15,0.85,-0.74,-0.33,0.88,0.81,0.36,0.24,0.41,0.41,214.20,214.55,215.02,124.11,124.45,124.29,6.88,6.21,2.88
"2015-07-10 13:45:00",0,0,0,19644.82,24731.23,5086.41,18859.65,714.95,3540.11,11512.40,23067.65,23073.18,5.54,0.47,0.05,0.47,0.99,214.83,124.42,5.17,60.01,0.73,1.01,1.29,13.21,6.21,14.57,0,-1.93,0,17023.90,4213.72,3493.61,0.59,16.86,5068.96,4704.17,10208.90,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.80,5334.66,1438.93,20100.30,16985.88,6705.53,10.88,221.04,6661.74,0.22,0.15,0.09,0.74,-0.41,-0.27,0.77,0.44,0.29,0.29,0.35,0.32,214.34,214.87,215.28,124.22,124.56,124.49,7.67,5.37,2.47
"2015-07-10 14:00:00",0,0,0,19644.94,24731.35,5086.41,18859.88,714.95,3540.11,11512.58,23067.83,23073.37,5.54,0.25,-0.05,0.25,0.98,213.89,123.88,4.33,60.01,0.64,0.56,0.98,13.21,6.21,14.57,0,-1.93,0,17023.96,4213.75,3493.64,0.59,16.86,5068.96,4704.36,10208.93,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.81,5334.77,1439.00,20100.50,16986.03,6705.61,10.88,221.04,6661.74,0.09,0.07,0.09,1.02,-0.73,-0.35,1.03,0.73,0.36,0.08,0.10,0.25,213.46,213.94,214.27,123.56,124.03,124.05,6.14,4.36,2.49
"2015-07-10 14:15:00",0,0,0,19645.07,24731.48,5086.41,18860.10,714.95,3540.11,11512.76,23068.01,23073.55,5.54,0.88,1.25,1.21,0.73,213.49,123.65,5.40,59.93,0.47,0.15,0.71,13.21,6.21,14.57,0,-1.93,0,17024.02,4213.79,3493.67,0.59,16.86,5068.96,4704.54,10208.97,3946.59,7.44,201.30,506.22,3.42,19.03,3517.66,4738.82,5334.87,1439.07,20100.70,16986.17,6705.69,10.88,221.04,6661.74,0.35,0.38,0.15,0.74,0.79,-0.27,0.82,0.87,0.31,0.43,0.43,0.49,213.15,213.45,213.89,123.21,123.85,123.92,6.93,6.10,2.73
