time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-10 15:30:00",0,0,0,19646.05,24732.47,5086.41,18861.43,714.96,3540.11,11513.54,23069.39,23074.93,5.54,0.49,-0.16,0.52,0.95,213.37,123.59,5.05,59.96,0.48,-0.03,0.68,13.21,6.21,14.57,0,-1.93,0,17024.36,4214.21,3493.89,0.59,16.86,5068.96,4705.48,10209.35,3946.60,7.44,201.30,506.22,3.42,19.03,3517.67,4738.83,5335.22,1439.49,20101.72,16987.04,6706.19,10.88,221.05,6661.74,0.24,0.15,0.10,0.68,-0.55,-0.29,0.72,0.57,0.30,0.33,0.27,0.33,212.74,213.59,213.79,123.57,123.39,123.81,6.65,5.80,2.70
"2015-07-10 15:45:00",0,0,0,19646.24,24732.65,5086.41,18861.71,714.96,3540.11,11513.66,23069.66,23075.20,5.54,0.77,1.08,1.33,0.58,212.75,123.23,4.72,60.00,0.47,0.13,0.74,13.21,6.21,14.57,0,-1.93,0,17024.43,4214.30,3493.92,0.59,16.86,5068.96,4705.66,10209.44,3946.61,7.44,201.30,506.22,3.42,19.03,3517.67,4738.83,5335.26,1439.56,20101.93,16987.21,6706.27,10.88,221.05,6661.74,0.34,0.32,0.11,0.77,0.61,-0.30,0.84,0.69,0.32,0.41,0.46,0.36,212.23,212.82,213.20,123.27,123.10,123.31,6.86,4.64,2.66
"2015-07-10 16:00:00",0,0,0,19646.45,24732.86,5086.41,18862.03,714.96,3540.11,11513.76,23069.99,23075.53,5.54,0.78,1.14,1.38,0.57,212.44,123.05,4.40,60.01,0.79,0.68,1.18,13.21,6.21,14.57,0,-1.93,0,17024.52,4214.39,3493.96,0.59,16.86,5068.96,4705.85,10209.57,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.83,5335.28,1439.64,20102.13,16987.39,6706.36,10.88,221.05,6661.74,0.30,0.38,0.11,0.89,0.57,-0.32,0.94,0.68,0.34,0.32,0.55,0.31,211.69,212.61,213.03,123.11,122.88,123.15,6.22,4.40,2.57
"2015-07-10 16:15:00",0,0,0,19646.66,24733.07,5086.41,18862.35,714.96,3540.11,11513.85,23070.31,23075.85,5.54,0.71,1.11,1.32,0.54,211.81,122.68,5.57,59.97,0.85,0.92,1.31,13.21,6.21,14.57,0,-1.93,0,17024.60,4214.48,3493.99,0.59,16.86,5068.96,4706.04,10209.70,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.83,5335.30,1439.72,20102.34,16987.57,6706.44,10.88,221.05,6661.74,0.22,0.33,0.14,0.73,-0.86,-0.35,0.76,0.92,0.37,0.28,0.46,0.42,211.37,211.96,212.11,122.77,122.62,122.66,6.17,7.49,3.04
"2015-07-10 16:30:00",0,0,0,19646.80,24733.22,5086.41,18862.59,714.96,3540.11,11514.04,23070.51,23076.05,5.54,0.42,-0.37,0.56,0.75,212.31,122.98,5.38,59.97,0.84,0.88,1.29,13.21,6.21,14.57,0,-1.93,0,17024.65,4214.54,3494.02,0.59,16.86,5068.96,4706.23,10209.75,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.83,5335.41,1439.80,20102.54,16987.74,6706.53,10.88,221.05,6661.74,0.17,0.13,0.11,0.79,-0.83,-0.32,0.80,0.84,0.34,0.22,0.16,0.32,211.90,212.36,212.63,122.97,122.90,123.04,6.09,6.02,2.64
"2015-07-10 16:45:00",0,0,0,19646.93,24733.34,5086.41,18862.78,714.96,3540.11,11514.27,23070.65,23076.19,5.54,0.42,-0.29,0.52,0.82,212.29,122.96,4.70,59.97,0.54,0.09,0.71,13.21,6.21,14.57,0,-1.93,0,17024.71,4214.58,3494.05,0.59,16.86,5068.96,4706.42,10209.76,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.83,5335.56,1439.87,20102.73,16987.90,6706.61,10.88,221.05,6661.74,0.20,0.12,0.11,0.77,-0.73,-0.34,0.80,0.74,0.35,0.25,0.16,0.31,211.66,212.43,212.78,122.98,122.94,122.96,6.51,5.07,2.52
"2015-07-10 17:00:00",0,0,0,19647.12,24733.54,5086.41,18863.04,714.96,3540.11,11514.46,23070.91,23076.45,5.54,4.01,0.82,4.10,0.98,210.45,121.90,14.14,59.94,0.47,-0.15,0.55,13.21,6.21,14.57,0,-1.93,0,17024.76,4214.67,3494.11,0.59,16.86,5068.96,4706.60,10209.83,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.83,5335.65,1439.97,20102.92,16988.10,6706.73,10.88,221.05,6661.74,0.20,2.03,1.79,0.75,1.17,-1.10,0.78,2.34,2.10,0.25,0.87,0.85,209.79,209.51,212.05,122.41,121.17,122.11,6.12,19.09,17.21
"2015-07-10 17:15:00",0,0,0,19647.40,24733.81,5086.41,18863.37,714.96,3540.11,11514.57,23071.29,23076.83,5.54,0.77,0.92,1.21,0.64,210.93,122.18,5.37,59.93,1.14,0.39,1.37,13.21,6.21,14.57,0,-1.93,0,17024.83,4214.80,3494.18,0.59,16.86,5068.96,4706.79,10209.98,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.84,5335.67,1440.07,20103.12,16988.32,6706.85,10.88,221.05,6661.74,0.35,0.32,0.11,0.74,0.74,-0.33,0.82,0.80,0.35,0.43,0.54,0.31,210.60,211.06,211.13,122.23,122.19,122.11,6.67,6.58,2.86
"2015-07-10 17:30:00",0,0,0,19647.61,24734.03,5086.41,18863.67,714.96,3540.12,11514.67,23071.60,23077.14,5.54,0.71,1.12,1.20,0.64,211.54,122.53,5.13,60.01,0.82,0.91,1.28,13.21,6.21,14.57,0,-1.93,0,17024.91,4214.89,3494.22,0.59,16.86,5068.96,4706.97,10210.09,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.84,5335.70,1440.14,20103.33,16988.49,6706.94,10.88,221.05,6661.75,0.30,0.29,0.12,0.75,0.69,-0.31,0.80,0.75,0.33,0.37,0.39,0.35,211.06,211.67,211.80,122.44,122.41,122.68,6.67,5.32,2.96
"2015-07-10 17:45:00",0,0,0,19647.81,24734.22,5086.41,18863.95,714.96,3540.12,11514.81,23071.88,23077.42,5.54,0.57,-0.00,0.57,1.00,212.55,123.11,4.45,60.01,0.85,0.76,1.25,13.21,6.21,14.57,0,-1.93,0,17025.00,4214.97,3494.25,0.59,16.86,5068.96,4707.16,10210.18,3946.61,7.44,201.31,506.22,3.42,19.03,3517.67,4738.84,5335.75,1440.22,20103.53,16988.66,6707.02,10.88,221.05,6661.75,0.33,0.12,0.12,0.77,-0.47,-0.30,0.84,0.48,0.32,0.40,0.24,0.37,212.16,212.85,212.65,122.90,123.22,123.20,6.80,3.92,2.61
