time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-10 22:15:00",0,0,0,19650.95,24737.37,5086.42,18869.04,715.01,3540.14,11517.68,23076.44,23081.99,5.55,0.63,0.07,0.63,0.99,212.81,123.23,5.44,60.01,0.60,0.18,0.69,13.21,6.21,14.57,0,-1.93,0,17026.21,4216.24,3494.91,0.60,16.86,5068.96,4711.04,10211.38,3946.62,7.47,201.32,506.22,3.42,19.04,3517.68,4738.91,5337.10,1441.68,20107.69,16991.59,6708.67,10.92,221.08,6661.76,0.24,0.14,0.25,1.00,-0.53,-0.40,1.03,0.55,0.47,0.24,0.25,0.53,212.58,212.83,213.02,123.14,123.54,123.03,8.06,4.58,3.69
"2015-07-10 22:30:00",0,0,0,19651.26,24737.68,5086.42,18869.42,715.01,3540.14,11517.82,23076.87,23082.42,5.55,0.70,1.11,1.31,0.53,212.49,123.05,5.34,59.93,0.67,0.24,0.81,13.21,6.21,14.57,0,-1.93,0,17026.27,4216.40,3495.01,0.60,16.86,5068.96,4711.28,10211.52,3946.62,7.47,201.32,506.22,3.42,19.04,3517.68,4738.91,5337.12,1441.79,20107.94,16991.82,6708.82,10.92,221.08,6661.76,0.27,0.33,0.12,0.98,0.52,-0.32,1.02,0.61,0.34,0.27,0.54,0.36,212.09,212.72,212.66,123.02,123.02,123.11,8.26,4.99,2.77
"2015-07-10 22:45:00",0,0,0,19651.44,24737.86,5086.42,18869.77,715.01,3540.14,11517.92,23077.19,23082.74,5.55,0.85,1.23,1.50,0.57,212.00,122.77,5.79,60.00,1.23,1.02,1.73,13.21,6.21,14.57,0,-1.93,0,17026.32,4216.49,3495.05,0.60,16.86,5068.96,4711.52,10211.63,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.91,5337.14,1441.87,20108.19,16991.98,6708.91,10.92,221.08,6661.76,0.22,0.49,0.13,0.94,0.65,-0.36,0.97,0.81,0.38,0.23,0.61,0.35,211.76,212.08,212.15,122.66,123.04,122.60,8.33,6.04,3.00
"2015-07-10 23:00:00",0,0,0,19651.63,24738.05,5086.42,18870.12,715.01,3540.14,11518.03,23077.52,23083.07,5.55,0.85,1.02,1.33,0.64,212.85,123.26,5.40,60.01,0.77,0.99,1.31,13.21,6.21,14.57,0,-1.93,0,17026.38,4216.59,3495.08,0.60,16.86,5068.96,4711.77,10211.74,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.91,5337.17,1441.95,20108.44,16992.15,6709.00,10.92,221.08,6661.76,0.30,0.37,0.18,0.80,0.53,-0.32,0.86,0.64,0.36,0.35,0.57,0.49,212.38,212.98,213.18,123.29,123.23,123.27,9.29,4.12,2.79
"2015-07-10 23:15:00",0,0,0,19651.79,24738.21,5086.42,18870.40,715.01,3540.14,11518.20,23077.73,23083.28,5.55,0.62,0.05,0.62,1.00,212.06,122.80,5.27,60.02,0.74,0.96,1.28,13.21,6.21,14.57,0,-1.93,0,17026.46,4216.64,3495.11,0.60,16.86,5068.96,4712.01,10211.77,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.91,5337.26,1442.03,20108.70,16992.30,6709.09,10.92,221.08,6661.76,0.29,0.17,0.13,0.96,-0.57,-0.32,1.00,0.59,0.35,0.34,0.22,0.40,211.93,212.19,212.05,122.69,123.10,122.62,8.19,4.81,2.81
"2015-07-10 23:30:00",0,0,0,19651.98,24738.40,5086.42,18870.65,715.01,3540.14,11518.40,23077.95,23083.50,5.55,0.50,-0.18,0.53,0.94,213.33,123.53,5.25,60.01,0.60,0.34,0.80,13.21,6.21,14.57,0,-1.93,0,17026.59,4216.67,3495.14,0.60,16.86,5068.96,4712.24,10211.79,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.91,5337.38,1442.11,20108.96,16992.44,6709.17,10.92,221.08,6661.76,0.16,0.13,0.08,1.03,-0.57,-0.31,1.04,0.58,0.32,0.26,0.14,0.39,212.92,213.45,213.61,123.47,123.48,123.64,8.42,4.72,2.61
"2015-07-10 23:45:00",0,0,0,19652.14,24738.56,5086.42,18870.95,715.02,3540.14,11518.56,23078.20,23083.76,5.55,0.78,1.44,1.64,0.48,212.21,122.89,5.53,60.01,0.75,0.20,0.86,13.21,6.21,14.57,0,-1.93,0,17026.64,4216.75,3495.17,0.60,16.86,5068.96,4712.47,10211.86,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.92,5337.45,1442.20,20109.21,16992.60,6709.27,10.92,221.08,6661.76,0.26,0.39,0.14,0.97,0.81,-0.34,1.00,0.90,0.36,0.26,0.44,0.37,211.92,212.39,212.33,122.98,122.98,122.72,8.02,5.85,2.70
"2015-07-11 00:00:00",0,0,0,19652.36,24738.78,5086.42,18871.30,715.02,3540.14,11518.67,23078.55,23084.10,5.55,0.86,1.19,1.47,0.59,212.73,123.18,5.04,59.90,0.69,0.65,1.10,13.21,6.21,14.57,0,-1.93,0,17026.73,4216.84,3495.21,0.60,16.86,5068.96,4712.71,10211.97,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.92,5337.47,1442.28,20109.46,16992.77,6709.36,10.92,221.08,6661.76,0.35,0.36,0.15,1.00,0.52,-0.33,1.06,0.63,0.36,0.34,0.56,0.42,212.41,212.79,212.98,123.22,123.33,123.00,8.45,3.81,2.86
"2015-07-11 00:15:00",0,0,0,19652.58,24739.00,5086.42,18871.64,715.02,3540.14,11518.78,23078.88,23084.44,5.55,0.82,1.19,1.45,0.57,213.90,123.86,5.31,59.95,0.89,1.00,1.39,13.21,6.21,14.57,0,-1.93,0,17026.82,4216.94,3495.24,0.60,16.86,5068.96,4712.95,10212.07,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.92,5337.50,1442.36,20109.72,16992.93,6709.44,10.92,221.08,6661.76,0.36,0.32,0.14,0.94,0.55,-0.30,1.00,0.63,0.33,0.36,0.50,0.43,213.27,214.29,214.13,123.52,124.02,124.04,9.02,4.19,2.73
"2015-07-11 00:30:00",0,0,0,19652.77,24739.19,5086.42,18871.96,715.02,3540.14,11518.93,23079.14,23084.70,5.55,0.63,0.26,0.68,0.92,214.56,124.24,5.01,60.01,0.87,0.92,1.34,13.21,6.21,14.57,0,-1.93,0,17026.91,4217.01,3495.27,0.60,16.86,5068.96,4713.20,10212.13,3946.62,7.48,201.32,506.22,3.42,19.04,3517.68,4738.92,5337.58,1442.44,20109.98,16993.09,6709.53,10.92,221.08,6661.76,0.35,0.14,0.14,0.95,-0.40,-0.29,1.01,0.42,0.32,0.34,0.34,0.44,213.81,214.84,215.03,124.23,124.26,124.25,8.55,3.51,2.96
