time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-11 05:00:00",0,0,0,19659.71,24746.13,5086.42,18878.21,715.02,3540.15,11521.88,23087.34,23092.90,5.55,2.29,1.40,2.37,0.98,215.87,125.00,8.48,60.01,2.20,0.99,2.50,13.21,6.21,14.57,0,-1.93,0,17031.10,4218.73,3496.30,0.60,16.86,5068.96,4718.21,10213.37,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5338.82,1444.09,20116.86,16996.22,6711.55,10.93,221.08,6661.77,1.57,0.56,0.16,1.38,0.40,-0.37,2.09,0.68,0.40,0.75,0.81,0.41,215.15,216.26,216.16,124.65,125.06,125.28,16.27,5.44,3.22
"2015-07-11 05:15:00",0,0,0,19660.21,24746.64,5086.42,18878.59,715.02,3540.15,11522.05,23087.90,23093.46,5.55,2.08,0.49,2.24,0.98,215.54,124.81,8.26,60.02,2.20,1.09,2.53,13.21,6.21,14.57,0,-1.93,0,17031.48,4218.81,3496.34,0.60,16.86,5068.96,4718.54,10213.43,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5338.91,1444.18,20117.36,16996.38,6711.65,10.93,221.08,6661.77,1.70,0.13,0.25,1.33,-0.44,-0.40,2.16,0.46,0.47,0.79,0.29,0.53,215.04,215.77,215.80,124.30,125.18,124.95,17.34,3.64,3.79
"2015-07-11 05:30:00",0,0,0,19660.87,24747.29,5086.42,18878.96,715.02,3540.15,11522.28,23088.58,23094.14,5.55,1.68,1.22,2.08,0.81,216.27,125.23,7.31,60.02,1.99,0.73,2.18,13.21,6.21,14.57,0,-1.93,0,17031.88,4218.92,3496.50,0.60,16.86,5068.96,4718.85,10213.48,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.01,1444.30,20117.87,16996.59,6711.85,10.93,221.08,6661.77,1.38,0.20,0.10,1.20,0.36,-0.34,1.83,0.41,0.35,0.76,0.48,0.29,215.51,216.75,216.54,124.44,125.65,125.61,14.38,4.59,2.94
"2015-07-11 05:45:00",0,0,0,19661.49,24747.92,5086.42,18879.35,715.02,3540.15,11522.51,23089.24,23094.79,5.55,4.87,-1.24,5.03,0.97,218.51,126.53,15.61,60.01,2.60,0.57,2.71,13.21,6.21,14.57,0,-1.93,0,17032.27,4219.05,3496.60,0.60,16.86,5068.96,4719.17,10213.54,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.11,1444.43,20118.38,16996.80,6712.02,10.93,221.08,6661.77,0.83,2.08,1.97,-1.11,1.04,-1.18,1.38,2.33,2.29,0.60,0.89,0.86,217.72,218.65,219.16,126.15,126.54,126.90,10.23,18.43,18.17
"2015-07-11 06:00:00",0,0,0,19662.67,24749.09,5086.42,18879.90,715.02,3540.15,11522.78,23090.46,23096.01,5.55,2.41,2.04,3.16,0.76,214.78,124.38,9.36,60.02,2.91,0.69,3.04,13.21,6.21,14.57,0,-1.93,0,17032.66,4219.46,3496.97,0.60,16.86,5068.96,4719.50,10213.77,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.13,1444.68,20118.90,16997.29,6712.48,10.93,221.08,6661.77,1.95,0.42,0.22,1.23,0.64,-0.36,2.31,0.76,0.42,0.74,0.48,0.41,214.09,215.19,215.05,123.77,124.60,124.76,18.63,6.12,3.35
"2015-07-11 06:15:00",0,0,0,19663.72,24750.14,5086.42,18880.43,715.02,3540.15,11523.01,23091.56,23097.11,5.55,5.66,1.12,5.77,0.98,214.28,124.08,18.19,59.96,4.34,1.12,4.53,13.21,6.21,14.57,0,-1.93,0,17033.08,4219.80,3497.26,0.60,16.86,5068.96,4719.85,10213.96,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.14,1444.89,20119.44,16997.69,6712.84,10.93,221.08,6661.77,1.61,2.16,1.89,1.25,1.10,-1.23,2.04,2.42,2.25,0.79,0.89,0.84,213.54,214.46,214.84,123.64,124.09,124.51,17.14,19.30,18.12
"2015-07-11 06:30:00",0,0,0,19664.54,24750.96,5086.42,18880.91,715.02,3540.15,11523.20,23092.45,23098.00,5.55,2.15,0.03,2.15,1.00,214.58,124.26,8.35,60.01,4.65,1.25,4.85,13.21,6.21,14.57,0,-1.93,0,17033.52,4220.03,3497.42,0.60,16.86,5068.96,4720.19,10214.09,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.19,1445.04,20120.00,16997.99,6713.06,10.93,221.08,6661.77,1.69,0.33,0.14,0.99,-0.62,-0.35,1.96,0.70,0.37,0.86,0.47,0.37,213.98,215.07,214.70,123.60,124.60,124.58,17.49,4.48,3.06
"2015-07-11 06:45:00",0,0,0,19665.04,24751.46,5086.42,18881.28,715.02,3540.15,11523.37,23093.00,23098.55,5.55,1.87,0.04,1.87,1.00,215.69,124.90,8.24,60.02,2.80,1.11,3.09,13.21,6.21,14.57,0,-1.93,0,17033.90,4220.11,3497.45,0.60,16.86,5068.96,4720.50,10214.14,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.27,1445.12,20120.49,16998.15,6713.16,10.93,221.08,6661.77,1.53,0.18,0.15,1.19,-0.82,-0.33,1.94,0.84,0.37,0.79,0.22,0.41,215.16,216.04,215.88,124.27,125.25,125.17,16.19,5.46,3.06
"2015-07-11 07:00:00",0,0,0,19665.49,24751.91,5086.42,18881.61,715.02,3540.15,11523.58,23093.48,23099.04,5.55,1.62,0.42,1.67,0.97,215.85,124.99,7.75,60.01,1.96,0.68,2.13,13.21,6.21,14.57,0,-1.93,0,17034.27,4220.16,3497.49,0.60,16.86,5068.96,4720.82,10214.16,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.40,1445.21,20120.99,16998.30,6713.25,10.93,221.08,6661.77,1.44,0.22,0.20,1.05,-0.77,-0.26,1.78,0.80,0.32,0.81,0.28,0.61,215.30,216.20,216.05,124.42,125.36,125.20,14.30,6.36,2.59
"2015-07-11 07:15:00",0,0,0,19665.95,24752.38,5086.42,18881.95,715.02,3540.15,11523.78,23093.97,23099.53,5.55,1.84,1.42,2.18,0.98,216.33,125.27,7.75,60.02,1.81,0.49,1.93,13.21,6.21,14.57,0,-1.93,0,17034.64,4220.22,3497.52,0.60,16.86,5068.96,4721.14,10214.18,3946.63,7.48,201.32,506.22,3.42,19.04,3517.69,4738.97,5339.51,1445.30,20121.47,16998.45,6713.34,10.93,221.08,6661.77,1.36,0.37,0.11,1.15,0.64,-0.37,1.78,0.74,0.38,0.76,0.49,0.29,215.75,216.61,216.63,124.64,125.56,125.60,14.30,5.88,3.06
