time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-11 08:15:00",0,0,0,19668.08,24754.51,5086.42,18883.54,715.02,3540.16,11524.38,23096.39,23101.95,5.55,1.85,0.46,1.87,0.99,216.15,125.16,7.78,60.10,2.18,1.11,2.51,13.21,6.21,14.57,0,-1.93,0,17036.21,4220.62,3497.67,0.60,16.86,5068.96,4722.44,10214.47,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5339.75,1445.65,20123.52,16999.13,6713.73,10.93,221.08,6661.77,1.51,0.21,0.13,1.31,-0.51,-0.34,2.00,0.55,0.36,0.76,0.38,0.34,215.57,216.38,216.43,124.66,125.38,125.40,15.96,6.34,2.77
"2015-07-11 08:30:00",0,0,0,19668.53,24754.96,5086.42,18883.88,715.02,3540.16,11524.58,23096.87,23102.43,5.55,1.80,-0.10,1.80,1.00,216.14,125.16,7.46,60.01,1.95,0.64,2.09,13.21,6.21,14.57,0,-1.93,0,17036.58,4220.67,3497.70,0.60,16.86,5068.96,4722.76,10214.49,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5339.88,1445.73,20124.02,16999.28,6713.82,10.93,221.08,6661.77,1.48,0.17,0.14,1.01,-0.71,-0.40,1.79,0.73,0.43,0.83,0.24,0.34,215.60,216.49,216.34,124.50,125.48,125.49,15.89,3.49,3.00
"2015-07-11 08:45:00",0,0,0,19669.01,24755.43,5086.42,18884.24,715.02,3540.16,11524.77,23097.39,23102.95,5.55,2.21,1.47,2.66,0.83,216.10,125.13,8.60,60.02,1.80,0.50,1.91,13.21,6.21,14.57,0,-1.93,0,17036.96,4220.74,3497.74,0.60,16.86,5068.96,4723.08,10214.53,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5339.98,1445.82,20124.51,16999.44,6713.91,10.93,221.08,6661.77,1.41,0.59,0.21,1.35,0.46,-0.34,1.95,0.75,0.40,0.72,0.79,0.53,215.44,216.43,216.43,124.69,125.23,125.47,15.38,7.10,3.31
"2015-07-11 09:00:00",0,0,0,19669.54,24755.96,5086.42,18884.64,715.02,3540.16,11524.91,23098.01,23103.56,5.55,2.31,1.42,2.71,0.85,216.11,125.13,8.66,60.01,1.95,0.79,2.17,13.21,6.21,14.57,0,-1.93,0,17037.34,4220.85,3497.77,0.60,16.86,5068.96,4723.40,10214.61,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.03,1445.90,20125.02,16999.63,6714.00,10.93,221.08,6661.78,1.63,0.55,0.13,1.37,0.47,-0.37,2.13,0.73,0.39,0.78,0.73,0.33,215.49,216.35,216.50,124.67,125.26,125.47,17.05,5.79,3.12
"2015-07-11 09:15:00",0,0,0,19670.09,24756.51,5086.42,18885.06,715.02,3540.16,11525.05,23098.64,23104.19,5.55,2.15,1.32,2.53,0.85,216.14,125.15,8.49,60.02,2.15,1.08,2.48,13.21,6.21,14.57,0,-1.93,0,17037.74,4220.96,3497.81,0.60,16.86,5068.96,4723.73,10214.70,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.08,1445.99,20125.54,16999.80,6714.10,10.93,221.08,6661.78,1.60,0.40,0.15,1.32,0.35,-0.34,2.07,0.53,0.38,0.77,0.76,0.41,215.38,216.56,216.49,124.55,125.29,125.62,17.09,5.60,2.77
"2015-07-11 09:30:00",0,0,0,19670.63,24757.06,5086.42,18885.47,715.02,3540.16,11525.19,23099.27,23104.82,5.55,2.18,0.18,2.19,1.00,216.29,125.24,8.53,60.01,2.18,1.11,2.51,13.21,6.21,14.57,0,-1.93,0,17038.15,4221.06,3497.85,0.60,16.86,5068.96,4724.06,10214.78,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.14,1446.07,20126.06,16999.97,6714.19,10.93,221.08,6661.78,1.68,0.36,0.14,1.12,-0.55,-0.38,2.02,0.66,0.41,0.83,0.55,0.35,215.73,216.55,216.58,124.61,125.48,125.62,17.20,5.31,3.08
"2015-07-11 09:45:00",0,0,0,19671.11,24757.53,5086.42,18885.82,715.02,3540.16,11525.39,23099.77,23105.33,5.55,1.84,0.28,1.86,0.99,216.26,125.22,7.78,59.95,2.17,1.06,2.50,13.21,6.21,14.57,0,-1.93,0,17038.53,4221.12,3497.88,0.60,16.86,5068.96,4724.39,10214.80,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.25,1446.16,20126.56,17000.13,6714.29,10.93,221.08,6661.78,1.51,0.19,0.13,1.23,-0.61,-0.34,1.95,0.64,0.36,0.78,0.30,0.36,215.70,216.60,216.49,124.66,125.42,125.58,15.92,4.77,2.66
"2015-07-11 10:00:00",0,0,0,19671.56,24757.98,5086.42,18886.15,715.02,3540.16,11525.61,23100.25,23105.80,5.55,1.75,0.52,1.82,0.96,215.78,124.94,8.01,60.01,1.86,0.52,1.96,13.21,6.21,14.57,0,-1.93,0,17038.90,4221.17,3497.91,0.60,16.86,5068.96,4724.71,10214.82,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.39,1446.25,20127.06,17000.28,6714.38,10.93,221.08,6661.78,1.41,0.16,0.11,1.40,-0.63,-0.35,1.98,0.65,0.37,0.77,0.33,0.32,215.40,216.00,215.94,124.50,125.24,125.09,15.94,5.15,2.94
"2015-07-11 10:15:00",0,0,0,19672.06,24758.48,5086.42,18886.53,715.02,3540.16,11525.77,23100.81,23106.36,5.55,2.02,1.89,2.76,0.73,216.14,125.15,7.71,59.98,1.80,0.45,1.89,13.21,6.21,14.57,0,-1.93,0,17039.27,4221.26,3497.95,0.60,16.86,5068.96,4725.03,10214.87,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.46,1446.33,20127.55,17000.44,6714.47,10.93,221.08,6661.78,1.55,0.40,0.16,1.17,0.44,-0.31,1.94,0.60,0.35,0.80,0.67,0.46,215.57,216.39,216.36,124.61,125.36,125.42,16.20,5.93,3.08
"2015-07-11 10:30:00",0,0,0,19672.59,24759.02,5086.42,18886.95,715.02,3540.16,11525.91,23101.43,23106.98,5.55,2.22,1.66,2.77,0.80,216.24,125.21,8.13,60.01,2.03,0.92,2.31,13.21,6.21,14.57,0,-1.93,0,17039.66,4221.36,3497.99,0.60,16.86,5068.96,4725.35,10214.96,3946.63,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.51,1446.42,20128.06,17000.62,6714.57,10.93,221.08,6661.78,1.65,0.39,0.17,1.30,0.70,-0.35,2.10,0.81,0.39,0.79,0.49,0.44,215.67,216.49,216.55,124.57,125.48,125.58,16.95,4.30,3.14
