time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-11 11:45:00",0,0,0,19676.21,24762.64,5086.42,18889.48,715.02,3540.16,11526.51,23105.59,23111.14,5.55,3.46,1.52,3.78,0.92,214.63,124.28,11.75,60.01,3.13,1.65,3.55,13.21,6.21,14.57,0,-1.93,0,17042.31,4221.83,3498.50,0.60,16.86,5068.96,4727.04,10215.25,3947.19,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.92,1446.62,20131.22,17001.48,6715.50,10.93,221.08,6661.78,2.50,0.42,0.54,1.08,-0.36,0.80,2.73,0.55,0.97,0.92,0.76,0.56,214.30,215.09,214.49,123.63,124.74,124.48,22.77,5.17,7.31
"2015-07-11 12:00:00",0,0,0,19677.06,24763.48,5086.42,18890.08,715.02,3540.16,11526.57,23106.61,23112.16,5.55,3.38,2.81,4.39,0.77,215.43,124.75,11.60,60.01,3.40,2.27,4.12,13.21,6.21,14.57,0,-1.93,0,17042.93,4221.94,3498.62,0.60,16.86,5068.96,4727.38,10215.33,3947.37,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5340.97,1446.62,20131.93,17001.65,6715.71,10.93,221.08,6661.78,2.52,0.48,0.48,1.27,0.44,0.71,2.82,0.65,0.86,0.83,0.69,0.59,214.90,215.94,215.44,124.03,125.12,125.09,22.74,5.20,6.86
"2015-07-11 12:15:00",0,0,0,19677.88,24764.30,5086.42,18890.68,715.02,3540.16,11526.61,23107.61,23113.16,5.55,3.53,1.47,3.83,0.92,216.10,125.14,11.67,60.01,3.39,2.19,4.08,13.21,6.21,14.57,0,-1.93,0,17043.53,4222.05,3498.72,0.60,16.86,5068.96,4727.72,10215.42,3947.54,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5341.02,1446.62,20132.63,17001.83,6715.91,10.93,221.08,6661.78,2.58,0.52,0.50,1.30,-0.54,0.54,2.88,0.75,0.74,0.89,0.70,0.68,215.53,216.50,216.29,124.66,125.25,125.51,23.14,6.02,5.87
"2015-07-11 12:30:00",0,0,0,19678.40,24764.82,5086.42,18891.21,715.02,3540.16,11526.68,23108.32,23113.88,5.55,1.42,1.65,2.17,0.65,216.24,125.22,7.46,60.02,3.26,2.20,3.97,13.21,6.21,14.57,0,-1.93,0,17043.87,4222.13,3498.82,0.60,16.86,5068.96,4728.00,10215.49,3947.72,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5341.08,1446.62,20133.06,17001.99,6716.12,10.93,221.08,6661.78,0.95,0.16,0.31,1.40,-0.50,0.75,1.69,0.53,0.81,0.56,0.31,0.38,215.77,216.49,216.47,125.02,125.39,125.25,10.86,5.59,5.94
"2015-07-11 12:45:00",0,0,0,19678.76,24765.18,5086.42,18891.69,715.02,3540.16,11526.77,23108.85,23114.41,5.55,1.23,2.54,2.83,0.44,216.86,125.58,6.99,60.02,1.85,1.79,2.62,13.21,6.21,14.57,0,-1.93,0,17044.11,4222.17,3498.90,0.60,16.86,5068.96,4728.26,10215.53,3947.90,7.48,201.32,506.22,3.42,19.04,3517.70,4738.97,5341.18,1446.62,20133.43,17002.13,6716.31,10.93,221.08,6661.78,0.79,0.15,0.29,1.20,0.66,0.68,1.44,0.68,0.74,0.55,0.22,0.40,216.37,217.01,217.22,125.45,125.60,125.68,10.28,4.79,5.90
"2015-07-11 13:00:00",0,0,0,19678.89,24765.32,5086.42,18891.99,715.02,3540.16,11526.94,23109.09,23114.64,5.55,0.76,0.98,1.24,0.62,216.92,125.61,5.09,60.02,1.30,1.39,1.98,13.21,6.21,14.57,0,-1.93,0,17044.17,4222.21,3498.93,0.60,16.86,5068.96,4728.50,10215.58,3947.90,7.48,201.32,506.22,3.42,19.04,3517.70,4738.98,5341.26,1446.70,20133.69,17002.28,6716.40,10.93,221.08,6661.78,0.28,0.35,0.13,0.87,0.42,-0.31,0.91,0.54,0.33,0.31,0.64,0.39,216.39,216.91,217.47,125.70,125.51,125.62,8.44,4.12,2.70
"2015-07-11 13:15:00",0,0,0,19679.08,24765.51,5086.42,18892.33,715.02,3540.16,11527.06,23109.41,23114.96,5.55,0.82,-0.17,0.84,0.98,216.87,125.59,6.09,60.02,0.56,0.58,0.97,13.21,6.21,14.57,0,-1.93,0,17044.23,4222.31,3498.97,0.60,16.86,5068.96,4728.75,10215.68,3947.90,7.48,201.32,506.22,3.42,19.04,3517.70,4738.99,5341.30,1446.78,20133.95,17002.45,6716.49,10.93,221.08,6661.78,0.20,0.34,0.11,1.13,0.79,-0.27,1.14,0.86,0.29,0.17,0.39,0.39,216.32,216.79,217.49,125.54,125.48,125.74,9.12,5.84,2.64
"2015-07-11 13:30:00",0,0,0,19679.29,24765.71,5086.42,18892.68,715.02,3540.17,11527.18,23109.75,23115.31,5.55,0.99,1.52,1.82,0.54,216.92,125.62,5.82,60.01,0.77,0.92,1.32,13.21,6.21,14.57,0,-1.93,0,17044.30,4222.41,3499.00,0.60,16.86,5068.96,4729.00,10215.78,3947.90,7.48,201.32,506.22,3.42,19.04,3517.70,4738.99,5341.33,1446.86,20134.22,17002.62,6716.57,10.93,221.08,6661.78,0.32,0.50,0.17,1.12,0.71,-0.31,1.17,0.87,0.35,0.28,0.57,0.47,216.42,216.81,217.52,125.60,125.46,125.79,7.98,6.66,2.84
"2015-07-11 13:45:00",0,0,0,19679.51,24765.94,5086.42,18893.06,715.02,3540.17,11527.29,23110.12,23115.67,5.55,0.83,1.03,1.32,0.63,216.60,125.43,5.84,59.93,0.86,0.89,1.37,13.21,6.21,14.57,0,-1.93,0,17044.39,4222.51,3499.04,0.60,16.86,5068.96,4729.26,10215.89,3947.90,7.48,201.32,506.22,3.42,19.04,3517.70,4738.99,5341.35,1446.94,20134.49,17002.78,6716.66,10.93,221.08,6661.78,0.38,0.32,0.12,0.99,0.38,-0.34,1.06,0.50,0.36,0.36,0.65,0.34,216.09,216.48,217.22,125.45,125.28,125.56,9.13,5.52,2.88
"2015-07-11 14:00:00",0,0,0,19679.69,24766.12,5086.42,18893.38,715.02,3540.17,11527.44,23110.38,23115.94,5.55,0.69,0.07,0.70,0.99,216.03,125.10,4.94,60.01,0.86,1.13,1.45,13.21,6.21,14.57,0,-1.93,0,17044.48,4222.57,3499.07,0.60,16.86,5068.96,4729.52,10215.95,3947.90,7.48,201.32,506.22,3.42,19.04,3517.70,4738.99,5341.43,1447.02,20134.77,17002.93,6716.75,10.93,221.08,6661.78,0.41,0.13,0.15,0.89,-0.50,-0.32,0.98,0.52,0.35,0.42,0.25,0.43,215.67,216.09,216.34,125.02,125.09,125.20,7.86,4.16,2.79
