time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-11 15:00:00",0,0,0,19680.47,24766.89,5086.42,18894.73,715.03,3540.17,11528.00,23111.63,23117.18,5.55,0.81,1.26,1.50,0.54,214.51,124.23,5.13,60.01,0.74,1.08,1.35,13.21,6.21,14.57,0,-1.93,0,17044.73,4222.91,3499.25,0.60,16.86,5068.96,4730.51,10216.32,3947.90,7.49,201.32,506.22,3.42,19.04,3517.70,4739.01,5341.62,1447.37,20135.80,17003.61,6717.16,10.94,221.08,6661.78,0.36,0.28,0.17,0.87,0.71,-0.32,0.94,0.77,0.36,0.38,0.37,0.46,214.16,214.31,215.05,124.30,124.14,124.24,7.15,4.87,3.37
"2015-07-11 15:15:00",0,0,0,19680.68,24767.11,5086.42,18895.09,715.03,3540.17,11528.10,23111.97,23117.53,5.55,0.81,1.18,1.48,0.52,214.02,123.94,5.29,59.99,0.85,1.03,1.38,13.21,6.21,14.57,0,-1.93,0,17044.81,4223.00,3499.29,0.60,16.86,5068.96,4730.76,10216.43,3947.90,7.49,201.32,506.22,3.42,19.04,3517.70,4739.01,5341.64,1447.45,20136.07,17003.78,6717.25,10.94,221.08,6661.78,0.38,0.32,0.11,0.97,0.51,-0.30,1.04,0.60,0.32,0.37,0.52,0.35,213.68,214.05,214.51,124.00,123.89,124.04,8.99,5.06,2.79
"2015-07-11 15:30:00",0,0,0,19680.83,24767.25,5086.42,18895.35,715.03,3540.17,11528.30,23112.14,23117.70,5.55,0.45,-0.03,0.45,1.00,214.27,124.09,5.53,60.01,0.83,0.96,1.32,13.21,6.21,14.57,0,-1.93,0,17044.88,4223.05,3499.32,0.60,16.86,5068.96,4731.01,10216.44,3947.90,7.49,201.32,506.22,3.42,19.04,3517.70,4739.01,5341.77,1447.53,20136.32,17003.92,6717.33,10.94,221.08,6661.78,0.22,0.14,0.09,0.93,-0.61,-0.35,0.95,0.62,0.36,0.23,0.22,0.25,213.74,214.46,214.62,123.88,124.06,124.33,8.40,5.50,2.68
"2015-07-11 15:45:00",0,0,0,19680.95,24767.37,5086.42,18895.61,715.03,3540.17,11528.52,23112.28,23117.83,5.55,0.44,0.29,0.52,0.83,214.18,124.04,5.25,59.99,0.56,0.19,0.63,13.21,6.21,14.57,0,-1.93,0,17044.94,4223.08,3499.35,0.60,16.86,5068.96,4731.25,10216.45,3947.90,7.49,201.32,506.22,3.42,19.04,3517.70,4739.01,5341.90,1447.61,20136.58,17004.06,6717.42,10.94,221.08,6661.78,0.20,0.11,0.12,0.99,-0.37,-0.32,1.01,0.39,0.35,0.20,0.29,0.36,213.56,214.16,214.82,124.12,123.87,124.13,8.16,4.64,2.96
"2015-07-11 16:00:00",0,0,0,19681.12,24767.54,5086.42,18895.93,715.03,3540.17,11528.65,23112.57,23118.13,5.55,0.78,1.13,1.38,0.57,213.63,123.72,5.50,59.98,0.47,0.17,0.55,13.21,6.21,14.57,0,-1.93,0,17045.00,4223.17,3499.38,0.60,16.86,5068.96,4731.49,10216.54,3947.91,7.49,201.32,506.22,3.42,19.04,3517.70,4739.01,5341.94,1447.69,20136.83,17004.22,6717.51,10.94,221.08,6661.78,0.27,0.35,0.16,0.84,0.62,-0.32,0.88,0.71,0.36,0.31,0.50,0.45,212.95,213.68,214.26,123.86,123.49,123.79,8.86,4.47,3.16
"2015-07-11 16:15:00",0,0,0,19681.31,24767.74,5086.42,18896.28,715.03,3540.17,11528.76,23112.90,23118.46,5.55,0.88,1.10,1.41,0.63,212.69,123.17,5.46,60.01,0.73,0.84,1.25,13.21,6.21,14.57,0,-1.93,0,17045.06,4223.26,3499.41,0.60,16.86,5068.96,4731.73,10216.65,3947.91,7.49,201.32,506.22,3.42,19.04,3517.71,4739.02,5341.97,1447.77,20137.08,17004.39,6717.60,10.94,221.08,6661.78,0.34,0.32,0.13,0.99,0.55,-0.31,1.04,0.64,0.33,0.36,0.66,0.29,212.20,212.58,213.28,123.33,122.87,123.31,8.44,5.22,2.70
"2015-07-11 16:30:00",0,0,0,19681.53,24767.95,5086.42,18896.62,715.03,3540.17,11528.87,23113.23,23118.78,5.55,0.90,1.38,1.65,0.54,213.07,123.39,5.97,60.01,0.80,0.97,1.31,13.21,6.21,14.57,0,-1.93,0,17045.15,4223.35,3499.45,0.60,16.86,5068.96,4731.97,10216.75,3947.91,7.49,201.32,506.22,3.42,19.04,3517.71,4739.02,5342.00,1447.85,20137.34,17004.56,6717.68,10.94,221.08,6661.78,0.42,0.33,0.14,1.06,0.64,-0.32,1.14,0.72,0.35,0.37,0.46,0.41,212.57,213.09,213.56,123.44,123.28,123.46,9.25,5.84,2.81
"2015-07-11 16:45:00",0,0,0,19681.73,24768.16,5086.42,18896.95,715.03,3540.17,11529.00,23113.54,23119.09,5.55,0.73,0.06,0.73,1.00,214.16,124.02,5.36,60.01,0.85,0.93,1.34,13.21,6.21,14.57,0,-1.93,0,17045.23,4223.44,3499.48,0.60,16.86,5068.96,4732.21,10216.83,3947.91,7.49,201.32,506.22,3.42,19.04,3517.71,4739.02,5342.05,1447.93,20137.60,17004.72,6717.77,10.94,221.08,6661.78,0.35,0.29,0.09,1.04,-0.62,-0.36,1.10,0.68,0.37,0.32,0.43,0.24,213.39,214.43,214.65,123.83,123.79,124.43,8.87,4.56,2.64
"2015-07-11 17:00:00",0,0,0,19681.86,24768.28,5086.42,18897.20,715.03,3540.17,11529.21,23113.68,23119.23,5.55,0.38,1.24,1.29,0.29,213.92,123.88,4.54,59.99,0.79,0.69,1.14,13.21,6.21,14.57,0,-1.93,0,17045.29,4223.48,3499.51,0.60,16.86,5068.96,4732.45,10216.84,3947.91,7.49,201.32,506.22,3.42,19.04,3517.71,4739.02,5342.18,1448.01,20137.85,17004.86,6717.86,10.94,221.08,6661.78,0.16,0.13,0.09,0.93,0.65,-0.34,0.94,0.66,0.35,0.18,0.19,0.24,213.18,214.25,214.34,123.69,123.91,124.06,6.95,3.71,2.96
"2015-07-11 17:15:00",0,0,0,19681.98,24768.40,5086.42,18897.46,715.03,3540.17,11529.40,23113.86,23119.41,5.56,0.76,1.27,1.48,0.51,213.65,123.73,5.23,59.99,0.47,0.19,0.57,13.21,6.21,14.57,0,-1.93,0,17045.35,4223.52,3499.54,0.60,16.86,5068.96,4732.69,10216.87,3947.91,7.49,201.32,506.22,3.42,19.04,3517.71,4739.02,5342.29,1448.09,20138.10,17005.00,6717.94,10.94,221.08,6661.78,0.23,0.37,0.15,0.98,0.41,-0.35,1.01,0.55,0.38,0.26,0.49,0.45,213.24,213.88,213.84,123.71,123.57,123.90,8.14,4.44,3.10
