time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-11 18:30:00",0,0,0,19683.01,24769.43,5086.42,18899.10,715.03,3540.18,11530.09,23115.38,23120.94,5.56,0.03,-0.05,0.76,0.89,213.22,123.47,5.29,60.02,0.71,0.51,0.98,13.21,6.21,14.57,0,-1.93,0,17045.70,4223.96,3499.77,0.60,16.87,5068.96,4733.89,10217.30,3947.91,7.49,201.32,506.22,3.42,19.05,3517.71,4739.03,5342.54,1448.52,20139.36,17005.85,6718.44,10.94,221.09,6661.78,0.06,0.00,-0.03,0.95,-0.60,-0.41,0.95,0.60,0.41,0.06,0.01,-0.08,212.69,213.33,213.69,123.24,123.55,123.66,7.27,5.50,2.54
"2015-07-11 18:45:00",0,0,0,19683.14,24769.56,5086.42,18899.39,715.03,3540.18,11530.25,23115.59,23121.15,5.56,0.68,1.26,1.44,0.48,212.91,123.29,5.09,60.01,0.47,0.23,0.66,13.21,6.21,14.57,0,-1.93,0,17045.75,4224.02,3499.80,0.60,16.87,5068.96,4734.13,10217.36,3947.91,7.49,201.32,506.22,3.42,19.05,3517.71,4739.03,5342.62,1448.60,20139.60,17006.00,6718.53,10.94,221.09,6661.78,0.19,0.34,0.16,1.00,0.60,-0.33,1.01,0.69,0.37,0.19,0.49,0.42,212.23,213.15,213.35,123.02,123.40,123.46,7.72,4.62,2.92
"2015-07-11 19:00:00",0,0,0,19683.33,24769.75,5086.42,18899.72,715.03,3540.18,11530.37,23115.90,23121.46,5.56,0.88,1.11,1.42,0.62,212.55,123.09,5.54,60.09,0.58,0.60,0.93,13.21,6.21,14.57,0,-1.93,0,17045.81,4224.11,3499.83,0.60,16.87,5068.96,4734.36,10217.46,3947.91,7.49,201.32,506.22,3.42,19.05,3517.71,4739.03,5342.66,1448.68,20139.85,17006.17,6718.61,10.94,221.09,6661.78,0.25,0.51,0.12,1.01,0.43,-0.32,1.04,0.67,0.35,0.24,0.77,0.36,212.11,212.73,212.82,122.97,123.18,123.12,8.46,5.39,2.77
"2015-07-11 19:15:00",0,0,0,19683.55,24769.97,5086.42,18900.05,715.03,3540.18,11530.50,23116.23,23121.78,5.56,0.87,1.34,1.59,0.55,212.94,123.31,5.37,60.02,0.77,0.81,1.23,13.21,6.21,14.57,0,-1.93,0,17045.89,4224.21,3499.87,0.60,16.87,5068.96,4734.60,10217.54,3947.91,7.49,201.32,506.22,3.42,19.05,3517.71,4739.03,5342.71,1448.76,20140.10,17006.34,6718.70,10.94,221.09,6661.79,0.64,0.29,0.04,1.07,0.37,-0.27,1.25,0.46,0.27,0.54,0.39,-0.15,212.53,213.38,212.89,122.97,123.47,123.50,10.13,3.76,2.21
"2015-07-11 19:30:00",0,0,0,19683.76,24770.19,5086.42,18900.38,715.03,3540.18,11530.62,23116.56,23122.11,5.56,0.92,0.45,1.16,0.96,214.16,124.02,5.66,60.02,0.88,0.82,1.30,13.21,6.21,14.57,0,-1.93,0,17045.98,4224.31,3499.90,0.60,16.87,5068.96,4734.84,10217.64,3947.91,7.49,201.32,506.22,3.42,19.05,3517.71,4739.04,5342.75,1448.83,20140.36,17006.50,6718.79,10.94,221.09,6661.79,0.51,0.30,0.11,1.17,-0.45,-0.27,1.27,0.54,0.29,0.40,0.56,0.39,213.54,214.45,214.51,123.62,124.13,124.33,10.29,4.36,2.34
"2015-07-11 19:45:00",0,0,0,19683.98,24770.40,5086.42,18900.65,715.03,3540.18,11530.81,23116.81,23122.37,5.56,0.42,0.15,0.44,0.94,214.37,124.14,5.06,59.93,0.85,0.83,1.31,13.21,6.21,14.57,0,-1.93,0,17046.11,4224.36,3499.93,0.60,16.87,5068.96,4735.07,10217.67,3947.91,7.49,201.32,506.22,3.42,19.05,3517.71,4739.04,5342.85,1448.91,20140.64,17006.65,6718.87,10.94,221.09,6661.79,0.17,0.11,0.13,0.98,-0.52,-0.31,0.99,0.53,0.33,0.17,0.21,0.40,213.93,214.58,214.59,123.89,124.24,124.31,7.87,4.29,3.02
"2015-07-11 20:00:00",0,0,0,19684.09,24770.52,5086.43,18900.90,715.03,3540.18,11531.01,23116.97,23122.52,5.56,0.66,-0.05,0.66,1.00,214.86,124.43,5.16,60.01,0.81,0.23,0.94,13.21,6.21,14.57,0,-1.93,0,17046.17,4224.39,3499.96,0.60,16.87,5068.96,4735.31,10217.68,3947.91,7.49,201.32,506.22,3.42,19.05,3517.71,4739.04,5342.97,1448.99,20140.89,17006.79,6718.96,10.94,221.09,6661.79,0.37,0.15,0.13,1.05,-0.76,-0.33,1.11,0.78,0.36,0.33,0.19,0.37,214.39,214.98,215.21,124.18,124.36,124.75,9.85,3.12,2.52
"2015-07-11 20:15:00",0,0,0,19684.29,24770.72,5086.43,18901.21,715.03,3540.18,11531.15,23117.26,23122.81,5.56,0.68,1.06,1.26,0.54,213.77,123.80,4.62,60.02,0.48,0.22,0.65,13.21,6.21,14.57,0,-1.93,0,17046.25,4224.47,3499.99,0.60,16.87,5068.96,4735.55,10217.75,3947.91,7.50,201.32,506.22,3.42,19.05,3517.71,4739.05,5343.03,1449.07,20141.14,17006.95,6719.04,10.94,221.09,6661.79,0.36,0.31,0.05,0.82,0.38,-0.32,0.89,0.49,0.33,0.40,0.45,0.13,213.28,214.02,214.02,123.26,124.04,124.11,7.24,3.98,2.64
"2015-07-11 20:30:00",0,0,0,19684.51,24770.93,5086.43,18901.54,715.03,3540.18,11531.27,23117.58,23123.13,5.56,0.77,1.16,1.55,0.47,214.11,124.00,5.28,60.01,0.83,0.77,1.23,13.21,6.21,14.57,0,-1.93,0,17046.34,4224.56,3500.03,0.60,16.87,5068.96,4735.79,10217.84,3947.91,7.50,201.32,506.22,3.42,19.05,3517.71,4739.05,5343.08,1449.15,20141.40,17007.11,6719.13,10.94,221.09,6661.79,0.34,0.32,0.11,0.99,0.48,-0.31,1.05,0.58,0.33,0.33,0.55,0.34,213.61,214.21,214.50,123.76,123.94,124.29,8.51,4.23,2.70
"2015-07-11 20:45:00",0,0,0,19684.84,24771.26,5086.43,18901.92,715.03,3540.19,11531.40,23118.03,23123.58,5.56,0.92,1.23,1.54,0.60,213.33,123.54,5.21,60.02,0.86,0.84,1.30,13.21,6.21,14.57,0,-1.93,0,17046.43,4224.71,3500.12,0.60,16.87,5068.96,4736.04,10217.98,3947.91,7.50,201.32,506.22,3.42,19.05,3517.71,4739.05,5343.10,1449.26,20141.66,17007.34,6719.28,10.94,221.09,6661.79,0.33,0.46,0.13,0.86,0.67,-0.30,0.92,0.81,0.33,0.36,0.56,0.40,212.60,213.45,213.94,123.37,123.43,123.83,7.29,5.54,2.79
