time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-11 21:45:00",0,0,0,19685.46,24771.89,5086.43,18903.08,715.04,3540.19,11532.05,23118.95,23124.50,5.56,0.68,1.48,1.63,0.42,214.18,124.06,5.49,60.01,0.51,0.30,0.67,13.21,6.21,14.57,0,-1.93,0,17046.68,4224.97,3500.25,0.60,16.87,5068.96,4736.97,10218.20,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.06,5343.42,1449.58,20142.64,17007.95,6719.62,10.95,221.09,6661.79,0.26,0.29,0.14,1.11,0.71,-0.33,1.14,0.76,0.36,0.23,0.37,0.38,213.46,214.82,214.27,123.64,124.13,124.41,8.52,5.24,2.73
"2015-07-11 22:00:00",0,0,0,19685.67,24772.10,5086.43,18903.44,715.04,3540.19,11532.15,23119.29,23124.84,5.56,0.80,1.16,1.41,0.57,214.50,124.24,4.97,60.01,0.72,0.93,1.26,13.21,6.21,14.57,0,-1.93,0,17046.75,4225.06,3500.28,0.60,16.87,5068.96,4737.21,10218.32,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.06,5343.44,1449.66,20142.90,17008.12,6719.71,10.95,221.09,6661.79,0.26,0.38,0.16,0.87,0.64,-0.36,0.91,0.74,0.39,0.29,0.51,0.41,213.84,215.10,214.56,123.57,124.31,124.82,7.83,4.46,2.64
"2015-07-11 22:15:00",0,0,0,19685.89,24772.31,5086.43,18903.77,715.04,3540.19,11532.26,23119.61,23125.17,5.56,1.04,1.20,1.58,0.65,212.32,122.98,5.31,60.01,0.84,0.98,1.35,13.21,6.21,14.57,0,-1.93,0,17046.84,4225.16,3500.32,0.60,16.87,5068.96,4737.44,10218.42,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.07,5343.47,1449.73,20143.15,17008.28,6719.80,10.95,221.09,6661.79,0.33,0.54,0.17,0.97,0.54,-0.32,1.03,0.76,0.36,0.32,0.70,0.47,211.76,213.12,212.07,122.45,123.14,123.34,7.85,5.29,2.79
"2015-07-11 22:30:00",0,0,0,19686.08,24772.51,5086.43,18904.07,715.04,3540.19,11532.41,23119.89,23125.45,5.56,0.62,0.23,0.66,0.94,213.05,123.40,5.79,59.97,0.89,0.89,1.34,13.21,6.21,14.57,0,-1.93,0,17046.92,4225.24,3500.35,0.60,16.87,5068.96,4737.68,10218.49,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.07,5343.53,1449.81,20143.40,17008.44,6719.89,10.95,221.09,6661.79,0.34,0.15,0.13,0.93,-0.79,-0.32,0.99,0.81,0.35,0.35,0.18,0.38,212.44,213.84,213.09,123.02,123.57,123.75,8.09,3.51,2.70
"2015-07-11 22:45:00",0,0,0,19686.21,24772.63,5086.43,18904.32,715.04,3540.19,11532.61,23120.04,23125.59,5.56,0.44,0.13,0.46,0.96,213.53,123.68,4.83,60.02,0.72,0.57,1.02,13.21,6.21,14.57,0,-1.93,0,17046.98,4225.27,3500.38,0.60,16.87,5068.96,4737.91,10218.50,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.07,5343.65,1449.89,20143.64,17008.58,6719.97,10.95,221.09,6661.79,0.22,0.14,0.08,0.93,-0.51,-0.29,0.96,0.53,0.31,0.22,0.27,0.27,212.96,214.09,213.54,123.31,123.82,123.92,7.77,4.25,2.47
"2015-07-11 23:00:00",0,0,0,19686.34,24772.76,5086.43,18904.58,715.04,3540.19,11532.80,23120.24,23125.80,5.56,0.73,1.20,1.40,0.52,213.47,123.65,4.74,60.01,0.47,0.14,0.57,13.21,6.21,14.57,0,-1.93,0,17047.04,4225.32,3500.41,0.60,16.87,5068.96,4738.13,10218.55,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.09,5343.74,1449.97,20143.88,17008.73,6720.05,10.95,221.09,6661.79,0.24,0.35,0.15,0.94,0.56,-0.30,0.97,0.66,0.34,0.24,0.52,0.43,212.85,213.98,213.60,123.26,123.93,123.76,7.77,3.79,2.66
"2015-07-11 23:15:00",0,0,0,19686.52,24772.95,5086.43,18904.90,715.04,3540.19,11532.92,23120.55,23126.11,5.56,0.94,1.15,1.48,0.64,212.41,123.04,5.28,60.01,0.56,0.39,0.89,13.21,6.21,14.57,0,-1.93,0,17047.09,4225.42,3500.44,0.60,16.87,5068.96,4738.34,10218.66,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.11,5343.77,1450.04,20144.12,17008.89,6720.14,10.95,221.09,6661.79,0.24,0.54,0.15,0.95,0.34,-0.30,0.98,0.63,0.34,0.25,0.85,0.45,212.03,212.81,212.39,122.75,123.15,123.21,7.96,5.15,2.73
"2015-07-11 23:30:00",0,0,0,19686.73,24773.16,5086.43,18905.22,715.04,3540.19,11533.04,23120.88,23126.44,5.56,1.08,-0.39,1.14,0.94,213.82,123.85,5.21,60.02,0.76,0.80,1.27,13.21,6.21,14.57,0,-1.93,0,17047.16,4225.52,3500.48,0.60,16.87,5068.96,4738.55,10218.76,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.13,5343.79,1450.12,20144.37,17009.06,6720.22,10.95,221.09,6661.79,0.38,0.46,0.23,-0.88,0.78,-0.29,0.96,0.90,0.37,0.40,0.51,0.63,213.04,214.36,214.07,123.52,123.77,124.27,6.84,5.07,3.71
"2015-07-11 23:45:00",0,0,0,19686.95,24773.37,5086.43,18905.56,715.04,3540.19,11533.15,23121.21,23126.77,5.56,0.83,1.32,1.56,0.53,213.08,123.42,5.71,59.93,0.84,0.82,1.31,13.21,6.21,14.57,0,-1.93,0,17047.25,4225.61,3500.51,0.60,16.87,5068.96,4738.79,10218.87,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.13,5343.82,1450.20,20144.62,17009.23,6720.31,10.95,221.09,6661.79,0.34,0.34,0.15,0.95,0.72,-0.35,1.01,0.79,0.38,0.34,0.43,0.38,212.21,213.72,213.31,123.13,123.26,123.89,8.14,6.12,2.86
"2015-07-12 00:00:00",0,0,0,19687.22,24773.65,5086.43,18905.87,715.04,3540.19,11533.33,23121.55,23127.10,5.56,0.72,0.06,0.73,1.00,213.26,123.53,4.92,60.01,0.84,0.95,1.32,13.21,6.21,14.57,0,-1.93,0,17047.33,4225.72,3500.60,0.60,16.87,5068.96,4739.01,10218.94,3947.91,7.50,201.32,506.22,3.42,19.05,3517.72,4739.14,5343.90,1450.30,20144.87,17009.42,6720.45,10.95,221.09,6661.79,0.42,0.17,0.14,0.85,-0.47,-0.33,0.95,0.50,0.36,0.44,0.33,0.40,212.46,213.88,213.45,123.20,123.59,123.80,8.96,3.26,2.54
