time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-12 01:15:00",0,0,0,19688.18,24774.61,5086.43,18907.31,715.05,3540.19,11534.10,23122.92,23128.47,5.56,0.55,1.31,1.43,0.39,211.79,122.68,4.62,60.01,0.97,0.86,1.40,13.21,6.21,14.57,0,-1.93,0,17047.67,4226.17,3500.76,0.60,16.87,5068.96,4740.14,10219.26,3947.91,7.51,201.32,506.22,3.42,19.05,3517.72,4739.17,5344.24,1450.69,20146.08,17010.27,6720.87,10.96,221.09,6661.79,0.29,0.16,0.10,1.06,0.56,-0.31,1.10,0.58,0.33,0.26,0.28,0.31,211.24,212.60,211.53,122.27,122.93,122.84,7.33,3.90,2.64
"2015-07-12 01:30:00",0,0,0,19688.31,24774.74,5086.43,18907.55,715.05,3540.19,11534.31,23123.08,23128.63,5.56,0.39,-0.03,0.39,1.00,211.97,122.79,5.26,59.99,0.97,0.17,1.04,13.21,6.21,14.57,0,-1.93,0,17047.74,4226.21,3500.79,0.60,16.87,5068.96,4740.37,10219.28,3947.91,7.51,201.32,506.22,3.42,19.05,3517.72,4739.17,5344.37,1450.77,20146.33,17010.41,6720.95,10.96,221.09,6661.80,0.21,0.09,0.09,0.93,-0.65,-0.31,0.95,0.66,0.32,0.22,0.14,0.27,211.26,212.89,211.76,122.25,122.98,123.14,7.84,5.45,2.49
"2015-07-12 01:45:00",0,0,0,19688.48,24774.90,5086.43,18907.89,715.05,3540.19,11534.42,23123.37,23128.92,5.56,0.68,1.34,1.50,0.46,212.98,123.37,5.01,60.01,0.54,0.17,0.65,13.21,6.21,14.57,0,-1.93,0,17047.80,4226.28,3500.82,0.60,16.87,5068.96,4740.60,10219.38,3947.91,7.51,201.32,506.22,3.42,19.05,3517.72,4739.17,5344.40,1450.85,20146.57,17010.57,6721.04,10.96,221.09,6661.80,0.24,0.35,0.17,0.96,0.40,-0.28,0.99,0.53,0.33,0.24,0.41,0.39,211.79,214.08,213.06,122.94,123.26,123.92,8.01,4.33,2.68
"2015-07-12 02:00:00",0,0,0,19688.66,24775.08,5086.43,18908.20,715.05,3540.19,11534.55,23123.66,23129.22,5.56,0.64,1.34,1.37,0.47,212.60,123.15,5.71,60.01,0.67,0.97,1.23,13.21,6.21,14.57,0,-1.93,0,17047.85,4226.37,3500.86,0.60,16.87,5068.96,4740.81,10219.48,3947.91,7.51,201.32,506.22,3.42,19.05,3517.72,4739.19,5344.43,1450.93,20146.81,17010.73,6721.13,10.96,221.09,6661.80,0.20,0.32,0.12,0.88,0.80,-0.33,0.90,0.86,0.35,0.23,0.37,0.34,212.11,213.57,212.67,123.06,123.25,123.47,8.14,4.59,2.68
"2015-07-12 02:15:00",0,0,0,19688.85,24775.28,5086.43,18908.54,715.05,3540.19,11534.66,23123.99,23129.55,5.56,0.70,0.59,0.92,0.77,214.80,124.43,5.15,60.01,0.71,0.74,1.20,13.21,6.21,14.57,0,-1.93,0,17047.92,4226.46,3500.89,0.60,16.87,5068.96,4741.04,10219.59,3947.91,7.51,201.32,506.22,3.42,19.05,3517.72,4739.20,5344.46,1451.00,20147.05,17010.90,6721.21,10.96,221.09,6661.80,0.24,0.33,0.14,1.23,-0.38,-0.26,1.26,0.50,0.29,0.19,0.65,0.47,213.99,215.39,215.03,124.15,124.54,124.60,7.95,4.79,2.70
"2015-07-12 02:30:00",0,0,0,19689.06,24775.49,5086.43,18908.86,715.05,3540.19,11534.79,23124.32,23129.87,5.56,0.80,0.71,1.06,0.75,214.44,124.22,5.04,60.02,0.80,0.91,1.31,13.21,6.21,14.57,0,-1.93,0,17048.01,4226.56,3500.92,0.60,16.87,5068.96,4741.27,10219.69,3947.91,7.51,201.32,506.22,3.42,19.05,3517.72,4739.21,5344.49,1451.08,20147.31,17011.06,6721.30,10.96,221.09,6661.80,0.35,0.31,0.14,0.63,0.39,-0.31,0.72,0.50,0.34,0.49,0.63,0.40,213.72,215.09,214.51,123.86,124.35,124.44,6.89,5.34,2.90
"2015-07-12 02:45:00",0,0,0,19689.43,24775.85,5086.43,18909.23,715.06,3540.19,11534.92,23124.78,23130.34,5.56,2.29,1.43,2.69,0.85,213.69,123.78,8.72,60.00,0.85,0.74,1.29,13.21,6.21,14.57,0,-1.93,0,17048.23,4226.66,3500.96,0.60,16.87,5068.96,4741.55,10219.78,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5344.53,1451.16,20147.69,17011.23,6721.39,10.97,221.09,6661.80,1.60,0.55,0.14,1.30,0.58,-0.34,2.06,0.80,0.37,0.78,0.69,0.39,212.92,214.67,213.33,123.05,123.98,124.22,16.73,5.24,2.81
"2015-07-12 03:00:00",0,0,0,19690.05,24776.48,5086.43,18909.65,715.06,3540.19,11535.07,23125.48,23131.04,5.56,2.18,1.72,2.73,0.81,214.05,123.99,8.88,59.93,1.65,1.03,2.04,13.21,6.21,14.57,0,-1.93,0,17048.61,4226.82,3501.06,0.60,16.87,5068.96,4741.85,10219.89,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5344.58,1451.27,20148.17,17011.46,6721.54,10.97,221.09,6661.80,1.47,0.57,0.14,1.32,0.74,-0.35,1.98,0.94,0.38,0.74,0.61,0.37,213.29,215.03,213.87,123.24,124.21,124.54,15.31,6.56,2.94
"2015-07-12 03:15:00",0,0,0,19690.56,24776.99,5086.43,18910.05,715.06,3540.19,11535.20,23126.07,23131.63,5.56,2.05,1.49,2.54,0.81,214.94,124.50,8.41,60.01,2.48,1.06,2.76,13.21,6.21,14.57,0,-1.93,0,17048.97,4226.93,3501.09,0.60,16.87,5068.96,4742.16,10219.98,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5344.62,1451.36,20148.65,17011.63,6721.63,10.97,221.09,6661.80,1.50,0.42,0.14,1.14,0.70,-0.35,1.88,0.82,0.38,0.80,0.51,0.36,213.85,216.03,214.95,123.52,124.73,125.25,15.26,6.84,3.12
"2015-07-12 03:30:00",0,0,0,19691.07,24777.50,5086.43,18910.45,715.06,3540.19,11535.33,23126.65,23132.21,5.56,1.99,1.33,2.39,0.83,214.77,124.40,7.55,60.01,2.02,1.08,2.34,13.21,6.21,14.57,0,-1.93,0,17049.33,4227.03,3501.13,0.60,16.87,5068.96,4742.47,10220.07,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5344.67,1451.45,20149.13,17011.80,6721.73,10.97,221.09,6661.80,1.51,0.35,0.13,1.16,0.51,-0.34,1.90,0.62,0.37,0.79,0.56,0.36,214.07,215.42,214.81,123.77,124.69,124.75,15.87,3.69,3.08
