time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-12 04:30:00",0,0,0,19693.06,24779.49,5086.43,18911.91,715.06,3540.19,11536.00,23128.86,23134.41,5.56,1.89,1.48,2.40,0.79,215.07,124.58,7.58,59.96,2.09,1.05,2.39,13.21,6.21,14.57,0,-1.93,0,17050.88,4227.33,3501.27,0.60,16.87,5068.96,4743.73,10220.28,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.00,1451.78,20151.13,17012.44,6722.09,10.97,221.09,6661.80,1.43,0.34,0.12,1.37,0.43,-0.33,1.98,0.55,0.35,0.72,0.62,0.36,214.62,215.48,215.10,123.77,124.98,124.98,15.16,4.89,2.70
"2015-07-12 04:45:00",0,0,0,19693.57,24780.00,5086.43,18912.32,715.06,3540.19,11536.13,23129.45,23135.00,5.56,2.11,1.71,2.71,0.78,216.10,125.17,8.55,60.02,2.03,1.05,2.34,13.21,6.21,14.57,0,-1.93,0,17051.25,4227.44,3501.31,0.60,16.87,5068.96,4744.04,10220.37,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.05,1451.87,20151.61,17012.61,6722.19,10.97,221.09,6661.80,1.56,0.38,0.16,1.30,0.77,-0.36,2.03,0.86,0.39,0.77,0.45,0.41,215.43,216.40,216.47,124.62,125.36,125.53,15.80,6.49,3.37
"2015-07-12 05:00:00",0,0,0,19694.10,24780.53,5086.43,18912.72,715.06,3540.19,11536.27,23130.06,23135.61,5.56,2.38,1.74,2.95,0.81,216.11,125.17,8.52,60.01,2.04,1.07,2.36,13.21,6.21,14.57,0,-1.93,0,17051.64,4227.55,3501.34,0.60,16.87,5068.96,4744.36,10220.45,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.10,1451.95,20152.12,17012.79,6722.28,10.97,221.09,6661.80,1.63,0.56,0.18,1.34,0.75,-0.36,2.11,0.94,0.40,0.77,0.60,0.45,215.29,216.29,216.75,124.62,125.24,125.66,16.68,5.81,3.06
"2015-07-12 05:15:00",0,0,0,19694.62,24781.04,5086.43,18913.10,715.06,3540.19,11536.45,23130.62,23136.18,5.56,1.91,0.38,1.94,0.98,216.64,125.48,7.95,60.01,2.18,1.08,2.49,13.21,6.21,14.57,0,-1.93,0,17052.04,4227.62,3501.38,0.60,16.87,5068.96,4744.69,10220.50,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.19,1452.04,20152.64,17012.95,6722.38,10.97,221.09,6661.80,1.63,0.16,0.12,1.19,-0.46,-0.35,2.02,0.48,0.37,0.81,0.33,0.32,215.89,216.98,217.05,124.88,125.72,125.85,16.86,4.07,2.92
"2015-07-12 05:30:00",0,0,0,19695.11,24781.53,5086.43,18913.44,715.06,3540.20,11536.66,23131.14,23136.69,5.56,2.05,-0.34,2.07,0.99,216.73,125.53,8.23,60.02,2.01,0.72,2.17,13.21,6.21,14.57,0,-1.93,0,17052.44,4227.68,3501.41,0.60,16.87,5068.97,4745.01,10220.51,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.31,1452.12,20153.16,17013.10,6722.47,10.97,221.09,6661.80,1.79,0.13,0.13,0.68,-0.71,-0.31,1.91,0.72,0.34,0.93,0.18,0.38,215.99,217.05,217.14,125.02,125.63,125.95,17.66,4.17,2.86
"2015-07-12 05:45:00",0,0,0,19695.69,24782.12,5086.43,18913.83,715.06,3540.20,11536.85,23131.77,23137.33,5.56,2.11,1.44,2.56,0.83,215.25,124.65,8.55,59.93,2.14,0.54,2.25,13.21,6.21,14.57,0,-1.93,0,17052.81,4227.80,3501.50,0.60,16.87,5068.97,4745.33,10220.59,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.39,1452.24,20153.64,17013.31,6722.62,10.97,221.09,6661.80,1.55,0.40,0.16,1.25,0.53,-0.34,1.99,0.67,0.38,0.78,0.61,0.43,214.49,215.59,215.69,124.09,124.84,125.02,16.09,6.48,3.08
"2015-07-12 06:00:00",0,0,0,19696.20,24782.63,5086.43,18914.22,715.06,3540.20,11536.99,23132.36,23137.92,5.56,2.17,1.41,2.58,0.84,215.23,124.64,8.56,60.01,2.16,0.82,2.39,13.21,6.21,14.57,0,-1.93,0,17053.18,4227.91,3501.54,0.60,16.87,5068.97,4745.64,10220.67,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.45,1452.32,20154.13,17013.49,6722.71,10.97,221.09,6661.80,1.46,0.57,0.17,1.26,0.65,-0.36,1.93,0.86,0.40,0.74,0.79,0.40,214.32,215.72,215.64,124.03,124.68,125.19,15.56,6.92,3.20
"2015-07-12 06:15:00",0,0,0,19696.72,24783.15,5086.43,18914.61,715.06,3540.20,11537.13,23132.96,23138.52,5.56,2.14,1.72,2.75,0.78,215.59,124.84,7.87,60.02,2.07,1.00,2.38,13.21,6.21,14.57,0,-1.93,0,17053.55,4228.03,3501.58,0.60,16.87,5068.97,4745.95,10220.74,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.50,1452.41,20154.62,17013.66,6722.81,10.97,221.09,6661.80,1.38,0.57,0.19,1.46,0.64,-0.37,2.00,0.86,0.42,0.69,0.67,0.46,214.74,215.95,216.08,124.27,125.06,125.20,14.97,5.63,3.00
"2015-07-12 06:30:00",0,0,0,19697.27,24783.70,5086.43,18915.01,715.06,3540.20,11537.27,23133.58,23139.14,5.56,2.13,1.62,2.68,0.79,215.66,124.88,8.24,60.02,2.08,0.99,2.37,13.21,6.21,14.57,0,-1.93,0,17053.95,4228.13,3501.62,0.60,16.87,5068.97,4746.27,10220.82,3947.91,7.52,201.32,506.22,3.42,19.05,3517.72,4739.22,5345.55,1452.50,20155.13,17013.83,6722.90,10.97,221.09,6661.80,1.68,0.31,0.14,1.30,0.65,-0.32,2.12,0.72,0.35,0.79,0.43,0.40,215.05,215.84,216.10,124.39,125.04,125.22,17.39,4.58,2.75
"2015-07-12 06:45:00",0,0,0,19697.78,24784.21,5086.43,18915.37,715.06,3540.20,11537.45,23134.15,23139.70,5.56,1.97,0.27,1.99,0.99,216.19,125.19,8.88,60.02,2.18,1.07,2.51,13.21,6.21,14.57,0,-1.93,0,17054.35,4228.21,3501.65,0.60,16.87,5068.97,4746.60,10220.87,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5345.64,1452.58,20155.65,17013.99,6723.00,10.97,221.09,6661.80,1.58,0.23,0.16,1.40,-0.79,-0.35,2.11,0.82,0.38,0.75,0.28,0.42,215.52,216.43,216.63,124.63,125.41,125.53,16.61,7.05,2.98
