time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kWh)","Accumulated Real Energy, Phase B, Import (kWh)","Accumulated Real Energy, Phase C, Import (kWh)","Accumulated Real Energy, Phase A, Export (kWh)","Accumulated Real Energy, Phase B, Export (kWh)","Accumulated Real Energy, Phase C, Export (kWh)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2015-07-12 08:00:00",0,0,0,19700.33,24786.76,5086.43,18917.31,715.06,3540.20,11538.24,23137.03,23142.58,5.56,2.14,0.46,2.19,0.98,215.52,124.80,8.27,59.96,2.11,1.10,2.45,13.21,6.21,14.57,0,-1.93,0,17056.27,4228.66,3501.83,0.60,16.87,5068.97,4748.21,10221.19,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.00,1453.02,20158.16,17014.83,6723.47,10.97,221.09,6661.80,1.58,0.38,0.16,1.38,-0.46,-0.36,2.10,0.59,0.39,0.75,0.64,0.40,214.65,215.78,216.07,124.14,124.93,125.28,16.77,4.17,3.06
"2015-07-12 08:15:00",0,0,0,19700.84,24787.27,5086.43,18917.67,715.06,3540.20,11538.44,23137.56,23143.12,5.56,1.89,0.26,1.91,0.99,215.97,125.05,8.04,59.95,2.17,1.11,2.51,13.21,6.21,14.57,0,-1.93,0,17056.67,4228.73,3501.87,0.60,16.87,5068.97,4748.54,10221.22,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.11,1453.11,20158.68,17014.99,6723.57,10.97,221.09,6661.80,1.62,0.17,0.11,1.34,-0.73,-0.35,2.10,0.75,0.36,0.77,0.22,0.29,215.27,216.27,216.37,124.45,125.27,125.45,16.98,4.20,2.94
"2015-07-12 08:30:00",0,0,0,19701.41,24787.84,5086.43,18918.03,715.06,3540.20,11538.68,23138.16,23143.71,5.56,5.14,1.21,5.28,0.97,215.90,125.01,16.77,60.01,1.99,0.56,2.09,13.21,6.21,14.57,0,-1.93,0,17057.05,4228.83,3501.96,0.60,16.87,5068.97,4748.87,10221.26,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.23,1453.22,20159.19,17015.19,6723.72,10.97,221.09,6661.80,1.44,1.82,1.88,1.35,1.10,-1.25,1.98,2.13,2.25,0.73,0.86,0.83,215.09,215.88,216.72,124.70,124.95,125.38,15.78,16.68,17.86
"2015-07-12 08:45:00",0,0,0,19701.91,24788.34,5086.43,18918.42,715.06,3540.20,11538.84,23138.72,23144.28,5.56,2.08,1.39,2.50,0.83,216.46,125.33,8.17,59.95,2.29,0.52,2.36,13.21,6.21,14.57,0,-1.93,0,17057.42,4228.93,3501.99,0.60,16.87,5068.97,4749.19,10221.32,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.31,1453.31,20159.68,17015.36,6723.82,10.97,221.09,6661.80,1.50,0.41,0.16,1.38,0.34,-0.33,2.04,0.53,0.37,0.74,0.77,0.44,215.76,216.64,216.97,124.80,125.50,125.70,15.78,5.60,3.12
"2015-07-12 09:00:00",0,0,0,19702.43,24788.86,5086.43,18918.84,715.06,3540.20,11538.98,23139.32,23144.88,5.56,2.14,0.05,2.14,1.00,216.49,125.35,8.32,60.00,2.02,1.00,2.31,13.21,6.21,14.57,0,-1.93,0,17057.79,4229.03,3502.03,0.60,16.87,5068.97,4749.51,10221.42,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.35,1453.40,20160.18,17015.53,6723.92,10.97,221.09,6661.80,1.39,0.42,0.14,1.56,0.51,-0.35,2.09,0.66,0.38,0.85,0.52,0.42,215.76,216.75,216.96,124.89,125.39,125.77,16.70,5.26,3.00
"2015-07-12 09:15:00",0,0,0,19702.96,24789.38,5086.43,18919.25,715.06,3540.20,11539.12,23139.94,23145.49,5.56,2.26,0.11,2.64,0.76,216.00,125.07,7.96,60.02,2.07,1.10,2.41,13.21,6.21,14.57,0,-1.93,0,17058.18,4229.14,3502.07,0.60,16.87,5068.97,4749.84,10221.50,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.41,1453.49,20160.68,17015.71,6724.01,10.97,221.09,6661.81,1.77,0.37,0.12,0.93,-0.47,-0.36,2.00,0.60,0.38,0.89,0.62,0.31,215.54,216.17,216.24,124.51,125.43,125.24,18.16,5.88,2.90
"2015-07-12 09:30:00",0,0,0,19703.50,24789.93,5086.43,18919.66,715.06,3540.20,11539.26,23140.57,23146.12,5.56,2.31,1.55,2.78,0.83,216.17,125.17,8.85,60.01,2.13,1.06,2.47,13.21,6.21,14.57,0,-1.93,0,17058.58,4229.24,3502.10,0.60,16.87,5068.97,4750.17,10221.58,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.46,1453.58,20161.21,17015.88,6724.11,10.97,221.09,6661.81,1.58,0.59,0.15,1.30,0.62,-0.38,2.04,0.86,0.41,0.77,0.69,0.36,215.42,216.56,216.54,124.50,125.34,125.66,16.69,6.66,3.20
"2015-07-12 09:45:00",0,0,0,19704.00,24790.42,5086.43,18920.01,715.06,3540.20,11539.47,23141.09,23146.64,5.56,2.04,0.46,2.09,0.98,215.99,125.06,8.22,59.95,2.19,1.05,2.51,13.21,6.21,14.57,0,-1.93,0,17058.98,4229.30,3502.14,0.60,16.87,5068.97,4750.50,10221.60,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.58,1453.67,20161.73,17016.04,6724.20,10.97,221.09,6661.81,1.68,0.22,0.14,1.24,-0.44,-0.34,2.09,0.49,0.37,0.80,0.46,0.38,215.29,216.33,216.34,124.37,125.44,125.38,17.26,4.54,2.88
"2015-07-12 10:00:00",0,0,0,19704.45,24790.88,5086.43,18920.33,715.06,3540.20,11539.69,23141.56,23147.12,5.56,1.78,0.39,1.82,0.98,215.75,124.92,7.95,60.00,1.93,0.49,2.03,13.21,6.21,14.57,0,-1.93,0,17059.36,4229.35,3502.17,0.60,16.87,5068.97,4750.82,10221.60,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.72,1453.75,20162.22,17016.18,6724.29,10.97,221.09,6661.81,1.48,0.18,0.10,1.34,-0.59,-0.34,2.00,0.62,0.36,0.78,0.31,0.34,215.08,216.17,215.98,124.32,125.13,125.32,16.07,4.95,2.84
"2015-07-12 10:15:00",0,0,0,19704.96,24791.39,5086.43,18920.72,715.06,3540.20,11539.84,23142.15,23147.70,5.56,1.88,2.00,2.74,0.68,215.96,125.05,7.66,60.02,1.81,0.43,1.89,13.21,6.21,14.57,0,-1.93,0,17059.73,4229.45,3502.21,0.60,16.87,5068.97,4751.14,10221.68,3947.91,7.52,201.32,506.22,3.42,19.05,3517.73,4739.22,5346.78,1453.84,20162.71,17016.36,6724.39,10.97,221.09,6661.81,1.33,0.43,0.11,1.75,0.67,-0.42,2.20,0.79,0.43,0.61,0.55,0.25,215.30,216.38,216.19,124.42,125.30,125.41,14.64,5.32,3.02
